IATA,NAME,CITY
AAF,Apalachicola Regional Airport,Apalachicola
AAP,Andrau Airpark,Houston
ABE,Lehigh Valley International Airport,Allentown
ABI,Abilene Regional Airport,Abilene
ABL,Ambler Airport,Ambler
ABQ,Albuquerque International Sunport,Albuquerque
ABR,Aberdeen Regional Airport,Aberdeen
ABY,Southwest Georgia Regional Airport,Albany
ACK,Nantucket Memorial Airport,Nantucket
ACT,Waco Regional Airport,Waco
ACV,California Redwood Coast-Humboldt County Airport,Arcata CA
ACY,Atlantic City International Airport,Atlantic City
ADK,Adak Airport,Adak Island
ADM,Ardmore Municipal Airport,Ardmore
ADQ,Kodiak Airport,Kodiak
ADS,Addison Airport,Addison
ADT,Ada Regional Airport,Ada
ADW,Joint Base Andrews,Camp Springs
AET,Allakaket Airport,Allakaket
AEX,Alexandria International Airport,Alexandria
AFW,Fort Worth Alliance Airport,Fort Worth
AGC,Allegheny County Airport,Pittsburgh
AGN,Angoon Seaplane Base,Angoon
AGS,Augusta Regional At Bush Field,Bush Field
AHN,Athens Ben Epps Airport,Athens
AIA,Alliance Municipal Airport,Alliance
AID,Anderson Municipal Darlington Field,ANDERSON
AIK,Aiken Regional Airport,Aiken
AIN,Wainwright Airport,Wainwright
AIZ,Lee C Fine Memorial Airport,Kaiser Lake Ozark
AKB,Atka Airport,Atka
AKC,Akron Fulton International Airport,Akron
AKI,Akiak Airport,Akiak
AKK,Akhiok Airport,Akhiok
AKN,King Salmon Airport,King Salmon
AKO,Colorado Plains Regional Airport,Akron
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass
ALB,Albany International Airport,Albany
ALE,Alpine Casparis Municipal Airport,Alpine
ALI,Alice International Airport,Alice
ALM,Alamogordo White Sands Regional Airport,Alamogordo
ALN,St Louis Regional Airport,Alton/St Louis
ALO,Waterloo Regional Airport,Waterloo
ALS,San Luis Valley Regional Bergman Field,Alamosa
ALW,Walla Walla Regional Airport,Walla Walla
ALX,Thomas C Russell Field,Alexander City
AMA,Rick Husband Amarillo International Airport,Amarillo
ANB,Anniston Regional Airport,Anniston
ANC,Ted Stevens Anchorage International Airport,Anchorage
AND,Anderson Regional Airport,Andersen
ANI,Aniak Airport,Aniak
ANN,Annette Island Airport,Annette Island
ANP,Lee Airport,Annapolis
ANQ,Tri State Steuben County Airport,Angola
ANV,Anvik Airport,Anvik
AOH,Lima Allen County Airport,Lima
