ACN,DATE,LOCAL TIME OF DAY,PLACE.LOCALE REFERENCE,STATE REFERENCE,AIRCRAFT 1 MAKE MODEL,AIRCRAFT 1 OPERATOR,FLIGHT PHASE,ALTITUDE.AGL.SINGLE VALUE,NARRATIVE,SYNOPSIS
1500059,202404,0601-1200,SLC.Airport,UT,Bell 212,US Department of the Interior,Climb,3326,"While in climb out of SLC, the crew of a Bell 212, tail number N5651A, experienced a bird strike. The aircraft was operated by US Department of the Interior and was at 3326 ft AGL when the event began. Several birds impacted the radome and the bird strike left visible damage to the leading edge.",Bell 212 reported a bird strike during climb near SLC.
1500113,202310,1201-1800,ELP.Airport,TX,Embraer 190,Southwest Airlines,Takeoff,11,"While in takeoff out of ELP, the crew of a Embraer 190, tail number N56485, experienced a bird strike. The aircraft was operated by Southwest Airlines and was at 11 ft AGL when the event began. Several birds impacted the radome and the bird strike left visible damage to the leading edge. The controller advised of opposite direction traffic at the same altitude. The flight continued to the destination and landed uneventfully.",Embraer 190 reported a bird strike during takeoff near ELP.
1500161,200409,0601-1200,OGG.Airport,HI,Piper PA-28 (UP TO 180 HP),Private Individual,Taxi,356,"While in taxi into OGG, the crew of a Piper PA-28 (UP TO 180 HP), tail number N959ES, experienced a wake turbulence encounter. The aircraft was operated by Private Individual and was at 356 ft AGL when the event began. The autopilot was disengaged and the aircraft was hand flown.",Piper PA-28 (UP TO 180 HP) reported a wake turbulence encounter during taxi near OGG.
1500228,202207,0601-1200,COS.Airport,CO,Small Aircraft,Corporate,Descent,3500m,"During descent near COS, we experienced a partial loss of engine power. Company maintenance was contacted and a logbook entry was made. The flight continued to the destination and landed uneventfully.",Small Aircraft flight crew reported a partial loss of engine power near COS.
1500303,199307,0001-0600,PHL.Airport,PA,Small Aircraft,Air Carrier,Initial Climb,6826,"During initial climb near PHL, we experienced a pitot static anomaly. The controller advised of opposite direction traffic at the same altitude. The aircraft landed without further incident.",Small Aircraft flight crew reported a pitot static anomaly near PHL.
1500314,200210,1201-1800,BDL.Airport,CT,Cessna CITATION CJ4,Wells Fargo Trust Co Trustee,Climb,1372,"While in climb into BDL, the crew of a Cessna CITATION CJ4, tail number N252QM, experienced a bird strike. The aircraft was operated by Wells Fargo Trust Co Trustee and was at 1372 ft AGL when the event began. Several birds impacted the radome and the bird strike left visible damage to the leading edge. The controller advised of opposite direction traffic at the same altitude. The aircraft diverted and maintenance inspected the system.",Cessna CITATION CJ4 reported a bird strike during climb near BDL.
1500338,201802,0001-0600,RNO.Airport,NV,Mooney M20K,ATP Flight School,Initial Climb,8724,"While in initial climb into RNO, the crew of a Mooney M20K, tail number N85436, experienced a loss of separation. The aircraft was operated by ATP Flight School and was at 8724 ft AGL when the event began. The aircraft landed without further incident.",Mooney M20K reported a loss of separation during initial climb near RNO.
1500378,201202,1201-1800,SLC.Airport,UT,Embraer 170,United Airlines,Climb,,"While in climb out of SLC, the crew of a Embraer 170, tail number N6924A, experienced a flap asymmetry indication. The aircraft was operated by United Airlines and was at low altitude when the event began.",Embraer 170 reported a flap asymmetry indication during climb near SLC.
1500390,199307,0601-1200,BTV.Airport,VT,Medium Large Transport,Corporate,Cruise,16675,"During cruise near BTV, we experienced an airspace incursion. The first officer noticed the discrepancy during the checklist flow. The aircraft landed without further incident.",Medium Large Transport flight crew reported an airspace incursion near BTV.
1500460,202406,1201-1800,MSY.Airport,LA,Light Transport,Fractional,Climb,4867,"During climb near MSY, we experienced a loss of separation. A flight attendant reported an unusual odor in the aft cabin.",Light Transport flight crew reported a loss of separation near MSY.
1500519,202401,0601-1200,TPA.Airport,FL,Gulfstream G280,High Plains Crop Dusting,Descent,9984,"While in descent out of TPA, the crew of a Gulfstream G280, tail number N36RW, experienced a bird strike. The aircraft was operated by High Plains Crop Dusting and was at 9984 ft AGL when the event began. Several birds impacted the radome and the bird strike left visible damage to the leading edge.",Gulfstream G280 reported a bird strike during descent near TPA.
1500556,200409,0001-0600,ROC.Airport,NY,Boeing 717,Southwest Airlines,Landing,1567m,"While in landing into ROC, the crew of a Boeing 717, tail number N78SN, experienced a partial loss of engine power. The aircraft was operated by Southwest Airlines and was at 1567m AGL when the event began. The controller advised of opposite direction traffic at the same altitude.",Boeing 717 reported a partial loss of engine power during landing near ROC.
1500644,202408,1801-2400,RIC.Airport,VA,Piper PA-28 (ABOVE 200 HP),Ameriflight,Takeoff,523,"While in takeoff into RIC, the crew of a Piper PA-28 (ABOVE 200 HP), tail number N268JC, experienced an airspace incursion. The aircraft was operated by Ameriflight and was at 523 ft AGL when the event began.",Piper PA-28 (ABOVE 200 HP) reported an airspace incursion during takeoff near RIC.
1500699,200812,1801-2400,CAE.Airport,SC,Medium Large Transport,Fractional,Landing,547,"During landing near CAE, we experienced a pitot static anomaly. The first officer noticed the discrepancy during the checklist flow. The aircraft diverted and maintenance inspected the system.",Medium Large Transport flight crew reported a pitot static anomaly near CAE.
1500788,201601,1801-2400,CAE.Airport,SC,Medium Large Transport,Fractional,Final Approach,3085,"During final approach near CAE, we experienced a flap asymmetry indication. The controller advised of opposite direction traffic at the same altitude.",Medium Large Transport flight crew reported a flap asymmetry indication near CAE.
1500847,201010,1801-2400,GRR.Airport,MI,Cessna 182T,Private Individual,Taxi,750,"While in taxi out of GRR, the crew of a Cessna 182T, tail number N2001Y, experienced a bird strike. The aircraft was operated by Private Individual and was at 750 ft AGL when the event began. Several birds impacted the radome and the bird strike left visible damage to the leading edge. The controller advised of opposite direction traffic at the same altitude. The crew returned to the departure airport as a precaution.",Cessna 182T reported a bird strike during taxi near GRR.
1500920,201601,0601-1200,DFW.Airport,TX,Cirrus SR20,Pinnacle Energy Partners,Taxi,16,"While in taxi out of DFW, the crew of a Cirrus SR20, tail number N51092, experienced an altitude deviation. The aircraft was operated by Pinnacle Energy Partners and was at 16 ft AGL when the event began. A flight attendant reported an unusual odor in the aft cabin.",Cirrus SR20 reported an altitude deviation during taxi near DFW.
1501014,202211,0601-1200,ELP.Airport,TX,Beechcraft 58,Private Individual,Cruise,12272,"While in cruise out of ELP, the crew of a Beechcraft 58, tail number N321WL, experienced a TCAS resolution advisory. The aircraft was operated by Private Individual and was at 12272 ft AGL when the event began. Company maintenance was contacted and a logbook entry was made.",Beechcraft 58 reported a TCAS resolution advisory during cruise near ELP.
1501080,201205,1201-1800,PHL.Airport,PA,Small Aircraft,Fractional,Taxi,414,"During taxi near PHL, we experienced a wake turbulence encounter. ATC issued a traffic alert and the crew initiated an immediate climb. The crew returned to the departure airport as a precaution.",Small Aircraft flight crew reported a wake turbulence encounter near PHL.
1501142,199002,0601-1200,TUS.Airport,AZ,Small Aircraft,Corporate,Descent,1200m,"During descent near TUS, we experienced a flap asymmetry indication. The first officer noticed the discrepancy during the checklist flow.",Small Aircraft flight crew reported a flap asymmetry indication near TUS.
