CODE,MFR,MODEL,TYPE-ACFT,TYPE-ENG,AC-CAT,NO-ENG,NO-SEATS,AC-WEIGHT,SPEED
1200010,AIRBUS,A300,5,5,1,2,160,CLASS 3,0
1200133,AIRBUS INDUSTRIE,A300-600,5,5,1,2,125,CLASS 3,0
1200218,AIRBUS,A310,5,5,1,2,198,CLASS 3,0
1200300,AIRBUS,A318,5,5,1,2,149,CLASS 3,0
1200489,AIRBUS,A319,5,5,1,2,140,CLASS 3,0
1200586,AIRBUS,A319-114,5,5,1,2,161,CLASS 3,0
1200602,AIRBUS INDUSTRIE,A319NEO,5,5,1,2,177,CLASS 3,0
1200742,AIRBUS,A320,5,5,1,2,176,CLASS 3,0
1200811,AIRBUS,A320-214,5,5,1,2,181,CLASS 3,0
1200959,AIRBUS,A320NEO,5,5,1,2,101,CLASS 3,0
1201078,AIRBUS,A321-211,5,5,1,2,186,CLASS 3,0
1310018,BEECH,1900,5,2,1,2,43,CLASS 2,320
1310193,BEECH,1900D,4,2,1,1,14,CLASS 2,171
1310241,BEECH,58,5,1,1,2,5,CLASS 1,172
1310364,BEECH,A36,4,1,1,1,5,CLASS 1,151
1310425,BEECH,B200,5,2,1,2,51,CLASS 2,213
1310519,BEECH,BARON,5,1,1,2,5,CLASS 1,228
1310632,BEECH,BARON / 55 BARON,5,1,1,2,7,CLASS 1,208
1310748,BEECH,V35B,4,1,1,1,3,CLASS 1,146
1420003,BELL,206B,6,1,1,1,2,CLASS 1,141
1420164,BELL HELICOPTER TEXTRON,212,6,3,1,2,2,CLASS 1,103
1420253,BELL HELICOPTER TEXTRON,407,6,3,1,2,5,CLASS 1,146
1420372,BELL,429,6,3,1,2,3,CLASS 1,137
1530084,BOEING,707,5,5,1,2,199,CLASS 3,0
1530196,THE BOEING COMPANY,717,5,5,1,2,182,CLASS 3,0
1530232,BOEING,720B,5,5,1,2,113,CLASS 3,0
1530301,BOEING,727,5,5,1,2,130,CLASS 3,0
1530469,BOEING,727-100,5,5,1,2,187,CLASS 3,0
1530597,BOEING,727-200,5,5,1,2,92,CLASS 3,0
1530618,THE BOEING COMPANY,737,5,5,1,2,177,CLASS 3,0
1530714,BOEING,737 MAX 10,5,5,1,2,206,CLASS 3,0
1530804,THE BOEING COMPANY,737 MAX 7,5,5,1,2,135,CLASS 3,0
1530981,THE BOEING COMPANY,737 MAX 8,5,5,1,2,166,CLASS 3,0
1531089,BOEING,737-7H4,5,5,1,2,185,CLASS 3,0
1531128,THE BOEING COMPANY,737-8H4,5,5,1,2,225,CLASS 3,0
1531209,BOEING,757-232,5,5,1,2,94,CLASS 3,0
1531315,THE BOEING COMPANY,767-332,5,5,1,2,168,CLASS 3,0
1531430,BOEING,777-232,5,5,1,2,110,CLASS 3,0
1640017,BOMBARDIER INC,415,5,5,1,2,19,CLASS 2,0
1640118,BOMBARDIER INC,BD-700-1A10,5,5,1,2,18,CLASS 2,0
1640222,BOMBARDIER INC,CHALLENGER,5,5,1,2,16,CLASS 2,0
1640378,BOMBARDIER INC,CL-44,5,5,1,2,8,CLASS 2,0
1640448,BOMBARDIER INC,CL-600-2B16,5,5,1,2,19,CLASS 2,0
1640596,BOMBARDIER INC,CL-600-2C10,5,5,1,2,144,CLASS 3,0
1640683,BOMBARDIER INC,CS100,5,5,1,2,17,CLASS 2,0
1640746,BOMBARDIER INC,CS300,5,5,1,2,16,CLASS 2,0
1640857,BOMBARDIER INC,GLOBAL EXPRESS,5,5,1,2,14,CLASS 2,0
1640971,BOMBARDIER INC,LEARJET 45,5,5,1,2,9,CLASS 2,0
1750031,CESSNA,152,4,1,1,1,4,CLASS 1,107
1750198,CESSNA AIRCRAFT CO,172,4,1,1,1,3,CLASS 1,133
1750201,CESSNA AIRCRAFT CO,172N,4,1,1,1,2,CLASS 1,134
1750310,CESSNA AIRCRAFT CO,172S,4,1,1,1,2,CLASS 1,170
1750434,CESSNA AIRCRAFT CO,182 SKYLANE,4,1,1,1,3,CLASS 1,174
1750529,CESSNA,182T,4,1,1,1,3,CLASS 1,165
1750663,CESSNA,208 CARAVAN,5,2,1,2,61,CLASS 2,250
1750767,CESSNA AIRCRAFT CO,208B,4,2,1,1,12,CLASS 2,185
1750865,CESSNA AIRCRAFT CO,210 CENTURION,4,1,1,1,2,CLASS 1,136
1750933,CESSNA,210L,4,1,1,1,3,CLASS 1,159
1751024,CESSNA,310R,5,1,1,2,4,CLASS 1,216
1751181,CESSNA,421C,5,1,1,2,8,CLASS 1,161
1751213,CESSNA,CITATION CJ3,5,5,1,2,13,CLASS 2,0
1751373,CESSNA AIRCRAFT CO,CITATION CJ4,5,5,1,2,6,CLASS 2,0
1751426,CESSNA,CITATION EXCEL,5,5,1,2,12,CLASS 2,0
1860047,CIRRUS DESIGN CORP,SR20,4,1,1,1,4,CLASS 1,159
1860187,CIRRUS DESIGN CORP,SR22,4,1,1,1,3,CLASS 1,129
1860243,CIRRUS DESIGN CORP,SR22T,4,1,1,1,2,CLASS 1,174
1970005,DE HAVILLAND,DHC-2 BEAVER,4,1,1,1,2,CLASS 1,111
1970197,DEHAVILLAND,DHC-2 MK I,4,1,1,1,6,CLASS 1,172
1970220,DEHAVILLAND,DHC-2 TURBO-BEAVER,4,1,1,1,2,CLASS 1,128
1970319,DE HAVILLAND,DHC-3 OTTER,4,1,1,1,3,CLASS 1,156
1970419,DE HAVILLAND,DHC-4 CARIBOU,4,1,1,1,6,CLASS 1,110
1970591,DE HAVILLAND,DHC-6 TWIN OTTER,5,2,1,2,78,CLASS 2,293
1970643,DEHAVILLAND,DHC-6-300,5,2,1,2,46,CLASS 2,221
1970762,DEHAVILLAND,DHC-7 DASH 7,5,2,1,2,44,CLASS 2,277
1970810,DE HAVILLAND,DHC-8-402,4,2,1,1,78,CLASS 2,185
