ENTITY_TYPE,ENTITY_ID,LEFT_TABLE,LEFT_KEY,RIGHT_TABLE,RIGHT_KEY,NOTE
aircraft,aircraft:AC-0000,faa_master,567AZ|28-1974519,maintenance_erp,WO-100412,
aircraft,aircraft:AC-0000,faa_master,567AZ|28-1974519,maintenance_erp,WO-100458,
aircraft,aircraft:AC-0001,faa_master,39ZC|48440,ntsb_events,20000928X54573,
aircraft,aircraft:AC-0003,faa_master,48WP|M4197-68,asrs_reports,1507366,
aircraft,aircraft:AC-0003,faa_master,48WP|M4197-68,maintenance_erp,WO-100565,
aircraft,aircraft:AC-0005,faa_master,21813|5635,ntsb_events,20171013X52611,
aircraft,aircraft:AC-0007,faa_master,724HW|1835,asrs_reports,1510139,
aircraft,aircraft:AC-0007,faa_master,724HW|1835,maintenance_erp,WO-100060,
aircraft,aircraft:AC-0007,faa_master,724HW|1835,maintenance_erp,WO-100291,
aircraft,aircraft:AC-0009,faa_master,225QC|L3575-92,maintenance_erp,WO-100389,
aircraft,aircraft:AC-0013,faa_master,7815Z|17222463,ntsb_events,20120427X80173,
aircraft,aircraft:AC-0018,faa_master,408GE|12620,asrs_reports,1509559,
aircraft,aircraft:AC-0020,faa_master,2288N|E5662-38,maintenance_erp,WO-100064,
aircraft,aircraft:AC-0027,faa_master,35VE|17242768,maintenance_erp,WO-100278,
aircraft,aircraft:AC-0029,faa_master,28191|28-2013822,asrs_reports,1507124,
aircraft,aircraft:AC-0034,faa_master,44959|17220828,asrs_reports,1515955,
aircraft,aircraft:AC-0035,faa_master,55VP|17245986,maintenance_erp,WO-100363,
aircraft,aircraft:AC-0037,faa_master,5288J|17268493,maintenance_erp,WO-100573,
aircraft,aircraft:AC-0038,faa_master,99WF|7501,asrs_reports,1516383,
aircraft,aircraft:AC-0038,faa_master,99WF|7501,maintenance_erp,WO-100405,
aircraft,aircraft:AC-0040,faa_master,268FL|28-2024826,maintenance_erp,WO-100096,
aircraft,aircraft:AC-0044,faa_master,6055R|A1575-60,maintenance_erp,WO-100527,
aircraft,aircraft:AC-0050,faa_master,404KY|17237168,maintenance_erp,WO-100018,
aircraft,aircraft:AC-0052,faa_master,10679|17230701,maintenance_erp,WO-100408,
aircraft,aircraft:AC-0053,faa_master,34420|M4842-14,asrs_reports,1513178,
aircraft,aircraft:AC-0053,faa_master,34420|M4842-14,maintenance_erp,WO-100323,
aircraft,aircraft:AC-0056,faa_master,71EQ|M6221-63,maintenance_erp,WO-100517,
aircraft,aircraft:AC-0057,faa_master,310YU|28-1996193,asrs_reports,1504977,
aircraft,aircraft:AC-0059,faa_master,79EW|17255582,maintenance_erp,WO-100360,
aircraft,aircraft:AC-0060,faa_master,996ZD|17214222,maintenance_erp,WO-100252,
aircraft,aircraft:AC-0066,faa_master,5026R|17254245,asrs_reports,1515611,
aircraft,aircraft:AC-0066,faa_master,5026R|17254245,maintenance_erp,WO-100326,
aircraft,aircraft:AC-0067,faa_master,4791C|M2574-11,maintenance_erp,WO-100251,
aircraft,aircraft:AC-0069,faa_master,38KX|17220566,maintenance_erp,WO-100099,
aircraft,aircraft:AC-0072,faa_master,7150P|17234345,maintenance_erp,WO-100129,
aircraft,aircraft:AC-0083,faa_master,810ES|45458,maintenance_erp,WO-100309,
aircraft,aircraft:AC-0084,faa_master,6882A|17273518,maintenance_erp,WO-100426,
aircraft,aircraft:AC-0085,faa_master,381HT|28-1983272,asrs_reports,1509080,
aircraft,aircraft:AC-0085,faa_master,381HT|28-1983272,maintenance_erp,WO-100549,
aircraft,aircraft:AC-0088,faa_master,245UW|E6886-58,asrs_reports,1503279,
aircraft,aircraft:AC-0090,faa_master,997JC|28-2006469,maintenance_erp,WO-100535,
aircraft,aircraft:AC-0091,faa_master,8291A|A5729-25,maintenance_erp,WO-100594,
aircraft,aircraft:AC-0095,faa_master,9209P|28-1992818,asrs_reports,1512673,
aircraft,aircraft:AC-0096,faa_master,41278|17217589,maintenance_erp,WO-100037,
aircraft,aircraft:AC-0101,faa_master,11257|8790,maintenance_erp,WO-100293,
aircraft,aircraft:AC-0102,faa_master,865CU|17222527,maintenance_erp,WO-100547,
aircraft,aircraft:AC-0106,faa_master,61773|H583-58,maintenance_erp,WO-100047,
aircraft,aircraft:AC-0112,faa_master,38WU|17223645,ntsb_events,20180626X85189,
aircraft,aircraft:AC-0114,faa_master,426JD|28-1969450,asrs_reports,1502540,
aircraft,aircraft:AC-0114,faa_master,426JD|28-1969450,maintenance_erp,WO-100418,
aircraft,aircraft:AC-0116,faa_master,753KC|51035,asrs_reports,1517701,
aircraft,aircraft:AC-0119,faa_master,669NT|28-1985977,ntsb_events,20130604X93291,
aircraft,aircraft:AC-0121,faa_master,387RY|17222873,maintenance_erp,WO-100299,
aircraft,aircraft:AC-0124,faa_master,685GH|11406,ntsb_events,20030221X83374,
aircraft,aircraft:AC-0126,faa_master,5631K|11313,maintenance_erp,WO-100046,
aircraft,aircraft:AC-0129,faa_master,907LM|37076,ntsb_events,20200614X95666,
aircraft,aircraft:AC-0132,faa_master,5076H|6441,maintenance_erp,WO-100021,
aircraft,aircraft:AC-0136,faa_master,75CZ|M1759-42,maintenance_erp,WO-100433,
aircraft,aircraft:AC-0136,faa_master,75CZ|M1759-42,maintenance_erp,WO-100521,
aircraft,aircraft:AC-0138,faa_master,30DP|K8008-82,maintenance_erp,WO-100276,
aircraft,aircraft:AC-0138,faa_master,30DP|K8008-82,maintenance_erp,WO-100305,
aircraft,aircraft:AC-0141,faa_master,12329|17223453,ntsb_events,20050405X10771,
aircraft,aircraft:AC-0147,faa_master,988XZ|17239400,maintenance_erp,WO-100578,
aircraft,aircraft:AC-0148,faa_master,66HW|M6125-85,maintenance_erp,WO-100032,
aircraft,aircraft:AC-0150,faa_master,288SC|J2711-63,maintenance_erp,WO-100337,
aircraft,aircraft:AC-0152,faa_master,4453X|L3592-97,maintenance_erp,WO-100444,
aircraft,aircraft:AC-0152,faa_master,4453X|L3592-97,ntsb_events,20120309X55480,
aircraft,aircraft:AC-0158,faa_master,92132|1626,ntsb_events,20120701X30749,
aircraft,aircraft:AC-0160,faa_master,77880|17257349,maintenance_erp,WO-100498,
aircraft,aircraft:AC-0161,faa_master,38SN|17256255,maintenance_erp,WO-100028,
aircraft,aircraft:AC-0161,faa_master,38SN|17256255,maintenance_erp,WO-100235,
aircraft,aircraft:AC-0165,faa_master,98940|28-2006541,maintenance_erp,WO-100493,
aircraft,aircraft:AC-0168,faa_master,3650D|D8428-61,asrs_reports,1514454,
aircraft,aircraft:AC-0171,faa_master,5277F|17263363,maintenance_erp,WO-100319,
aircraft,aircraft:AC-0175,faa_master,1887S|17265466,maintenance_erp,WO-100490,
aircraft,aircraft:AC-0176,faa_master,33TJ|17241082,asrs_reports,1508475,
