BOM_ID,PARENT_MODEL_CODE,PARENT_DESCRIPTION,BOM_LEVEL,COMPONENT_PART_NUMBER,COMPONENT_DESCRIPTION,COMPONENT_CATEGORY,QTY_PER_ASSEMBLY,UOM,REF_DESIGNATOR,APPROVED_SUPPLIER_ID,EFFECTIVE_FROM_DATE,EFFECTIVE_TO_DATE,ECO_NUMBER
BOM-50001,PLS7,Meridian Pulse 7 128GB Black,1,CMP-DSP-0451,6.7-inch OLED display module,DISPLAY,1,EA,D01,0000104732,2025-03-15,9999-12-31,ECO-2023-0100
BOM-50002,PLS7,Meridian Pulse 7 128GB Black,1,CMP-FST-0103,torx screw 004,FASTENER,14,EA,F02,0000113637,2025-03-15,9999-12-31,ECO-2023-0100
BOM-50003,PLS7,Meridian Pulse 7 128GB Black,1,CMP-PCB-0108,main logic board assembly 009,PCBA,8,EA,P03,0000122542,2025-03-15,9999-12-31,ECO-2023-0100
BOM-50004,PLS7,Meridian Pulse 7 128GB Black,1,CMP-CBL-0113,flex ribbon cable 014,CABLE,1,EA,C04,0000134187,2025-03-15,9999-12-31,ECO-2023-0100
BOM-50005,PLS7,Meridian Pulse 7 128GB Black,1,CMP-ENC-0118,machined housing 019,ENCLOSURE,1,EA,E05,0000112952,2025-03-15,9999-12-31,ECO-2023-0100
BOM-50006,PLS7,Meridian Pulse 7 128GB Black,1,CMP-DSP-0123,OLED display module 024,DISPLAY,1,EA,D06,0000121857,2025-03-15,9999-12-31,ECO-2023-0100
BOM-50007,PLS7,Meridian Pulse 7 128GB Black,1,CMP-ADH-0128,structural adhesive 029,ADHESIVE,2,GR,A07,0000133502,2025-03-15,9999-12-31,ECO-2023-0101
BOM-50008,PLS7,Meridian Pulse 7 128GB Black,1,CMP-CAM-0133,camera module 034,CAMERA,8,EA,C08,0000112267,2025-03-15,9999-12-31,ECO-2023-0101
BOM-50009,PLS7,Meridian Pulse 7 128GB Black,1,CMP-BAT-0138,Li-ion battery pack 039,BATTERY,2,EA,B09,0000121172,2025-03-15,9999-12-31,ECO-2023-0101
BOM-50010,PLS7,Meridian Pulse 7 128GB Black,2,CMP-FST-0143,torx screw 044,FASTENER,10,EA,F10,0000132817,2025-03-15,9999-12-31,ECO-2023-0101
BOM-50011,PLS7,Meridian Pulse 7 128GB Black,2,CMP-PCB-0148,main logic board assembly 041,PCBA,2,EA,P11,0000111582,2025-03-15,9999-12-31,ECO-2023-0101
BOM-50012,PLS7,Meridian Pulse 7 128GB Black,3,CMP-CBL-0153,flex ribbon cable 054,CABLE,8,EA,C12,0000120487,2025-03-15,9999-12-31,ECO-2023-0101
BOM-50013,PLS7P,Meridian Pulse 7 Pro 128GB Black,1,CMP-DSP-0115,OLED display module 016,DISPLAY,8,EA,D01,0000107609,2025-09-15,9999-12-31,ECO-2024-0107
BOM-50014,PLS7P,Meridian Pulse 7 Pro 128GB Black,1,CMP-ADH-0120,structural adhesive 021,ADHESIVE,1,GR,A02,0000116514,2025-09-15,9999-12-31,ECO-2024-0107
BOM-50015,PLS7P,Meridian Pulse 7 Pro 128GB Black,1,CMP-CAM-0125,camera module 026,CAMERA,1,EA,C03,0000125419,2025-09-15,9999-12-31,ECO-2024-0107
BOM-50016,PLS7P,Meridian Pulse 7 Pro 128GB Black,1,CMP-BAT-0130,Li-ion battery pack 023,BATTERY,8,EA,B04,0000106924,2025-09-15,9999-12-31,ECO-2024-0107
BOM-50017,PLS7P,Meridian Pulse 7 Pro 128GB Black,1,CMP-FST-0135,torx screw 036,FASTENER,10,EA,F05,0000115829,2025-09-15,9999-12-31,ECO-2024-0107
BOM-50018,PLS7P,Meridian Pulse 7 Pro 128GB Black,1,CMP-PCB-0140,main logic board assembly 041,PCBA,1,EA,P06,0000124734,2025-09-15,9999-12-31,ECO-2024-0107
BOM-50019,PLS7P,Meridian Pulse 7 Pro 128GB Black,1,CMP-CBL-0145,flex ribbon cable 046,CABLE,8,EA,C07,0000106239,2025-09-15,2026-12-31,ECO-2024-0108
BOM-50020,PLS7P,Meridian Pulse 7 Pro 128GB Black,1,CMP-ENC-0150,machined housing 051,ENCLOSURE,1,EA,E08,0000115144,2025-09-15,9999-12-31,ECO-2024-0108
BOM-50021,PLS7P,Meridian Pulse 7 Pro 128GB Black,1,CMP-DSP-0155,OLED display module 056,DISPLAY,1,EA,D09,0000124049,2025-09-15,9999-12-31,ECO-2024-0108
BOM-50022,PLS7P,Meridian Pulse 7 Pro 128GB Black,1,CMP-ADH-0160,structural adhesive 061,ADHESIVE,2,GR,A10,0000105554,2025-09-15,9999-12-31,ECO-2024-0108
BOM-50023,PLS7P,Meridian Pulse 7 Pro 128GB Black,2,CMP-CAM-0165,camera module 066,CAMERA,2,EA,C11,0000114459,2025-09-15,9999-12-31,ECO-2024-0108
BOM-50024,PLS7P,Meridian Pulse 7 Pro 128GB Black,3,CMP-BAT-0170,Li-ion battery pack 071,BATTERY,4,EA,B12,0000123364,2025-09-15,9999-12-31,ECO-2024-0108
BOM-50025,PLS7P,Meridian Pulse 7 Pro 128GB Black,2,CMP-FST-0175,torx screw 068,FASTENER,11,EA,F13,0000104869,2025-09-15,9999-12-31,ECO-2024-0109
BOM-50026,PLS8,Meridian Pulse 8 128GB Black,1,CMP-PCB-0132,main logic board assembly 033,PCBA,1,EA,P01,0000110486,2021-08-15,9999-12-31,ECO-2025-0114
BOM-50027,PLS8,Meridian Pulse 8 128GB Black,1,CMP-CBL-0137,flex ribbon cable 038,CABLE,4,EA,C02,0000119391,2021-08-15,9999-12-31,ECO-2025-0114
BOM-50028,PLS8,Meridian Pulse 8 128GB Black,1,CMP-ENC-0142,machined housing 043,ENCLOSURE,2,EA,E03,0000128296,2021-08-15,9999-12-31,ECO-2025-0114
BOM-50029,PLS8,Meridian Pulse 8 128GB Black,1,CMP-DSP-0147,OLED display module 048,DISPLAY,1,EA,D04,0000109801,2021-08-15,9999-12-31,ECO-2025-0114
BOM-50030,PLS8,Meridian Pulse 8 128GB Black,1,CMP-ADH-0152,structural adhesive 053,ADHESIVE,2,ML,A05,0000118706,2021-08-15,9999-12-31,ECO-2025-0114
BOM-50031,PLS8,Meridian Pulse 8 128GB Black,1,CMP-CAM-0157,camera module 050,CAMERA,1,EA,C06,0000127611,2021-08-15,9999-12-31,ECO-2025-0114
BOM-50032,PLS8,Meridian Pulse 8 128GB Black,1,CMP-BAT-0162,Li-ion battery pack 063,BATTERY,2,EA,B07,0000109116,2021-08-15,9999-12-31,ECO-2025-0115
BOM-50033,PLS8,Meridian Pulse 8 128GB Black,1,CMP-FST-0167,torx screw 068,FASTENER,7,EA,F08,0000118021,2021-08-15,9999-12-31,ECO-2025-0115
