SKU,GTIN,PRODUCT_NAME,MODEL_CODE,PRODUCT_FAMILY,LAUNCH_DATE,END_OF_SALE_DATE,MSRP_USD,COLOR,STORAGE_GB,LIFECYCLE_STATUS,COUNTRY_OF_ORIGIN
MER-PLS7-128-BLK,08193580000002,Meridian Pulse 7 128GB Black,PLS7,PULSE,2025-03-15,2028-09-30,698.99,Black,128,EOL,CN
MER-PLS7-128-SLV,08193580000019,Meridian Pulse 7 128GB Silver,PLS7,PULSE,2025-03-15,9999-12-31,698.99,Silver,128,ACTIVE,VN
MER-PLS7-128-BLU,08193580000026,Meridian Pulse 7 128GB Blue,PLS7,PULSE,2025-03-15,9999-12-31,698.99,Blue,128,ACTIVE,CN
MER-PLS7-256-BLK,08193580000033,Meridian Pulse 7 256GB Black,PLS7,PULSE,2025-03-15,9999-12-31,798.99,Black,256,ACTIVE,TW
MER-PLS7-256-SLV,08193580000040,Meridian Pulse 7 256GB Silver,PLS7,PULSE,2025-03-15,9999-12-31,798.99,Silver,256,ACTIVE,CN
MER-PLS7-256-BLU,08193580000057,Meridian Pulse 7 256GB Blue,PLS7,PULSE,2025-03-15,9999-12-31,798.99,Blue,256,ACTIVE,VN
MER-PLS7P-128-BLK,08193580000064,Meridian Pulse 7 Pro 128GB Black,PLS7P,PULSE,2025-09-15,9999-12-31,848.99,Black,128,ACTIVE,CN
MER-PLS7P-128-SLV,08193580000071,Meridian Pulse 7 Pro 128GB Silver,PLS7P,PULSE,2025-09-15,9999-12-31,848.99,Silver,128,ACTIVE,TW
MER-PLS7P-128-BLU,08193580000088,Meridian Pulse 7 Pro 128GB Blue,PLS7P,PULSE,2025-09-15,9999-12-31,848.99,Blue,128,ACTIVE,CN
MER-PLS7P-256-BLK,08193580000095,Meridian Pulse 7 Pro 256GB Black,PLS7P,PULSE,2025-09-15,2028-09-30,948.99,Black,256,EOL,VN
MER-PLS7P-256-SLV,08193580000101,Meridian Pulse 7 Pro 256GB Silver,PLS7P,PULSE,2025-09-15,9999-12-31,948.99,Silver,256,ACTIVE,CN
MER-PLS7P-256-BLU,08193580000118,Meridian Pulse 7 Pro 256GB Blue,PLS7P,PULSE,2025-09-15,9999-12-31,948.99,Blue,256,ACTIVE,TW
MER-PLS8-128-BLK,08193580000125,Meridian Pulse 8 128GB Black,PLS8,PULSE,2021-08-15,9999-12-31,748.99,Black,128,ACTIVE,CN
MER-PLS8-128-SLV,08193580000132,Meridian Pulse 8 128GB Silver,PLS8,PULSE,2021-08-15,2024-09-30,748.99,Silver,128,ACTIVE,VN
MER-PLS8-128-BLU,08193580000149,Meridian Pulse 8 128GB Blue,PLS8,PULSE,2021-08-15,9999-12-31,748.99,Blue,128,ACTIVE,CN
MER-PLS8-256-BLK,08193580000156,Meridian Pulse 8 256GB Black,PLS8,PULSE,2021-08-15,9999-12-31,848.99,Black,256,ACTIVE,TW
MER-PLS8-256-SLV,08193580000163,Meridian Pulse 8 256GB Silver,PLS8,PULSE,2021-08-15,9999-12-31,848.99,Silver,256,ACTIVE,CN
MER-PLS8-256-BLU,08193580000170,Meridian Pulse 8 256GB Blue,PLS8,PULSE,2021-08-15,9999-12-31,848.99,Blue,256,ACTIVE,VN
MER-PLS8P-128-BLK,08193580000187,Meridian Pulse 8 Pro 128GB Black,PLS8P,PULSE,2021-07-15,2024-09-30,898.99,Black,128,EOL,CN
MER-PLS8P-128-SLV,08193580000194,Meridian Pulse 8 Pro 128GB Silver,PLS8P,PULSE,2021-07-15,9999-12-31,898.99,Silver,128,ACTIVE,TW
MER-PLS8P-128-BLU,08193580000200,Meridian Pulse 8 Pro 128GB Blue,PLS8P,PULSE,2021-07-15,9999-12-31,898.99,Blue,128,ACTIVE,CN
MER-PLS8P-256-BLK,08193580000217,Meridian Pulse 8 Pro 256GB Black,PLS8P,PULSE,2021-07-15,9999-12-31,998.99,Black,256,ACTIVE,VN
MER-PLS8P-256-SLV,08193580000224,Meridian Pulse 8 Pro 256GB Silver,PLS8P,PULSE,2021-07-15,9999-12-31,998.99,Silver,256,ACTIVE,CN
MER-PLS8P-256-BLU,08193580000231,Meridian Pulse 8 Pro 256GB Blue,PLS8P,PULSE,2021-07-15,9999-12-31,998.99,Blue,256,ACTIVE,TW
MER-PLS8L-128-BLK,08193580000248,Meridian Pulse 8 Lite 128GB Black,PLS8L,PULSE,2022-06-15,9999-12-31,698.99,Black,128,ACTIVE,CN
MER-PLS8L-128-SLV,08193580000255,Meridian Pulse 8 Lite 128GB Silver,PLS8L,PULSE,2022-06-15,9999-12-31,698.99,Silver,128,ACTIVE,VN
MER-PLS8L-128-BLU,08193580000262,Meridian Pulse 8 Lite 128GB Blue,PLS8L,PULSE,2022-06-15,9999-12-31,698.99,Blue,128,ACTIVE,CN
MER-PLS8L-256-BLK,08193580000279,Meridian Pulse 8 Lite 256GB Black,PLS8L,PULSE,2022-06-15,2025-09-30,798.99,Black,256,EOL,TW
MER-PLS8L-256-SLV,08193580000286,Meridian Pulse 8 Lite 256GB Silver,PLS8L,PULSE,2022-06-15,9999-12-31,798.99,Silver,256,ACTIVE,CN
MER-PLS8L-256-BLU,08193580000293,Meridian Pulse 8 Lite 256GB Blue,PLS8L,PULSE,2022-06-15,9999-12-31,798.99,Blue,256,ACTIVE,VN
MER-PLS9-128-BLK,08193580000309,Meridian Pulse 9 128GB Black,PLS9,PULSE,2022-05-15,9999-12-31,798.99,Black,128,ACTIVE,CN
MER-PLS9-128-SLV,08193580000316,Meridian Pulse 9 128GB Silver,PLS9,PULSE,2022-05-15,9999-12-31,798.99,Silver,128,ACTIVE,TW
MER-PLS9-128-BLU,08193580000323,Meridian Pulse 9 128GB Blue,PLS9,PULSE,2022-05-15,9999-12-31,798.99,Blue,128,ACTIVE,CN
MER-PLS9-256-BLK,08193580000330,Meridian Pulse 9 256GB Black,PLS9,PULSE,2022-05-15,9999-12-31,898.99,Black,256,ACTIVE,VN
MER-PLS9-256-SLV,08193580000347,Meridian Pulse 9 256GB Silver,PLS9,PULSE,2022-05-15,9999-12-31,898.99,Silver,256,ACTIVE,CN
MER-PLS9-256-BLU,08193580000354,Meridian Pulse 9 256GB Blue,PLS9,PULSE,2022-05-15,9999-12-31,898.99,Blue,256,ACTIVE,TW
MER-PLS9P-128-BLK,08193580000361,Meridian Pulse 9 Pro 128GB Black,PLS9P,PULSE,2022-04-15,2025-09-30,948.99,Black,128,EOL,CN
MER-PLS9P-128-SLV,08193580000378,Meridian Pulse 9 Pro 128GB Silver,PLS9P,PULSE,2022-04-15,9999-12-31,948.99,Silver,128,ACTIVE,VN
MER-PLS9P-128-BLU,08193580000385,Meridian Pulse 9 Pro 128GB Blue,PLS9P,PULSE,2022-04-15,9999-12-31,948.99,Blue,128,ACTIVE,CN
MER-PLS9P-256-BLK,08193580000392,Meridian Pulse 9 Pro 256GB Black,PLS9P,PULSE,2022-04-15,9999-12-31,"1,099.00",Black,256,ACTIVE,TW
MER-PLS9P-256-SLV,08193580000408,Meridian Pulse 9 Pro 256GB Silver,PLS9P,PULSE,2022-04-15,2025-09-30,"1,048.99",Silver,256,ACTIVE,CN
MER-PLS9P-256-BLU,08193580000415,Meridian Pulse 9 Pro 256GB Blue,PLS9P,PULSE,2022-04-15,9999-12-31,"1,048.99",Blue,256,ACTIVE,VN
MER-PLS9U-128-BLK,08193580000422,Meridian Pulse 9 Ultra 128GB Black,PLS9U,PULSE,2022-03-15,9999-12-31,848.99,Black,128,ACTIVE,CN
MER-PLS9U-128-SLV,08193580000439,Meridian Pulse 9 Ultra 128GB Silver,PLS9U,PULSE,2022-03-15,9999-12-31,848.99,Silver,128,ACTIVE,TW
MER-PLS9U-128-BLU,08193580000446,Meridian Pulse 9 Ultra 128GB Blue,PLS9U,PULSE,2022-03-15,9999-12-31,848.99,Blue,128,ACTIVE,CN
MER-PLS9U-256-BLK,08193580000453,Meridian Pulse 9 Ultra 256GB Black,PLS9U,PULSE,2022-03-15,2025-09-30,948.99,Black,256,EOL,VN
MER-PLS9U-256-SLV,08193580000460,Meridian Pulse 9 Ultra 256GB Silver,PLS9U,PULSE,2022-03-15,9999-12-31,948.99,Silver,256,ACTIVE,CN
MER-PLS9U-256-BLU,08193580000477,Meridian Pulse 9 Ultra 256GB Blue,PLS9U,PULSE,2022-03-15,9999-12-31,948.99,Blue,256,ACTIVE,TW
MER-PLS9L-128-BLK,08193580000484,Meridian Pulse 9 Lite 128GB Black,PLS9L,PULSE,2023-09-15,9999-12-31,748.99,Black,128,ACTIVE,CN
MER-PLS9L-128-SLV,08193580000491,Meridian Pulse 9 Lite 128GB Silver,PLS9L,PULSE,2023-09-15,9999-12-31,748.99,Silver,128,ACTIVE,VN
MER-PLS9L-128-BLU,08193580000507,Meridian Pulse 9 Lite 128GB Blue,PLS9L,PULSE,2023-09-15,9999-12-31,748.99,Blue,128,ACTIVE,CN
MER-PLS9L-256-BLK,08193580000514,Meridian Pulse 9 Lite 256GB Black,PLS9L,PULSE,2023-09-15,9999-12-31,848.99,Black,256,ACTIVE,TW
MER-PLS9L-256-SLV,08193580000521,Meridian Pulse 9 Lite 256GB Silver,PLS9L,PULSE,2023-09-15,9999-12-31,848.99,Silver,256,ACTIVE,CN
MER-PLS9L-256-BLU,08193580000538,Meridian Pulse 9 Lite 256GB Blue,PLS9L,PULSE,2023-09-15,9999-12-31,848.99,Blue,256,ACTIVE,VN
MER-PLSXF-128-BLK,08193580000545,Meridian Pulse X Fold 128GB Black,PLSXF,PULSE,2023-08-15,2026-09-30,948.99,Black,128,EOL,CN
MER-PLSXF-128-SLV,08193580000552,Meridian Pulse X Fold 128GB Silver,PLSXF,PULSE,2023-08-15,9999-12-31,948.99,Silver,128,ACTIVE,TW
MER-PLSXF-128-BLU,08193580000569,Meridian Pulse X Fold 128GB Blue,PLSXF,PULSE,2023-08-15,9999-12-31,948.99,Blue,128,ACTIVE,CN
MER-PLSXF-256-BLK,08193580000576,Meridian Pulse X Fold 256GB Black,PLSXF,PULSE,2023-08-15,9999-12-31,"1,048.99",Black,256,ACTIVE,VN
MER-PLSXF-256-SLV,08193580000583,Meridian Pulse X Fold 256GB Silver,PLSXF,PULSE,2023-08-15,9999-12-31,"1,048.99",Silver,256,ACTIVE,CN
MER-PLSXF-256-BLU,08193580000590,Meridian Pulse X Fold 256GB Blue,PLSXF,PULSE,2023-08-15,9999-12-31,"1,048.99",Blue,256,ACTIVE,TW
MER-PLS6-128-BLK,08193580000606,Meridian Pulse 6 128GB Black,PLS6,PULSE,2024-07-15,9999-12-31,998.99,Black,128,ACTIVE,CN
MER-PLS6-128-SLV,08193580000613,Meridian Pulse 6 128GB Silver,PLS6,PULSE,2024-07-15,9999-12-31,998.99,Silver,128,ACTIVE,VN
MER-PLS6-128-BLU,08193580000620,Meridian Pulse 6 128GB Blue,PLS6,PULSE,2024-07-15,9999-12-31,998.99,Blue,128,ACTIVE,CN
MER-PLS6-256-BLK,08193580000637,Meridian Pulse 6 256GB Black,PLS6,PULSE,2024-07-15,2027-09-30,"1,098.99",Black,256,EOL,TW
MER-PLS6-256-SLV,08193580000644,Meridian Pulse 6 256GB Silver,PLS6,PULSE,2024-07-15,9999-12-31,"1,098.99",Silver,256,ACTIVE,CN
MER-PLS6-256-BLU,08193580000651,Meridian Pulse 6 256GB Blue,PLS6,PULSE,2024-07-15,9999-12-31,"1,098.99",Blue,256,ACTIVE,VN
MER-PLS6P-128-BLK,08193580000668,Meridian Pulse 6 Pro 128GB Black,PLS6P,PULSE,2024-06-15,9999-12-31,798.99,Black,128,ACTIVE,CN
MER-PLS6P-128-SLV,08193580000675,Meridian Pulse 6 Pro 128GB Silver,PLS6P,PULSE,2024-06-15,2027-09-30,798.99,Silver,128,ACTIVE,TW
MER-PLS6P-128-BLU,08193580000682,Meridian Pulse 6 Pro 128GB Blue,PLS6P,PULSE,2024-06-15,9999-12-31,798.99,Blue,128,ACTIVE,CN
MER-PLS6P-256-BLK,08193580000699,Meridian Pulse 6 Pro 256GB Black,PLS6P,PULSE,2024-06-15,9999-12-31,898.99,Black,256,ACTIVE,VN
MER-PLS6P-256-SLV,08193580000705,Meridian Pulse 6 Pro 256GB Silver,PLS6P,PULSE,2024-06-15,9999-12-31,898.99,Silver,256,ACTIVE,CN
MER-PLS6P-256-BLU,08193580000712,Meridian Pulse 6 Pro 256GB Blue,PLS6P,PULSE,2024-06-15,9999-12-31,898.99,Blue,256,ACTIVE,TW
MER-ARA13-128-BLK,08193580000729,Meridian Aura 13 128GB Black,ARA13,AURA,2023-05-15,2026-09-30,"1,198.99",Black,128,EOL,CN
MER-ARA13-128-SLV,08193580000736,Meridian Aura 13 128GB Silver,ARA13,AURA,2023-05-15,9999-12-31,"1,198.99",Silver,128,ACTIVE,VN
MER-ARA13-128-BLU,08193580000743,Meridian Aura 13 128GB Blue,ARA13,AURA,2023-05-15,9999-12-31,"1,198.99",Blue,128,ACTIVE,CN
MER-ARA13-256-BLK,08193580000750,Meridian Aura 13 256GB Black,ARA13,AURA,2023-05-15,9999-12-31,"1,298.99",Black,256,ACTIVE,TW
MER-ARA13-256-SLV,08193580000767,Meridian Aura 13 256GB Silver,ARA13,AURA,2023-05-15,9999-12-31,"1,298.99",Silver,256,ACTIVE,CN
MER-ARA13-256-BLU,08193580000774,Meridian Aura 13 256GB Blue,ARA13,AURA,2023-05-15,9999-12-31,"1,298.99",Blue,256,ACTIVE,VN
MER-ARA14-128-BLK,08193580000781,Meridian Aura 14 128GB Black,ARA14,AURA,2024-04-15,9999-12-31,"1,248.99",Black,128,ACTIVE,CN
MER-ARA14-128-SLV,08193580000798,Meridian Aura 14 128GB Silver,ARA14,AURA,2024-04-15,9999-12-31,"1,248.99",Silver,128,ACTIVE,TW
MER-ARA14-128-BLU,08193580000804,Meridian Aura 14 128GB Blue,ARA14,AURA,2024-04-15,9999-12-31,"1,248.99",Blue,128,ACTIVE,CN
MER-ARA14-256-BLK,08193580000811,Meridian Aura 14 256GB Black,ARA14,AURA,2024-04-15,2027-09-30,"1,348.99",Black,256,EOL,VN
MER-ARA14-256-SLV,08193580000828,Meridian Aura 14 256GB Silver,ARA14,AURA,2024-04-15,9999-12-31,"1,348.99",Silver,256,ACTIVE,CN
MER-ARA14-256-BLU,08193580000835,Meridian Aura 14 256GB Blue,ARA14,AURA,2024-04-15,9999-12-31,"1,348.99",Blue,256,ACTIVE,TW
MER-ARA15-128-BLK,08193580000842,Meridian Aura 15 128GB Black,ARA15,AURA,2025-03-15,9999-12-31,"1,298.99",Black,128,ACTIVE,CN
MER-ARA15-128-SLV,08193580000859,Meridian Aura 15 128GB Silver,ARA15,AURA,2025-03-15,9999-12-31,"1,298.99",Silver,128,ACTIVE,VN
