SHIPMENT_ID,PO_NUMBER,ORIGIN_PORT,DESTINATION,CARRIER_SCAC,TRANSPORT_MODE,SHIP_DATE,ETA_DATE,ACTUAL_ARRIVAL_DATE,CONTAINER_NUMBER,GROSS_WEIGHT,WEIGHT_UOM,FREIGHT_COST,FREIGHT_CURRENCY,INCOTERMS,SHIPMENT_STATUS,HS_CODE
SHP-210000,4500087008,CNSHA,MER-DC-NL-01,ONEY,OCEAN,20-JUN-24,17-JUL-24,14-JUL-24,MSKU1000000,"9,920 kg",KG,"4,100.00",USD,FCA,DELIVERED,850760
SHP-210001,4500087077,CNYTN,MER-DC-US-06,MAEU,OCEAN,10-JAN-25,07-FEB-25,05-FEB-25,MSKU1000000,"14,770 kg",KG,"16,200.00",USD,FCA,DELIVERED,392690
SHP-210002,4500087148,TWKHH,MER-DC-JP-01,MAEU,OCEAN,14-JAN-25,12-FEB-25,11-FEB-25,MAEU1000379,"6,834 lb",LB,"8,600.00",CNY,EXW,DELIVERED,853400
SHP-210003,4500087223,VNSGN,MER-3PL-PL-02,CMDU,AIR,18-JAN-25,23-JAN-25,23-JAN-25,MAEU1000379,"2,940 kg",KG,"8,100.00",USD,CIF,DELIVERED,852990
SHP-210004,4500087287,KRPUS,MER-DC-US-04,HLCU,TRUCK,22-JAN-25,28-JAN-25,29-JAN-25,EGHU1000749,890 kg,KG,"8,500.00",EUR,DDP,DELIVERED,392690
SHP-210005,4500087361,JPNGO,MER-DC-CN-01,CMDU,RAIL,26-JAN-25,02-FEB-25,04-FEB-25,EGHU1000749,"7,407 lb",LB,800.00,USD,DAP,DELIVERED,850760
SHP-210006,4500087413,CNXMN,MER-DC-SG-01,FDXG,OCEAN,30-JAN-25,26-FEB-25,01-MAR-25,ONEU1001116,"9,240 kg",KG,"4,300.00",USD,FOB,DELIVERED,853400
SHP-210007,4500900007,TWTPE,MER-DC-US-02,CMDU,OCEAN,03-FEB-25,03-MAR-25,N/A,ONEU1001116,"5,158 lb",LB,"17,400.00",USD,FCA,IN_TRANSIT,847330
SHP-210008,,CNSHA,MER-DC-NL-01,MAEU,OCEAN,07-FEB-25,08-MAR-25,N/A,MSKU1001481,"12,810 kg",KG,"1,600.00",USD,EXW,IN_TRANSIT,853400
SHP-210009,,CNYTN,MER-DC-GB-01,ONEY,AIR,11-FEB-25,16-FEB-25,N/A,MSKU1001481,"2,240 kg",KG,"12,900.00",USD,CIF,EXCEPTION,850760
