SNAPSHOT_DATE,FACILITY_CODE,SITE_NAME,COUNTRY,DEPARTMENT,HEADCOUNT_FTE,CONTRACTOR_COUNT,OPEN_REQUISITIONS
2025-01-01,MER-RTL-US-0001,Meridian Store Austin 01,US,RETAIL_OPS,12,1,0
2025-04-01,MER-RTL-US-0001,Meridian Store Austin 01,US,RETAIL_OPS,12,0,1
2025-07-01,MER-RTL-US-0001,Meridian Store Austin 01,US,RETAIL_OPS,13,0,2
2025-10-01,MER-RTL-US-0001,Meridian Store Austin 01,US,RETAIL_OPS,13,0,3
2026-01-01,MER-RTL-US-0001,Meridian Store Austin 01,US,RETAIL_OPS,13,0,4
2026-04-01,MER-RTL-US-0001,Meridian Store Austin 01,US,RETAIL_OPS,14,-,5
2025-01-01,MER-RTL-US-0002,Meridian Store Denver 02,US,RETAIL_OPS,12,1,1
2025-04-01,MER-RTL-US-0002,Meridian Store Denver 02,US,RETAIL_OPS,13,0,2
2025-07-01,MER-RTL-US-0002,Meridian Store Denver 02,US,RETAIL_OPS,13,0,3
2025-10-01,MER-RTL-US-0002,Meridian Store Denver 02,US,RETAIL_OPS,14,0,4
2026-01-01,MER-RTL-US-0002,Meridian Store Denver 02,US,RETAIL_OPS,14,0,5
2026-04-01,MER-RTL-US-0002,Meridian Store Denver 02,US,RETAIL_OPS,14,-,6
2025-01-01,MER-RTL-US-0003,Meridian Store Seattle 03,US,RETAIL_OPS,13,1,2
2025-04-01,MER-RTL-US-0003,Meridian Store Seattle 03,US,RETAIL_OPS,13,0,3
2025-07-01,MER-RTL-US-0003,Meridian Store Seattle 03,US,RETAIL_OPS,14,0,4
2025-10-01,MER-RTL-US-0003,Meridian Store Seattle 03,US,RETAIL_OPS,14,0,5
2026-01-01,MER-RTL-US-0003,Meridian Store Seattle 03,US,RETAIL_OPS,15,0,6
2026-04-01,MER-RTL-US-0003,Meridian Store Seattle 03,US,RETAIL_OPS,15,-,0
