tourney_year_id,tourney_order,tourney_slug,tourney_url_suffix,tourney_round_name,round_order,match_order,winner_name,winner_player_id,winner_slug,loser_name,loser_player_id,loser_slug,winner_seed,loser_seed,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
1968-580,1,australian-open,/en/scores/archive/australian-open/580/1968/results,Finals,1,1,Bill Bowrey,b224,bill-bowrey,Juan Gisbert Sr,g076,juan-gisbert-sr,1,2,75 26 97 64,3,1,24,22,0,0,1968-580-b224-g076,
1968-580,1,australian-open,/en/scores/archive/australian-open/580/1968/results,Semi-Finals,2,1,Bill Bowrey,b224,bill-bowrey,Barry Phillips-Moore,p078,barry-phillips-moore,1,5,108 64 75,3,0,23,17,0,0,1968-580-b224-p078,
1968-580,1,australian-open,/en/scores/archive/australian-open/580/1968/results,Semi-Finals,2,2,Juan Gisbert Sr,g076,juan-gisbert-sr,Ray Ruffels,r076,ray-ruffels,2,4,108 36 62 62,3,1,25,18,0,0,1968-580-g076-r076,
1968-580,1,australian-open,/en/scores/archive/australian-open/580/1968/results,Quarter-Finals,3,1,Bill Bowrey,b224,bill-bowrey,Mike Belkin,b125,mike-belkin,1,7,1614 63 63,2,0,12,6,0,0,1968-580-b224-b125,
1968-580,1,australian-open,/en/scores/archive/australian-open/580/1968/results,Quarter-Finals,3,2,Juan Gisbert Sr,g076,juan-gisbert-sr,Dick Crealy,c093,dick-crealy,2,8,108 36 62 63,3,1,25,19,0,0,1968-580-g076-c093,
1968-580,1,australian-open,/en/scores/archive/australian-open/580/1968/results,Quarter-Finals,3,3,Barry Phillips-Moore,p078,barry-phillips-moore,Manuel Orantes,o017,manuel-orantes,5,3,61 46 63 46 61,3,2,26,17,0,0,1968-580-p078-o017,
1968-580,1,australian-open,/en/scores/archive/australian-open/580/1968/results,Quarter-Finals,3,4,Ray Ruffels,r076,ray-ruffels,Phil Dent,d074,phil-dent,4,14,16 62 61 36 60,3,2,22,15,0,0,1968-580-r076-d074,
1968-580,1,australian-open,/en/scores/archive/australian-open/580/1968/results,Round of 16,4,1,Bill Bowrey,b224,bill-bowrey,Ross Case,c020,ross-case,1,,(W/O),0,0,0,0,0,0,1968-580-b224-c020,
1968-580,1,australian-open,/en/scores/archive/australian-open/580/1968/results,Round of 16,4,2,Juan Gisbert Sr,g076,juan-gisbert-sr,Ray Keldie,k047,ray-keldie,2,16,36 75 62 63,3,1,22,16,0,0,1968-580-g076-k047,
1968-580,1,australian-open,/en/scores/archive/australian-open/580/1968/results,Round of 16,4,3,Manuel Orantes,o017,manuel-orantes,Neale Fraser,f113,neale-fraser,3,,46 46 63 64 64,3,2,26,23,0,0,1968-580-o017-f113,
