Survey,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
First-time Full-time Freshmen,153015,96733,56282,38681,58052,26229,13149,18674,33242,23040,5261,2450,2811
How old will you be on December 31 of this year?,,,,,,,,,,,,,
17 or younger,1.8,1.8,1.8,1.9,1.7,2.0,1.6,1.5,1.8,1.8,2.6,2.3,3.1
18,70.4,70.2,70.6,73.2,66.1,67.5,70.1,62.7,71.0,68.7,68.1,68.1,68.1
19,26.3,26.0,26.6,23.0,30.0,28.4,26.9,33.2,26.3,28.2,26.1,26.7,24.9
20 or older,1.5,2.0,1.0,1.9,2.1,2.1,1.3,2.6,1.0,1.3,3.3,2.9,4.0
Is English your native language?,,,,,,,,,,,,,
Yes,88.2,88.2,88.2,85.2,92.2,90.0,91.5,94.9,88.3,87.7,97.6,97.9,97.2
No,11.8,11.8,11.8,14.8,7.8,10.0,8.5,5.1,11.7,12.3,2.4,2.1,2.8
In what year did you graduate from high school?,,,,,,,,,,,,,
2013,98.0,97.5,98.5,97.5,97.6,97.4,98.6,97.3,98.6,98.2,96.5,96.5,96.4
2012,1.4,1.7,1.1,1.7,1.7,1.9,1.0,1.8,1.0,1.3,2.2,2.3,2.1
2011 or earlier,0.5,0.7,0.4,0.7,0.6,0.6,0.4,0.8,0.4,0.4,1.1,1.0,1.3
Passed G.E.D./Never completed high school,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.0,0.1,0.3,0.2,0.3
Are you enrolled (or enrolling) as a:,,,,,,,,,,,,,
Full-time student,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Part-time student,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How many miles is this college from your,,,,,,,,,,,,,
permanent home?,,,,,,,,,,,,,
5 or less,5.4,6.5,4.2,7.9,4.7,4.3,6.5,4.3,4.2,4.1,4.6,4.4,5.0
6 to 10,7.2,8.9,5.4,11.3,5.7,5.4,9.8,4.1,5.7,4.3,5.4,4.7,6.6
11 to 50,28.4,31.2,25.3,38.2,21.8,21.2,31.3,18.0,26.3,21.1,17.4,17.1,17.9
51 to 100,16.1,17.0,15.2,17.1,16.8,15.4,16.3,18.6,16.9,8.3,17.3,21.9,9.0
101 to 500,26.6,23.3,30.1,18.4,30.0,28.2,23.4,35.0,31.4,24.9,32.3,38.0,22.0
Over 500,16.3,13.0,19.7,7.1,20.9,25.6,12.7,20.0,15.5,37.2,23.0,13.9,39.4
What was your average grade in high school?,,,,,,,,,,,,,
A or A+,26.5,18.4,35.1,14.2,24.2,23.7,23.2,25.2,34.4,38.0,10.8,8.5,14.9
A-,26.6,22.4,31.0,20.1,25.6,26.4,25.9,24.5,30.4,33.5,13.2,11.6,16.2
B+,20.6,23.4,17.6,24.8,21.6,21.8,24.2,20.1,17.8,16.8,23.6,23.6,23.6
B,18.1,23.7,12.1,28.0,17.9,18.6,17.6,17.2,12.9,9.0,24.6,26.2,21.7
B-,5.2,7.5,2.8,8.4,6.3,6.3,5.6,6.6,3.0,1.9,13.5,15.2,10.5
C+,2.2,3.3,1.1,3.4,3.2,2.4,2.4,4.3,1.2,0.6,10.2,11.3,8.2
C,0.7,1.1,0.3,1.0,1.3,0.7,1.0,1.9,0.3,0.2,3.7,3.4,4.4
D,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.3,0.1,0.6
From what kind of high school did you graduate?,,,,,,,,,,,,,
