ACE,Institution,City,State,Stratification Cell,Included in National Norms
1729,Adelphi University,Garden City,NY,4,yes
1243,Adrian College,Adrian,MI,21,yes
1,Alabama A & M University,Normal,AL,34,yes
354,Albertus Magnus College,New Haven,CT,16,yes
1244,Albion College,Albion,MI,23,no
1731,Alfred University,Alfred,NY,13,no
2233,Allegheny College,Meadville,PA,23,no
414,American University,Washington,DC,5,no
2432,Anderson University,Anderson,SC,22,no
2046,Antioch College,Yellow Springs,OH,11,no
497,Armstrong Atlantic State University,Savannah,GA,8,no
125,Art Center College of Design,Pasadena,CA,12,yes
944,Asbury University,Wilmore,KY,13,no
1322,Augsburg College,Minneapolis,MN,22,no
599,Aurora University,Aurora,IL,12,no
5569,Azusa Pacific University,Azusa,CA,4,no
1141,Babson College,Wellesley,MA,14,yes
454,Barry University,Miami,FL,4,no
1042,Bates College,Lewiston,ME,14,yes
5275,Bay Path College,Longmeadow,MA,11,no
2519,Belmont University,Nashville,TN,23,yes
2931,Beloit College,Beloit,WI,14,yes
7072,Benedictine College,Atchison,KS,18,no
692,Benedictine University,Lisle,IL,4,yes
1934,Bennett College for Women,Greensboro,NC,38,no
2751,Bennington College,Bennington,VT,14,yes
948,Berea College,Berea,KY,13,yes
503,Berry College,Mount Berry,GA,13,yes
5349,Bethany Lutheran College,Mankato,MN,23,yes
5194,Bethel College-Indiana,Mishawaka,IN,22,yes
5753,Biola University,La Mirada,CA,4,yes
1641,Bloomfield College,Bloomfield,NJ,20,no
2049,Bluffton University,Bluffton,OH,21,yes
605,Bradley University,Peoria,IL,13,yes
9113,Bridge Idaho,Moscow,ID,no,
1193,Bridgewater State University,Bridgewater,MA,8,yes
2231,Bryn Athyn College of the New Church,Bryn Athyn,PA,22,yes
749,Butler University,Indianapolis,IN,6,yes
131,California Baptist University,Riverside,CA,20,no
132,California College of the Arts,Oakland,CA,12,yes
5621,California Maritime Academy,Vallejo,CA,9,yes
129,California State Polytechnic University-Pomona,Pomona,CA,9,yes
5010,California State University-Long Beach,Long Beach,CA,8,yes
194,California State University-Los Angeles,Los Angeles,CA,7,yes
4823,California State University-Monterey Bay,Seaside,CA,7,no
230,California State University-Northridge,Northridge,CA,7,yes
5751,California State University-San Bernardino,San Bernardino,CA,7,yes
4851,California State University-San Marcos,San Marcos,CA,7,yes
5795,Calvin College,Grand Rapids,MI,23,yes
606,Carthage College,Kenosha,WI,23,yes
2750,Castleton State College,Castleton,VT,7,yes
1938,Catawba College,Salisbury,NC,11,yes
416,Catholic University of America,Washington,DC,4,no
1745,Cazenovia College,Cazenovia,NY,11,no
1643,Centenary College,Hackettstown,NJ,20,no
2054,Central State University,Wilberforce,OH,34,yes
956,Centre College,Danville,KY,23,yes
141,Chapman University,Orange,CA,23,yes
6484,Charleston Southern University,Charleston,SC,20,yes
2322,Cheyney University of Pennsylvania,Cheyney,PA,34,no
1941,Chowan University,Murfreesboro,NC,20,yes
2523,Christian Brothers University,Memphis,TN,18,no
2435,Citadel Military College of South Carolina,Charleston,SC,9,yes
147,Claremont McKenna College,Claremont,CA,14,no
507,Clark Atlanta University,Atlanta,GA,41,yes
1151,Clark University,Worcester,MA,5,yes
1748,Clarkson University,Potsdam,NY,4,yes
1044,Colby College,Waterville,ME,14,yes
1749,Colgate University,Hamilton,NY,14,yes
2785,College of William and Mary,Williamsburg,VA,3,no
7402,Colorado Christian University,Lakewood,CO,22,yes
318,Colorado State University-Fort Collins,Fort Collins,CO,2,no
5542,Columbus College of Art and Design,Columbus,OH,12,no
359,Connecticut College,New London,CT,14,yes
1077,Coppin State University,Baltimore,MD,34,no
6667,Corban University,Salem,OR,22,yes
1463,Cottey College,Nevada,MO,15,yes
1573,Creighton University,Omaha,NE,18,yes
6430,CUNY Lehman College,Bronx,NY,8,no
6166,Dalton State College,Dalton,GA,10,no
1942,Davidson College,Davidson,NC,23,no
2244,Delaware Valley College,Doylestown,PA,12,yes
2065,Denison University,Granville,OH,14,yes
2247,Dickinson College,Carlisle,PA,14,yes
1005,Dillard University,New Orleans,LA,38,yes
