year,fuel,emissions_mt
1750,Solid Fuel,9.3
1751,Solid Fuel,9.4
1752,Solid Fuel,9.5
1753,Solid Fuel,9.6
1754,Solid Fuel,9.7
1755,Solid Fuel,9.8
1756,Solid Fuel,9.9
1757,Solid Fuel,10.1
1758,Solid Fuel,10.2
1759,Solid Fuel,10.3
1760,Solid Fuel,10.5
1761,Solid Fuel,10.7
1762,Solid Fuel,11.0
1763,Solid Fuel,11.2
1764,Solid Fuel,11.4
1765,Solid Fuel,11.6
1766,Solid Fuel,11.9
1767,Solid Fuel,12.2
1768,Solid Fuel,12.5
1769,Solid Fuel,12.8
1770,Solid Fuel,13.1
1771,Solid Fuel,13.4
1772,Solid Fuel,13.6
1773,Solid Fuel,13.8
1774,Solid Fuel,14.0
1775,Solid Fuel,14.3
1776,Solid Fuel,14.7
1777,Solid Fuel,15.0
1778,Solid Fuel,15.2
1779,Solid Fuel,15.5
1780,Solid Fuel,15.9
1781,Solid Fuel,16.2
1782,Solid Fuel,16.6
1783,Solid Fuel,17.1
1784,Solid Fuel,17.5
1785,Solid Fuel,18.0
1786,Solid Fuel,18.4
1787,Solid Fuel,18.9
1788,Solid Fuel,19.3
1789,Solid Fuel,19.9
1790,Solid Fuel,20.4
1791,Solid Fuel,20.9
1792,Solid Fuel,21.9
1793,Solid Fuel,22.3
1794,Solid Fuel,22.5
1795,Solid Fuel,22.3
1796,Solid Fuel,22.1
1797,Solid Fuel,22.1
1798,Solid Fuel,23.1
1799,Solid Fuel,27.5
1800,Solid Fuel,32.8
1801,Solid Fuel,32.0
1802,Solid Fuel,40.3
1803,Solid Fuel,29.5
1804,Solid Fuel,31.8
1805,Solid Fuel,31.3
1806,Solid Fuel,32.7
1807,Solid Fuel,36.2
1808,Solid Fuel,35.5
1809,Solid Fuel,36.3
1810,Solid Fuel,39.5
1811,Solid Fuel,40.2
1812,Solid Fuel,40.8
1813,Solid Fuel,41.2
1814,Solid Fuel,42.2
1815,Solid Fuel,43.6
1816,Solid Fuel,45.5
1817,Solid Fuel,49.3
1818,Solid Fuel,51.4
1819,Solid Fuel,50.9
1820,Solid Fuel,50.7
1821,Solid Fuel,52.1
1822,Solid Fuel,54.0
1823,Solid Fuel,56.4
1824,Solid Fuel,57.6
1825,Solid Fuel,60.7
1826,Solid Fuel,61.4
1827,Solid Fuel,65.7
1828,Solid Fuel,66.7
1829,Solid Fuel,66.3
1830,Solid Fuel,89.0
1831,Solid Fuel,83.3
1832,Solid Fuel,82.1
1833,Solid Fuel,83.2
1834,Solid Fuel,88.8
1835,Solid Fuel,97.4
1836,Solid Fuel,106.9
1837,Solid Fuel,106.2
1838,Solid Fuel,105.8
1839,Solid Fuel,109.7
1840,Solid Fuel,118.8
1841,Solid Fuel,122.2
1842,Solid Fuel,129.4
1843,Solid Fuel,132.4
1844,Solid Fuel,142.0
1845,Solid Fuel,155.1
1846,Solid Fuel,157.7
1847,Solid Fuel,170.8
1848,Solid Fuel,173.6
1849,Solid Fuel,185.0
1850,Solid Fuel,196.8
1851,Solid Fuel,198.8
1852,Solid Fuel,207.6
1853,Solid Fuel,217.2
1854,Solid Fuel,255.0
1855,Solid Fuel,260.2
1855,Liquid Fuel,0.0
1856,Solid Fuel,278.2
1856,Liquid Fuel,0.0
1857,Solid Fuel,281.1
1857,Liquid Fuel,0.1
1858,Solid Fuel,285.5
1858,Liquid Fuel,0.1
1859,Solid Fuel,302.5
1859,Liquid Fuel,0.1
1860,Solid Fuel,332.0
1860,Liquid Fuel,0.3
1861,Solid Fuel,348.2
1861,Liquid Fuel,0.9
1862,Solid Fuel,354.6
1862,Liquid Fuel,1.4
1863,Solid Fuel,378.2
1863,Liquid Fuel,1.3
1864,Solid Fuel,408.4
1864,Liquid Fuel,1.1
1865,Solid Fuel,433.5
1865,Liquid Fuel,1.3
1866,Solid Fuel,447.1
1866,Liquid Fuel,2.0
1867,Solid Fuel,478.8
1867,Liquid Fuel,2.0
1868,Solid Fuel,492.2
1868,Liquid Fuel,2.3
1869,Solid Fuel,522.1
1869,Liquid Fuel,2.6
1870,Solid Fuel,533.0
1870,Liquid Fuel,3.1
1871,Solid Fuel,566.5
1871,Liquid Fuel,3.3
1872,Solid Fuel,627.3
1872,Liquid Fuel,3.7
1873,Solid Fuel,664.8
1873,Liquid Fuel,5.7
1874,Solid Fuel,622.4
1874,Liquid Fuel,6.2
1875,Solid Fuel,675.2
1875,Liquid Fuel,5.8
1876,Solid Fuel,684.0
1876,Liquid Fuel,6.5
1877,Solid Fuel,695.2
