Year,Total,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring,Per Capita
1750,3,,,3,,,0
1751,3,,,3,,,0
1752,3,,,3,,,0
1753,3,,,3,,,0
1754,3,,,3,,,0
1755,3,,,3,,,0
1756,3,,,3,,,0
1757,3,,,3,,,0
1758,3,,,3,,,0
1759,3,,,3,,,0
1760,3,,,3,,,0
1761,3,,,3,,,0
1762,3,,,3,,,0
1763,3,,,3,,,0
1764,3,,,3,,,0
1765,3,,,3,,,0
1766,3,,,3,,,0
1767,3,,,3,,,0
1768,3,,,3,,,0
1769,3,,,3,,,0
1770,4,,,4,,,0
1771,4,,,4,,,0
1772,4,,,4,,,0
1773,4,,,4,,,0
1774,4,,,4,,,0
1775,4,,,4,,,0
1776,4,,,4,,,0
1777,4,,,4,,,0
1778,4,,,4,,,0
1779,4,,,4,,,0
1780,4,,,4,,,0
1781,4,,,4,,,0
1782,5,,,5,,,0
1783,5,,,5,,,0.01
1784,5,,,5,,,0.01
1785,5,,,5,,,0.01
1786,5,,,5,,,0.01
1787,5,,,5,,,0.01
1788,5,,,5,,,0.01
1789,5,,,5,,,0.01
1790,6,,,6,,,0.01
1791,6,,,6,,,0.01
1792,6,,,6,,,0.01
1793,6,,,6,,,0.01
1794,6,,,6,,,0.01
1795,6,,,6,,,0.01
1796,6,,,6,,,0.01
1797,6,,,6,,,0.01
1798,6,,,6,,,0.01
1799,7,,,7,,,0.01
1800,9,,,9,,,0.01
1801,9,,,9,,,0.01
1802,11,,,11,,,0.01
1803,8,,,8,,,0.01
1804,9,,,9,,,0.01
1805,9,,,9,,,0.01
1806,9,,,9,,,0.01
1807,10,,,10,,,0.01
1808,10,,,10,,,0.01
1809,10,,,10,,,0.01
1810,11,,,11,,,0.01
1811,11,,,11,,,0.01
1812,11,,,11,,,0.01
1813,11,,,11,,,0.01
1814,12,,,12,,,0.01
1815,12,,,12,,,0.01
1816,12,,,12,,,0.01
1817,13,,,13,,,0.01
1818,14,,,14,,,0.01
1819,14,,,14,,,0.01
1820,14,,,14,,,0.01
1821,14,,,14,,,0.01
1822,15,,,15,,,0.01
1823,15,,,15,,,0.01
1824,16,,,16,,,0.01
1825,17,,,17,,,0.01
1826,17,,,17,,,0.01
1827,18,,,18,,,0.02
1828,18,,,18,,,0.02
1829,18,,,18,,,0.02
1830,24,,,24,,,0.02
1831,23,,,23,,,0.02
1832,22,,,22,,,0.02
1833,23,,,23,,,0.02
1834,24,,,24,,,0.02
1835,27,,,27,,,0.02
1836,29,,,29,,,0.02
1837,29,,,29,,,0.02
1838,29,,,29,,,0.02
1839,30,,,30,,,0.03
1840,32,,,32,,,0.03
1841,33,,,33,,,0.03
1842,35,,,35,,,0.03
1843,36,,,36,,,0.03
1844,39,,,39,,,0.03
1845,42,,,42,,,0.03
1846,43,,,43,,,0.03
1847,47,,,47,,,0.04
1848,47,,,47,,,0.04
1849,50,,,50,,,0.04
1850,54,,,54,,,0.04
1851,54,,,54,,,0.04
1852,57,,,57,,,0.04
1853,59,,,59,,,0.05
1854,70,,,70,,,0.05
1855,71,,0,71,,,0.05
1856,76,,0,76,,,0.06
1857,77,,0,77,,,0.06
1858,78,,0,78,,,0.06
1859,83,,0,83,,,0.06
1860,91,,0,91,,,0.07
1861,95,,0,95,,,0.07
1862,97,,0,97,,,0.07
1863,104,,0,103,,,0.08
1864,112,,0,111,,,0.08
1865,119,,0,118,,,0.09
1866,122,,1,122,,,0.09
1867,131,,1,131,,,0.1
1868,135,,1,134,,,0.1
1869,143,,1,142,,,0.1
1870,146,,1,145,,,0.1
1871,155,,1,154,,,0.11
1872,172,,1,171,,,0.12
1873,183,,2,181,,,0.13
1874,171,,2,170,,,0.12
1875,186,,2,184,,,0.13
1876,188,,2,187,,,0.13
1877,192,,2,190,,,0.13
1878,194,,3,191,,,0.13
1879,207,,3,204,,,0.14
1880,234,,4,230,0,,0.16
1881,242,,5,237,0,,0.16
1882,256,0,5,251,0,,0.17
1883,272,0,4,267,0,,0.18
1884,275,0,5,270,0,,0.18
1885,277,1,5,271,0,,0.18
1886,282,2,6,274,0,,0.18
1887,296,3,6,286,0,,0.19
1888,328,5,7,316,0,,0.21
1889,328,3,8,317,0,,0.21
1890,357,3,9,344,0,,0.23
1891,374,2,11,360,0,,0.24
1892,377,2,11,363,0,,0.24
1893,372,2,12,358,0,,0.23
1894,385,2,11,372,0,,0.24
1895,408,2,13,393,0,,0.25
1896,421,2,14,405,0,,0.26
1897,441,2,15,424,0,,0.27
1898,466,2,16,447,0,,0.28
1899,508,3,16,489,0,,0.31
