UID,iso2,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Population
4,AF,4,,,,Afghanistan,33.93911,67.709953,Afghanistan,38928341
8,AL,8,,,,Albania,41.1533,20.1683,Albania,2877800
10,AQ,10,,,,Antarctica,-71.9499,23.347,Antarctica,
12,DZ,12,,,,Algeria,28.0339,1.6596,Algeria,43851043
20,AD,20,,,,Andorra,42.5063,1.5218,Andorra,77265
24,AO,24,,,,Angola,-11.2027,17.8739,Angola,32866268
28,AG,28,,,,Antigua and Barbuda,17.0608,-61.7964,Antigua and Barbuda,97928
32,AR,32,,,,Argentina,-38.4161,-63.6167,Argentina,45195777
51,AM,51,,,,Armenia,40.0691,45.0382,Armenia,2963234
40,AT,40,,,,Austria,47.5162,14.5501,Austria,9006400
31,AZ,31,,,,Azerbaijan,40.1431,47.5769,Azerbaijan,10139175
44,BS,44,,,,Bahamas,25.025885,-78.035889,Bahamas,393248
48,BH,48,,,,Bahrain,26.0275,50.55,Bahrain,1701583
50,BD,50,,,,Bangladesh,23.685,90.3563,Bangladesh,164689383
52,BB,52,,,,Barbados,13.1939,-59.5432,Barbados,287371
112,BY,112,,,,Belarus,53.7098,27.9534,Belarus,9449321
56,BE,56,,,,Belgium,50.8333,4.469936,Belgium,11492641
5601,BE,56,,,Antwerp,Belgium,51.2195,4.4024,"Antwerp, Belgium",1869730
5602,BE,56,,,Brussels,Belgium,50.8503,4.3517,"Brussels, Belgium",1218255
5603,BE,56,,,East Flanders,Belgium,51.0362,3.7373,"East Flanders, Belgium",1525255
5604,BE,56,,,Flemish Brabant,Belgium,50.9167,4.5833,"Flemish Brabant, Belgium",1155843
5605,BE,56,,,Hainaut,Belgium,50.5257,4.0621,"Hainaut, Belgium",1346840
5606,BE,56,,,Liege,Belgium,50.4496,5.8492,"Liege, Belgium",1109800
5607,BE,56,,,Limburg,Belgium,50.9739,5.342,"Limburg, Belgium",877370
5608,BE,56,,,Luxembourg,Belgium,50.0547,5.4677,"Luxembourg, Belgium",286752
5609,BE,56,,,Namur,Belgium,50.331,4.8221,"Namur, Belgium",495832
5610,BE,56,,,Unknown,Belgium,,,"Unknown, Belgium",
5611,BE,56,,,Walloon Brabant,Belgium,50.4,4.35,"Walloon Brabant, Belgium",406019
5612,BE,56,,,West Flanders,Belgium,51.0536,3.1458,"West Flanders, Belgium",1200945
84,BZ,84,,,,Belize,17.1899,-88.4976,Belize,397621
204,BJ,204,,,,Benin,9.3077,2.3158,Benin,12123198
64,BT,64,,,,Bhutan,27.5142,90.4336,Bhutan,771612
68,BO,68,,,,Bolivia,-16.2902,-63.5887,Bolivia,11673029
70,BA,70,,,,Bosnia and Herzegovina,43.9159,17.6791,Bosnia and Herzegovina,3280815
72,BW,72,,,,Botswana,-22.3285,24.6849,Botswana,2351625
76,BR,76,,,,Brazil,-14.235,-51.9253,Brazil,212559409
7601,BR,76,,,Acre,Brazil,-9.0238,-70.812,"Acre, Brazil",881935
7602,BR,76,,,Alagoas,Brazil,-9.5713,-36.782,"Alagoas, Brazil",3337357
7603,BR,76,,,Amapa,Brazil,0.902,-52.003,"Amapa, Brazil",845731
7604,BR,76,,,Amazonas,Brazil,-3.4168,-65.8561,"Amazonas, Brazil",4144597
7605,BR,76,,,Bahia,Brazil,-12.5797,-41.7007,"Bahia, Brazil",14873064
7606,BR,76,,,Ceara,Brazil,-5.4984,-39.3206,"Ceara, Brazil",9132078
7607,BR,76,,,Distrito Federal,Brazil,-15.7998,-47.8645,"Distrito Federal, Brazil",3015268
7608,BR,76,,,Espirito Santo,Brazil,-19.1834,-40.3089,"Espirito Santo, Brazil",4018650
7609,BR,76,,,Goias,Brazil,-15.827,-49.8362,"Goias, Brazil",7018354
7610,BR,76,,,Maranhao,Brazil,-4.9609,-45.2744,"Maranhao, Brazil",7075181
7611,BR,76,,,Mato Grosso,Brazil,-12.6819,-56.9211,"Mato Grosso, Brazil",3484466
7612,BR,76,,,Mato Grosso do Sul,Brazil,-20.7722,-54.7852,"Mato Grosso do Sul, Brazil",2778986
7613,BR,76,,,Minas Gerais,Brazil,-18.5122,-44.555,"Minas Gerais, Brazil",21168791
7614,BR,76,,,Para,Brazil,-1.9981,-54.9306,"Para, Brazil",8602865
7615,BR,76,,,Paraiba,Brazil,-7.24,-36.782,"Paraiba, Brazil",4018127
7616,BR,76,,,Parana,Brazil,-25.2521,-52.0215,"Parana, Brazil",11433957
7617,BR,76,,,Pernambuco,Brazil,-8.8137,-36.9541,"Pernambuco, Brazil",9557071
7618,BR,76,,,Piaui,Brazil,-7.7183,-42.7289,"Piaui, Brazil",3273227
7619,BR,76,,,Rio de Janeiro,Brazil,-22.9068,-43.1729,"Rio de Janeiro, Brazil",17264943
7620,BR,76,,,Rio Grande do Norte,Brazil,-5.4026,-36.9541,"Rio Grande do Norte, Brazil",3506853
7621,BR,76,,,Rio Grande do Sul,Brazil,-30.0346,-51.2177,"Rio Grande do Sul, Brazil",11377239
7622,BR,76,,,Rondonia,Brazil,-11.5057,-63.5806,"Rondonia, Brazil",1777225
7623,BR,76,,,Roraima,Brazil,-2.7376,-62.0751,"Roraima, Brazil",605761
7624,BR,76,,,Santa Catarina,Brazil,-27.2423,-50.2189,"Santa Catarina, Brazil",7164788
7625,BR,76,,,Sao Paulo,Brazil,-23.5505,-46.6333,"Sao Paulo, Brazil",45919049
7626,BR,76,,,Sergipe,Brazil,-10.5741,-37.3857,"Sergipe, Brazil",2298696
7627,BR,76,,,Tocantins,Brazil,-10.1753,-48.2982,"Tocantins, Brazil",1572866
7628,BR,76,,,Unknown,Brazil,,,"Unknown, Brazil",
96,BN,96,,,,Brunei,4.5353,114.7277,Brunei,437483
100,BG,100,,,,Bulgaria,42.7339,25.4858,Bulgaria,6948445
854,BF,854,,,,Burkina Faso,12.2383,-1.5616,Burkina Faso,20903278
104,MM,104,,,,Burma,21.9162,95.956,Burma,54409794
108,BI,108,,,,Burundi,-3.3731,29.9189,Burundi,11890781
132,CV,132,,,,Cabo Verde,16.5388,-23.0418,Cabo Verde,555988
116,KH,116,,,,Cambodia,11.55,104.9167,Cambodia,16718971
120,CM,120,,,,Cameroon,3.848,11.5021,Cameroon,26545864
140,CF,140,,,,Central African Republic,6.6111,20.9394,Central African Republic,4829764
148,TD,148,,,,Chad,15.4542,18.7322,Chad,16425859
152,CL,152,,,,Chile,-35.6751,-71.543,Chile,19116209
15201,CL,152,,,Antofagasta,Chile,-23.6509,-70.3975,"Antofagasta, Chile",607534
15202,CL,152,,,Araucania,Chile,-38.9489,-72.3311,"Araucania, Chile",957224
15203,CL,152,,,Arica y Parinacota,Chile,-18.594,-69.4785,"Arica y Parinacota, Chile",226068
15204,CL,152,,,Atacama,Chile,-27.5661,-70.0503,"Atacama, Chile",288944
15205,CL,152,,,Aysen,Chile,-45.9864,-73.7669,"Aysen, Chile",103158
15206,CL,152,,,Biobio,Chile,-37.4464,-72.1416,"Biobio, Chile",1556805
15207,CL,152,,,Coquimbo,Chile,-29.959,-71.3389,"Coquimbo, Chile",757586
15208,CL,152,,,Los Lagos,Chile,-41.9198,-72.1416,"Los Lagos, Chile",828708
15209,CL,152,,,Los Rios,Chile,-40.231,-72.3311,"Los Rios, Chile",384837
15210,CL,152,,,Magallanes,Chile,-52.368,-70.9863,"Magallanes, Chile",166533
15211,CL,152,,,Maule,Chile,-35.5183,-71.6885,"Maule, Chile",1044950
15212,CL,152,,,Metropolitana,Chile,-33.4376,-70.6505,"Metropolitana, Chile",7112808
15213,CL,152,,,Nuble,Chile,-36.7226,-71.7622,"Nuble, Chile",480609
15214,CL,152,,,OHiggins,Chile,-34.5755,-71.0022,"OHiggins, Chile",914555
15215,CL,152,,,Tarapaca,Chile,-19.9232,-69.5132,"Tarapaca, Chile",330558
15216,CL,152,,,Valparaiso,Chile,-33.0472,-71.6127,"Valparaiso, Chile",1815902
15217,CL,152,,,Unknown,Chile,,,"Unknown, Chile",
170,CO,170,,,,Colombia,4.5709,-74.2973,Colombia,50882884
17001,CO,170,,,Amazonas,Colombia,-1.4429,-71.5724,"Amazonas, Colombia",76589
17002,CO,170,,,Antioquia,Colombia,7.1986,-75.3412,"Antioquia, Colombia",6407102
17003,CO,170,,,Arauca,Colombia,7.0762,-70.7105,"Arauca, Colombia",262174
17004,CO,170,,,Atlantico,Colombia,10.6966,-74.8741,"Atlantico, Colombia",2535517
17005,CO,170,,,Bolivar,Colombia,8.6704,-74.03,"Bolivar, Colombia",2070110
