name,founded_year,country_code,state_code,zip_code,city,address1,raised_amount
A & S Professional Security Services,1986,USA,CA,91722,Covina,"706 E. Arrow Highway, #A",0
A Beautiful Site,2007,ZAF,,1332,Sidlamafa,P.o box 97,0
A Better Opinion,2008,USA,CA,91423,Sherman Oaks,14320 Ventura Boulevard,0
A Better Temporary,,USA,WA,98115,Seattle,6561 Phinney Ave N,0
A Bit Lucky,2009,USA,CA,94403,San Mateo,1700 S. Amphlett Blvd.,2600000.0
A la Mobile,2005,USA,KS,94583,San Ramon,2603 Camino Ramon,7550000.0
A LITTLE WORLD,2000,IND,,400 025,Mumbai,"#10-11, Shubhada B-Wing",6410000.0
A Place for Mom,2000,USA,WA,98119,,,0
A Small Orange,2003,USA,GA,30312 ,Atlanta,650 Hamilton Ave SE,0
A Space Apart,2010,USA,IL,60602,Chicago,9 W Washington,25000.0
A Unique Presentation,2008,USA,CA,90034,Los Angeles,3675 Dunn Drive,0
A&M Communications,1994,IND,,400064,"Malad West, Mumbai","Palm Court Bldg M, 501/B, 5th Floor",0
A+ Ventures,2009,USA,NY,11101,New York,,0
A-1 Technology,2001,USA,NY,10006,New York,115 Broadway,0
A-COM Solutions,,AUS,,5070,Glynde ,Unit 3,0
A-T Solutions,2002,USA,VA,22408,Fredericksburg,11905 Bowman Drive,0
A-Z World Translation and Interpretation,,CAN,,V7R 2M1,N. Vancouver,704 Maurelle Court,0
A1 Security Cameras,2007,USA,TX,75208,Dallas,1214 W Davis St,0
A1 Technologies,2009,GBR,,N10 3UA,London,12 Woodland Gardens,0
A1-4 Electronics,,USA,NY,11206,Brooklyn, 581 Flushing Ave.,0
A10 Networks,2004,USA,CA,95131,San Jose,2309 Bering Drive ,38000000.0
A123 Systems,,USA,MA,02472,Watertown,321 Arsenal Street,452860000.0
A1Vacations,,USA,VA,24101 ,Hardy,95 Westlake Rd.,0
A2 ltd,1997,USA,OH,43220,Columbus,2508 Summit St,0
A2B Office Technology,1991,GBR,,BL8 9AP,Bury,PO Box 444,0
A2Btransfers.com,2005,GBR,,,,,0
A2zdesignwork,2005,IND,,560095,Bangalore,8th Blok,0
A3 Technologies,2002,USA,NC,28227,Charlotte,2300 Sardis Road North,0
A9,2003,USA,CA,94301,Palo Alto,130 Lytton Ave,0
AAfter Corporation,2005,USA,TX,75248,Dallas,"15950 Dallas Parkway, Suite 400",0
AAPT,,AUS,,2000 ,Sydney NSW,680 George Street ,0
Aardvark,2007,USA,CA,94110,San Francisco,,6000000.0
Aardvark Media Limited,1996,GBR,,,London,,0
Aaromba Technologies,,AUS,,NSW 2060 ,North Sydney,"Level 6, 122 Walker Street,  ",0
aaTag,2010,BRA,,18087-170,Sorocaba,"Liverdade Avenue, 1701",0
Aava Mobile,2009,FIN,,,,Nahkatehtaankatu 2,4260000.0
AAyuja,2006,IND,,,Bangalore,,0
Ab Initio,,USA,MA,02421,Lexington,201 Spring Street,0
Abacast,,USA,WA,98607,Camas,PO Box 518,0
Abakan,2006,USA,FL,33180,Miami,2829 Bird Avenue,0
Abaltat,2005,IRL,,,Galway,Spiddal,0
Abaq.us,2007,USA,CA,94085 ,Sunnyvale,440 N. Wolfe Rd,0
Abaxia,2001,FRA,,92200,Neuilly sur Seine,40 rue Madeleine Michelis ,1770000.0
abaXX Technology,1999,DEU,,70174,Stuttgart,Forststrasse 7,4540000.0
Abazab,1997,USA,CA,95008,Campbell,1821 South Bascom Avenue,4100000.0
ABB,,CHE,,CH-8050,Zurich,Affolternstrasse 44,0
Abbey Business Centres,,GBR,,EC1A 4EN,London,16 St Martin's le Grand,0
Abbott Labs,1991,USA,IL,60018-3315,Des Plaines,1300 East Touhy,0
AbbysFunHouse.com,2009,USA,AL,36111-0586,Montgomery,P.O. Box 11586,0
ABC Live,2007,IND,,160009,Chandigarh,Sector 7,25000.0
ABC News Online,,USA,NY,10023 ,New York,77 W. 66 St.,0
Abcellute,2001,GBR,,AL7 3AX,Herts,"BioPark, Braodwater Road",0
ABCi Interactive,1996,USA,IL,60005,Arlington Heights,48 W Seegers Rd,0
ABCO TECHNOLOGY,2001,USA,CA,90045,Los Angeles,6733 Sepulveda Blvd. ,0
AbeBooks,1996,CAN,,V9A 6X5,Victoria,655 Tyee Road,0
Abella Books,1998,USA,UT,84090,Sandy,PO Box 900352,0
abeo,,USA,TX,75206,Dallas,8150 North Central Expressway Suite #635,0
Aberdeen Group,1988,USA,MA,02110,Boston,260 Franklin Street ,0
aBetterOffice,2008,USA,KY,40507,Lexington,348 E Main Street,0
Abfrontier,,PRK,,153-801,Seoul,"11F., Byucksan Digital Valley 5th",0
Abhav,2008,USA,MA,02142,Cambridge,"1, Broadway",0
ABIBA Systems,2007,IND,,560034,Bangalore,BSK 2nd Stage,0
Abilis New England,1988,USA,ME,04104,Portland,245 Commercial street ,0
Abilis Solutions,1996,CAN,,H3A2R7,MONTR?AL,1010 Sherbrooke West,0
Abillo,2009,NLD,,,,,0
Abine,,USA,MA,02139,Cambridge,720 Massachusetts Avenue,0
Abiquo,2006,USA,CA,94065,Redwood City,203 Redwood Shores Parkway,5740000.0
Able Planet,2005,USA,CO,80033,Wheat Ridge,9500 W. 49th Ave.,150000.0
Ablechair,2008,USA,CA,92663,Newport Beach,506 1/2 36th Street,0
AbleNet,,USA,MN,55113,North - Roseville,2808 Fairview Avenue,0
AblePlay,,USA,IL,60614,Chicago,2001 N. Clybourn,0
Ableton,1999,DEU,,10437,Berlin,Schoenhauser Allee 6-7,0
abotic,2008,AUT,,1030,Vienna,Thomas-Klestil-Platz 3,0
Abound Solar,,USA,CO,80538,Loveland ,2695 Rocky Mountain Avenue,400000000.0
About.com,1996,USA,,,,,0
AboutOne,2008,USA,PA,,,,0
AboutUs.org,2006,USA,OR,97214,Portland,107 SE Washington St,2500000.0
AboutWeblogs,,AUS,,5095,Mawson Lakes,45 Grasswren Way,0
Above Security,1999,CAN,,J7H1N8,Boisbriand,1919 Lionel Bertrand,2500000.0
Above the Fold,2004,USA,MA,02109,Boston,Ten Post Office Sq,0
ABR--Affinity BioReagents,1989,USA,CO,80403,Golden,4620 Technology Drive,0
Abraxas,2001,USA,VA,22101,McLean,6845 Elm Street,0
Abraxis BioScience,2007,USA,CA,90025,Los Angeles,11755 Wilshire Blvd.,0
ABRY Partners,1989,USA,MA,02199,Boston,111 Huntington Avenue,0
ABS-CBN GLOBAL LTD.,,PHL,,1103,Quezon City,9/F ELJ Communications Center,0
Absara,2002,FRA,,31000,Toulouse,Compans-Caffarelli,0
Absoft,2004,SWE,,83251,Fr?s?n,?neslingan 11,0
Absolicon Solar Concentrator,2007,SWE,,871 33,H?rn?sand,Matrosgatan 5,661000.0
ABSOLU TELECOM,2000,LUX,,L1251,Luxembourg,13 ave du Bois,0
Absolute Intuistic,2004,GBR,,TW10 6UD,Richmond,Ai House Holbrooke Place,0
Absolute Media,2009,GBR,,EC2M 3TY,London,Broadgate Court 199 Bishopsgate,0
Absolute Radio,1993,GBR,,W1F 9DJ,London,No.1 Golden Square,0
Absolute Software,1993,CAN,,V7X 1K8,Vancouver,1055 Dunsmuir St. ,0
"Absolute Web Services, Inc.",1999,USA,FL,33180,Miami,18851 NE 29th Avenue,0
Absolutebyte,,PAK,,54660,Lahore,57-C/1 Gulburg 3,0
AbsolutMind,2008,GBR,,W1H1PJ,London,"19-21,Crawford street",0
"Absorbent, Ink.",2000,USA,TX,78744,Austin,"4115 Freidrich Lane, Suite 200",0
