lat,lon,value,tooltip
44.867013,-93.42557,2303.7935801,"55344 - $30,000,000 - Digital River, HighJump Software, Ingenix, JobDig, Konnected Interactive, ... - $2,303 per person"
39.700561,-75.7431,35.8680057389,"19711 - $2,000,000 - ION-E Group, Quantum Leap Innovations, SevOne, Wilmington Professional Associates - $35 per person"
44.921599,-93.40857,2022.47191011,"55343 - $49,500,000 - Amcom Software, Anulex, BroadSign, Cardiac Concepts, Digi International, ... - $2,022 per person"
42.357903,-71.06408,11317.4695299,"02108 - $39,000,000 - Going, Kala Pharmaceuticals, Optaros, SiteSpect, thoughtbot, ... - $11,317 per person"
42.361477,-71.05417,6448.36435239,"02109 - $22,104,993 - Above the Fold, Convasis, eegoes, Fluent Mobile, Insight Guru, ... - $6,448 per person"
33.602823,-117.71295,210.292959848,"92653 - $10,150,000 - Allied Schools, Centercode, Lonestar Heart, Repeater Store, SpeedTax - $210 per person"
30.343407,-81.40949,11.8119536971,"32233 - $300,000 - Yovia - $11 per person"
33.535325,-117.77192,475.819899944,"92651 - $11,984,000 - Advanced Cardiac Therapeutics, HotClickVideo, Insigniam Performance, Kijubi, Makena Technologies, ... - $475 per person"
33.581533,-117.72474,4961.67092815,"92656 - $204,529,999 - Buy.com, Cianna Medical, Clarient, Darby Corporate Solutions, DATAllegro, ... - $4,961 per person"
40.092941,-75.37525,6591.14785548,"19406 - $144,300,000 - American Reading Company, Beyond.com, CentriServ, Contour Data Solutions, GreenLink Networks, ... - $6,591 per person"
40.146069,-75.38378,2976.31926914,"19403 - $123,800,000 - Really Strategies, Tengion - $2,976 per person"
44.880435,-93.4869,27.9017857143,"55346 - $500,000 - Two Fish - $27 per person"
30.531677,-84.16049,44.3291885542,"32308 - $2,000,000 - Learn Something - $44 per person"
42.630915,-71.33238,2333.70456616,"01851 - $69,150,000 - Acopia Networks, BitWave, Centive, Dimdim, Litle & Co, ... - $2,333 per person"
42.269845,-71.61408,8053.76582982,"01581 - $145,000,000 - Aternity, Chitika, ExaGrid Systems, GenomeQuest, Optasite, ... - $8,053 per person"
44.048931,-92.49459,11.8424480709,"55901 - $500,000 - Hardcore Computer - $11 per person"
42.061427,-71.24232,1846.60839591,"02035 - $30,000,000 - Axeda, Play Hard Sports, Quick Hit - $1,846 per person"
41.047996,-73.96215,3207.88530466,"10962 - $17,900,000 - Core Dynamics - $3,207 per person"
41.832842,-72.92526,884.955752212,"06022 - $4,000,000 - CoolSpotter, Fanzter - $884 per person"
42.089104,-71.4069,188.176589986,"02038 - $5,562,500 - Echo Therapeutics, Serendeputy, TBG Security - $188 per person"
28.598677,-81.35594,2390.17000505,"32789 - $56,800,000 - Bison Optical Disc, Bonnier Corporation, Highwinds, Quest National Services, Software Techniques - $2,390 per person"
33.588486,-85.1062,673.586234347,"30117 - $22,000,000 - Greenway Medical Technologies - $673 per person"
