AF3,F7,FC5,T7,P,O1,class
4329.23,4009.23,4148.21,4350.26,4586.15,4096.92,0
4324.62,4004.62,4148.72,4342.05,4586.67,4097.44,0
4327.69,4006.67,4156.41,4336.92,4583.59,4096.92,0
4328.72,4011.79,4155.9,4343.59,4582.56,4097.44,0
4326.15,4011.79,4151.28,4347.69,4586.67,4095.9,0
4321.03,4004.62,4153.33,4345.64,4587.18,4093.33,0
4319.49,4001.03,4151.79,4343.59,4584.62,4089.74,0
4325.64,4006.67,4143.08,4344.1,4583.08,4087.18,0
4326.15,4010.77,4139.49,4345.13,4584.1,4091.28,0
4326.15,4011.28,4142.05,4344.1,4582.56,4092.82,0
4326.15,4010.77,4143.08,4342.56,4579.49,4087.69,0
4316.92,4002.56,4135.9,4339.49,4581.54,4086.15,0
4308.21,3993.33,4124.62,4335.9,4584.62,4089.74,0
4308.21,3998.46,4122.56,4338.46,4584.62,4091.28,0
4312.82,4006.15,4127.69,4341.03,4586.15,4089.74,0
4313.85,4003.59,4127.69,4337.95,4586.15,4091.28,0
4306.67,3997.95,4122.56,4336.92,4584.1,4094.36,0
4303.59,3996.41,4122.05,4341.03,4584.1,4090.77,0
4312.31,4000,4124.1,4342.05,4586.67,4085.64,0
4315.9,4003.59,4122.56,4341.54,4588.21,4088.21,0
4314.36,4005.64,4123.59,4345.13,4588.21,4092.31,0
4324.62,4012.82,4132.31,4343.08,4587.18,4091.79,0
4331.28,4024.1,4140,4336.41,4585.64,4089.74,0
4326.67,4020,4137.44,4334.36,4586.15,4088.21,0
4321.54,4007.69,4132.31,4340,4585.64,4087.18,0
4317.44,4007.69,4128.72,4343.59,4585.13,4088.21,0
4311.79,4007.18,4125.13,4336.41,4587.18,4087.69,0
4308.72,4000,4121.54,4329.23,4585.64,4086.67,0
4308.21,4002.05,4122.56,4332.82,4582.56,4087.69,0
4311.28,4011.28,4130.26,4339.49,4583.59,4089.74,0
4311.28,4008.72,4130.77,4337.44,4585.64,4087.69,0
4306.15,4000.51,4121.03,4330.26,4584.1,4085.64,0
4307.18,4003.08,4121.54,4330.77,4582.56,4086.67,0
4314.87,4008.21,4128.21,4335.38,4584.1,4092.31,0
4313.85,4003.08,4124.1,4336.41,4586.67,4100.51,0
4308.21,3997.44,4119.49,4332.82,4588.72,4097.95,0
4308.72,4006.15,4121.03,4330.26,4585.64,4082.05,0
4306.15,4007.69,4121.03,4330.26,4579.49,4077.44,0
4297.44,3992.82,4118.46,4330.77,4581.03,4085.64,0
4301.03,3994.36,4119.49,4332.82,4583.08,4087.69,0
4313.85,4010.77,4124.62,4337.44,4580.51,4088.72,0
4317.44,4010.77,4126.15,4339.49,4584.1,4094.36,0
4305.64,3998.46,4121.54,4331.79,4584.62,4094.87,0
4296.92,3995.38,4120.51,4324.62,4577.95,4088.21,0
4298.97,4001.03,4123.08,4332.82,4580,4087.18,0
4302.56,4006.67,4120.51,4342.05,4589.23,4094.87,0
4308.72,4006.15,4118.46,4333.85,4587.69,4097.95,0
4315.38,4000.51,4120.51,4329.23,4583.59,4092.82,0
4317.95,4004.62,4123.59,4337.95,4585.13,4087.18,0
4316.41,4013.85,4124.62,4342.56,4589.74,4089.23,0
4305.13,4008.72,4120,4341.03,4595.9,4092.82,0
4293.33,3994.87,4116.41,4337.44,4596.41,4092.31,0
4297.44,3994.36,4118.97,4336.92,4594.36,4096.92,0
4308.21,4007.18,4126.15,4344.62,4595.38,4102.05,0
4315.9,4021.03,4134.36,4346.15,4591.28,4095.9,0
4329.23,4026.15,4141.03,4336.92,4585.64,4085.64,0
4335.9,4024.62,4144.1,4336.41,4591.28,4088.72,0
4324.62,4018.97,4135.9,4341.54,4600.51,4099.49,0
4314.87,4011.28,4122.56,4334.36,4602.05,4100.51,0
4312.82,4005.64,4124.62,4333.33,4601.03,4100.51,0
4312.31,4009.23,4134.36,4344.1,4600.51,4099.49,0
4312.82,4010.26,4129.74,4344.62,4602.05,4095.9,0
4308.21,4003.59,4121.54,4333.85,4601.03,4094.87,0
4299.49,4002.56,4123.08,4332.31,4592.31,4088.21,0
