country_code,main_activity_code,main_activity_name,citl_information,year,value
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2005,0
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2005,14362552
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2005,32412654
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2005,2720740
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2005,18050102
AT,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2005,1330079
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2005,6869261
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2005,2755179
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2005,1320288
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2005,215476
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2005,498797
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2005,661812
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2005,1596970
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2005,81500
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2006,0
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2006,14362552
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2006,32649366
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2006,2720740
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2006,18286814
AT,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2006,1330079
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2006,6869261
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2006,2810835
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2006,1320288
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2006,215476
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2006,498797
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2006,661812
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2006,1778026
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2006,81500
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2007,0
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2007,14442475
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2007,32729289
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2007,2720740
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2007,18286814
AT,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2007,1330079
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2007,6869261
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2007,2810835
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2007,1320288
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2007,215476
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2007,498797
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2007,661812
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2007,1778026
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2007,81500
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2008,0
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2008,12700742
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2008,30718182
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2008,2725542
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2008,17440645
AT,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2008,985761
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2008,6913560
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2008,2767274
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2008,1158871
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2008,212506
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2008,502040
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2008,566400
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2008,1530228
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2008,76552
AT,99,99 Other activity opted-in under Art. 24,1. Total allocated allowances (EUA or EUAA),2008,1911
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2009,0
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2009,14324983
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2009,30718182
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2009,2725542
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2009,17551003
AT,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2009,985761
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2009,6916652
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2009,2789770
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2009,1208351
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2009,212506
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2009,502040
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2009,566400
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2009,1541585
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2009,76552
AT,99,99 Other activity opted-in under Art. 24,1. Total allocated allowances (EUA or EUAA),2009,25844
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2010,0
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2010,14139033
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2010,30963812
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2010,2725542
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2010,17987652
AT,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2010,985761
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2010,6925926
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2010,2950916
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2010,1208351
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2010,212506
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2010,505125
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2010,570155
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2010,1548226
AT,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2010,251142
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2010,76552
AT,99,99 Other activity opted-in under Art. 24,1. Total allocated allowances (EUA or EUAA),2010,27450
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2011,0
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2011,14728774
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2011,30963812
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2011,2725542
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2011,17899822
AT,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2011,985761
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2011,6925926
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2011,2887067
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2011,1208351
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2011,212506
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2011,481340
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2011,570155
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2011,1548030
AT,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2011,251142
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2011,76552
AT,99,99 Other activity opted-in under Art. 24,1. Total allocated allowances (EUA or EUAA),2011,27450
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2012,682958.3091077826
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2012,15528899
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2012,30963812
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2012,2725542
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2012,17917016
AT,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2012,985761
