Date,Country,Exchange rate
1971-01-01,Australia,0.8944
1971-02-01,Australia,0.8898
1971-03-01,Australia,0.8894
1971-04-01,Australia,0.8898
1971-05-01,Australia,0.8894
1971-06-01,Australia,0.8894
1971-07-01,Australia,0.8896
1971-08-01,Australia,0.8837
1971-09-01,Australia,0.8712
1971-10-01,Australia,0.8638
1971-11-01,Australia,0.8629
1971-12-01,Australia,0.8512
1972-01-01,Australia,0.8396
1972-02-01,Australia,0.8396
1972-03-01,Australia,0.8396
1972-04-01,Australia,0.8396
1972-05-01,Australia,0.8396
1972-06-01,Australia,0.8396
1972-07-01,Australia,0.8396
1972-08-01,Australia,0.8396
1972-09-01,Australia,0.8396
1972-10-01,Australia,0.8398
1972-11-01,Australia,0.8397
1972-12-01,Australia,0.8282
1973-01-01,Australia,0.7864
1973-02-01,Australia,0.7382
1973-03-01,Australia,0.7078
1973-04-01,Australia,0.7067
1973-05-01,Australia,0.7067
1973-06-01,Australia,0.7063
1973-07-01,Australia,0.7053
1973-08-01,Australia,0.7068
1973-09-01,Australia,0.6811
1973-10-01,Australia,0.6746
1973-11-01,Australia,0.6747
1973-12-01,Australia,0.6742
1974-01-01,Australia,0.6746
1974-02-01,Australia,0.6734
1974-03-01,Australia,0.6732
1974-04-01,Australia,0.6738
1974-05-01,Australia,0.6737
1974-06-01,Australia,0.6741
1974-07-01,Australia,0.6757
1974-08-01,Australia,0.6746
1974-09-01,Australia,0.6903
1974-10-01,Australia,0.7638
1974-11-01,Australia,0.7628
1974-12-01,Australia,0.7592
1975-01-01,Australia,0.7522
1975-02-01,Australia,0.7418
1975-03-01,Australia,0.7361
1975-04-01,Australia,0.7454
1975-05-01,Australia,0.746
1975-06-01,Australia,0.7488
1975-07-01,Australia,0.7637
1975-08-01,Australia,0.7803
1975-09-01,Australia,0.7882
1975-10-01,Australia,0.792
1975-11-01,Australia,0.792
1975-12-01,Australia,0.7976
1976-01-01,Australia,0.7959
1976-02-01,Australia,0.7946
1976-03-01,Australia,0.8013
1976-04-01,Australia,0.8083
1976-05-01,Australia,0.8106
1976-06-01,Australia,0.8147
1976-07-01,Australia,0.8091
1976-08-01,Australia,0.8053
1976-09-01,Australia,0.8048
1976-10-01,Australia,0.8104
1976-11-01,Australia,0.8288
1976-12-01,Australia,0.9498
1977-01-01,Australia,0.9214
1977-02-01,Australia,0.9171
1977-03-01,Australia,0.9096
1977-04-01,Australia,0.9047
1977-05-01,Australia,0.9065
1977-06-01,Australia,0.9025
1977-07-01,Australia,0.8913
1977-08-01,Australia,0.9052
1977-09-01,Australia,0.906
1977-10-01,Australia,0.8937
1977-11-01,Australia,0.8873
1977-12-01,Australia,0.8821
1978-01-01,Australia,0.8786
1978-02-01,Australia,0.8806
1978-03-01,Australia,0.8785
1978-04-01,Australia,0.8774
1978-05-01,Australia,0.8868
1978-06-01,Australia,0.8785
1978-07-01,Australia,0.87
1978-08-01,Australia,0.8665
1978-09-01,Australia,0.8674
1978-10-01,Australia,0.8557
1978-11-01,Australia,0.8731
1978-12-01,Australia,0.876
1979-01-01,Australia,0.8769
1979-02-01,Australia,0.884
1979-03-01,Australia,0.8917
1979-04-01,Australia,0.9021
1979-05-01,Australia,0.9044
1979-06-01,Australia,0.9
1979-07-01,Australia,0.8863
1979-08-01,Australia,0.8863
1979-09-01,Australia,0.8879
1979-10-01,Australia,0.8984
1979-11-01,Australia,0.9146
1979-12-01,Australia,0.9066
1980-01-01,Australia,0.9011
1980-02-01,Australia,0.9057
1980-03-01,Australia,0.9172
1980-04-01,Australia,0.9166
1980-05-01,Australia,0.8848
1980-06-01,Australia,0.8674
1980-07-01,Australia,0.8632
1980-08-01,Australia,0.8638
1980-09-01,Australia,0.8544
1980-10-01,Australia,0.8516
1980-11-01,Australia,0.8565
1980-12-01,Australia,0.8557
1981-01-01,Australia,0.8461
1981-02-01,Australia,0.8601
1981-03-01,Australia,0.8599
1981-04-01,Australia,0.8672
1981-05-01,Australia,0.8767
1981-06-01,Australia,0.8767
1981-07-01,Australia,0.8751
1981-08-01,Australia,0.8773
1981-09-01,Australia,0.8706
1981-10-01,Australia,0.8747
1981-11-01,Australia,0.873
1981-12-01,Australia,0.8819
1982-01-01,Australia,0.8976
1982-02-01,Australia,0.9217
1982-03-01,Australia,0.9431
1982-04-01,Australia,0.951
1982-05-01,Australia,0.9439
1982-06-01,Australia,0.9687
1982-07-01,Australia,0.9892
1982-08-01,Australia,1.0221
1982-09-01,Australia,1.0436
1982-10-01,Australia,1.0599
1982-11-01,Australia,1.0608
1982-12-01,Australia,1.0328
1983-01-01,Australia,1.0177
1983-02-01,Australia,1.035
1983-03-01,Australia,1.1313
1983-04-01,Australia,1.1526
1983-05-01,Australia,1.1383
1983-06-01,Australia,1.14
