LOCATION,Country,TIME,Business enterprise,Government,Higher Education,Private non-profit,Rest of the world,Not specified source,Basic research,Applied research,Experimental development,Not specified activities,Medical and health sciences
ALB,Albania,2007,293.09402,15068.61246,1282.00667,,2273.15668,,,,,,
ALB,Albania,2008,1218.54722,30201.12059,3202.33312,,2753.51278,,10278.210159999999,19958.36723,7138.936309999999,,
ARE,United Arab Emirates,2014,3157091.09265,1092839.22438,,,,,,,,,
ARG,Argentina,1996,,,,,,,447599.43396000005,790068.75176,355212.36218,,
ARG,Argentina,1997,479053.7055,1153081.1230799998,29224.568160000003,38536.31782,60454.74394,,454170.41828999994,876654.5283299999,429525.51187,,
ARG,Argentina,1998,489265.32287,1200106.99191,41398.24021,27107.74448,53626.190160000006,,547074.35587,845972.59666,418457.5371,,266952.35322
ARG,Argentina,1999,504675.09631000005,1321419.81738,53179.83352,29104.14958,50284.65633,,491570.61011000007,885314.70699,581778.23602,,283117.85294
ARG,Argentina,2000,447927.96528999996,1360442.37391,48124.492139999995,36093.3691,31157.523760000004,,538648.80277,861838.08444,523258.83698,,305559.67604
ARG,Argentina,2001,378034.19636999996,1352788.19385,43067.18693,23926.21496,22012.11776,,531800.00451,813650.81675,474377.08861000004,,259679.18636999998
ARG,Argentina,2002,339682.51917,1047161.53277,50381.36509,52872.33549,17712.18897,45.899359999999994,395230.66302,711688.10851,400937.06932,,210764.87648
ARG,Argentina,2003,461029.37693,1157430.28242,58401.16905,64159.756539999995,24337.446509999998,5.72538,452305.04245,828004.4967,485054.21768,,266001.16800999996
ARG,Argentina,2004,598096.46774,1166019.27778,110340.85652999999,53071.04546,19446.12966,24.85065,475243.80658000003,857844.39465,613910.42658,,293337.05778000003
ARG,Argentina,2005,704581.10068,1354243.4319,129907.25629,67492.2333,15440.169109999999,12.048869999999999,607726.68734,977627.13101,686322.4218,,305948.72576999996
ARG,Argentina,2006,799003.50268,1710596.20734,115654.90552,72729.17482,21613.67209,,763443.3579,1161757.97876,794360.83954,,384788.22264
ARG,Argentina,2007,906512.97747,1998074.6510599998,137509.59581,34395.03243,20046.63568,,907936.4116700001,1323035.93475,865541.0337700001,,473852.76361
ARG,Argentina,2008,891665.4140100001,2271198.5883299997,146619.91650999998,32402.2533,20066.0546,19.2656,942861.57084,1485500.18897,933590.46695,19.2656,446340.44878999994
ARG,Argentina,2009,,,,,,,1078710.50598,1337553.82238,456892.52638999996,1098178.44148,256359.46831
ARG,Argentina,2010,,,,,,,1294154.22495,1390478.66597,423364.10365999996,1150641.88065,255025.2106
ARG,Argentina,2011,,,,,,,1380797.53752,1645877.4373899999,343907.1525,1284882.66743,278674.80812
ARG,Argentina,2012,,,,,,,1676178.08545,1836907.07089,419045.07036,1333834.64846,292843.74294
ARG,Argentina,2013,,,,,,,1685000.31482,1977035.39878,385029.14458,1293642.8822299999,303387.92961
ARG,Argentina,2014,,,,,,,1718065.76105,1953560.99182,349604.25564,1008879.1461100001,315794.46346999996
ARM,Armenia,1997,,7339.107840000001,,,216.8487,3239.80575,,,,,
ARM,Armenia,1998,,9957.24895,,,530.45005,3670.5307299999995,,,,,
ARM,Armenia,1999,,8464.0726,,,924.1881,4671.50804,,,,,
ARM,Armenia,2000,,10481.49762,,,,3114.57312,,,,,
ARM,Armenia,2001,,12185.66235,,,323.45915,9806.84747,,,,,
ARM,Armenia,2002,,12781.085340000001,,,2593.4781399999997,7768.3279299999995,,,,,
ARM,Armenia,2003,,12441.05868,,,2986.43143,18797.06651,,,,,
ARM,Armenia,2004,,13294.57069,,,2351.88222,15396.61694,,,,,
ARM,Armenia,2005,,28380.715389999998,,,1732.6266,6516.52721,,,,,1144.307
ARM,Armenia,2006,,25637.42895,,,4047.94935,10226.36549,,,,,1223.56624
ARM,Armenia,2007,,20554.08526,,,4614.3958299999995,15723.149319999999,,,,,957.20569
ARM,Armenia,2008,,26475.601880000002,,,843.30396,20062.94101,,,,,1538.65986
ARM,Armenia,2009,,29532.64741,,,2079.7393399999996,21529.98255,,,,,1709.3748
ARM,Armenia,2010,,38552.227530000004,,,5314.611,1745.8704699999998,,,,,1437.32595
ARM,Armenia,2011,,32422.516839999997,,,1827.9455899999998,20298.74787,,,,,1137.92286
ARM,Armenia,2013,,34088.741630000004,,,1435.9838,15884.713580000001,,,,,1434.9678900000001
ARM,Armenia,2014,,41871.520130000004,,,3011.03796,14053.026609999999,,,,,1719.29358
ARM,Armenia,2015,,46994.927189999995,,,1448.45995,15219.6841,,,,,1776.62271
AUS,Australia,1996,3318123.8102700002,3070878.04141,12295.38852,171743.12263,137880.23807999998,,1728998.4627900003,2338620.44962,2643310.0843700003,,748763.1338300001
AUS,Australia,1998,3267470.7698,3215745.4374700002,12315.55532,194816.69066,174034.19105999998,,1836942.04762,2206716.5959799998,2820800.9729299997,,871248.5663899999
AUS,Australia,2000,3817821.64895,3624698.1011,11238.78129,234103.04969,276535.18312,,2055703.06987,2760917.4821200003,3147699.75787,,1025710.8146899999
AUS,Australia,2002,5128508.2567,4070587.88319,17209.25708,303481.50753,353388.35306999995,,2330582.3463,3416486.46829,4138227.7458099998,,1243032.12145
AUS,Australia,2004,6380693.284469999,4705580.198059999,43317.47465,219733.74386999998,335051.88585,,2643552.7939,4544261.385840001,4496566.79745,,1656381.20548
AUS,Australia,2006,9006479.697,5830872.64383,22149.76661,281608.28672,368782.93085999996,,3345683.0745900003,6008711.76673,6155498.4837,,2225446.16467
AUS,Australia,2008,11844783.86124,6619145.91099,23122.590969999997,337846.7459,308030.77333,,3840378.3991699996,7406801.422239999,7885817.67093,,2901952.7771799997
AUT,Austria,1996,1380545.13329,1333313.36822,,11968.37525,360441.68546,,,,,,
