date,GDP
1948-12-31,455134
1949-12-31,470210
1950-12-31,485925
1951-12-31,503980
1952-12-31,511536
1953-12-31,539917
1954-12-31,563461
1955-12-31,586122
1956-12-31,596062
1957-12-31,607813
1958-12-31,615967
1959-12-31,642287
1960-12-31,682893
1961-12-31,701144
1962-12-31,708681
1963-12-31,742895
1964-12-31,785288
1965-12-31,801911
1966-12-31,814393
1967-12-31,836815
1968-12-31,882470
1969-12-31,899298
1970-12-31,923582
1971-12-31,956960
1972-12-31,998663
1973-12-31,1063550
1974-12-31,1036973
1975-12-31,1021204
1976-12-31,1051973
1977-12-31,1077816
1978-12-31,1122953
1979-12-31,1164860
1980-12-31,1140989
1981-12-31,1134663
1982-12-31,1157191
1983-12-31,1205632
1984-12-31,1232675
1985-12-31,1283200
1986-12-31,1323173
1987-12-31,1395353
1988-12-31,1471002
1989-12-31,1506644
1990-12-31,1515202
1991-12-31,1493903
1992-12-31,1498023
1993-12-31,1532082
1994-12-31,1584459
1995-12-31,1622576
1996-12-31,1665005
1997-12-31,1746257
1998-12-31,1802946
1999-12-31,1856033
2000-12-31,1940007
2001-12-31,1986393
2002-12-31,2020341
2003-12-31,2085366
2004-12-31,2133872
2005-12-31,2193421
2006-12-31,2241453
2007-12-31,2307148
2008-12-31,2306008
2009-12-31,2200222
2010-12-31,2249959
2011-12-31,2269116
2012-12-31,2303794
2013-12-31,2343384
2014-12-31,2417439
2015-12-31,2469182
2016-12-31,2523665
2017-12-31,2599961
2018-12-31,2640295
2019-12-31,2673465
2020-12-31,2404838
2021-12-31,2610286
2022-12-31,2744708
2023-12-31,2752164
2024-12-31,2782111
