Source,Year,Mean
GCAG,1850,-0.4265
GCAG,1851,-0.2635
GCAG,1852,-0.2241
GCAG,1853,-0.2623
GCAG,1854,-0.2936
GCAG,1855,-0.2914
GCAG,1856,-0.3281
GCAG,1857,-0.4659
GCAG,1858,-0.3968
GCAG,1859,-0.292
GCAG,1860,-0.4071
GCAG,1861,-0.4637
GCAG,1862,-0.5548
GCAG,1863,-0.3828
GCAG,1864,-0.4941
GCAG,1865,-0.3922
GCAG,1866,-0.4002
GCAG,1867,-0.3994
GCAG,1868,-0.3631
GCAG,1869,-0.3185
GCAG,1870,-0.3278
GCAG,1871,-0.3734
GCAG,1872,-0.3095
GCAG,1873,-0.3212
GCAG,1874,-0.3654
GCAG,1875,-0.3667
GCAG,1876,-0.4108
GCAG,1877,-0.0824
GCAG,1878,0.0103
GCAG,1879,-0.2887
GISTEMP,1880,-0.1767
GCAG,1880,-0.3032
GISTEMP,1881,-0.0908
GCAG,1881,-0.213
GISTEMP,1882,-0.1108
GCAG,1882,-0.2721
GISTEMP,1883,-0.1733
GCAG,1883,-0.3276
GISTEMP,1884,-0.2842
GCAG,1884,-0.4744
GISTEMP,1885,-0.3358
GCAG,1885,-0.4581
GISTEMP,1886,-0.3183
GCAG,1886,-0.4082
GISTEMP,1887,-0.3658
GCAG,1887,-0.4883
GISTEMP,1888,-0.18
GCAG,1888,-0.3726
GISTEMP,1889,-0.1092
GCAG,1889,-0.2504
GISTEMP,1890,-0.355
GCAG,1890,-0.5003
GISTEMP,1891,-0.2225
GCAG,1891,-0.3975
GISTEMP,1892,-0.2742
GCAG,1892,-0.5066
GISTEMP,1893,-0.3142
GCAG,1893,-0.4949
GISTEMP,1894,-0.3067
GCAG,1894,-0.4787
GISTEMP,1895,-0.2308
GCAG,1895,-0.4418
GISTEMP,1896,-0.1175
GCAG,1896,-0.2786
GISTEMP,1897,-0.1133
GCAG,1897,-0.2547
GISTEMP,1898,-0.2767
GCAG,1898,-0.474
GISTEMP,1899,-0.175
GCAG,1899,-0.3443
GISTEMP,1900,-0.085
GCAG,1900,-0.2302
GISTEMP,1901,-0.1558
GCAG,1901,-0.2872
GISTEMP,1902,-0.2825
GCAG,1902,-0.4374
GISTEMP,1903,-0.37
GCAG,1903,-0.5352
GISTEMP,1904,-0.475
GCAG,1904,-0.5971
GISTEMP,1905,-0.2617
GCAG,1905,-0.4059
GISTEMP,1906,-0.2242
GCAG,1906,-0.3154
GISTEMP,1907,-0.3892
GCAG,1907,-0.4995
GISTEMP,1908,-0.4292
GCAG,1908,-0.5066
GISTEMP,1909,-0.4883
GCAG,1909,-0.5329
GISTEMP,1910,-0.4417
GCAG,1910,-0.5221
GISTEMP,1911,-0.4483
GCAG,1911,-0.5398
GISTEMP,1912,-0.37
GCAG,1912,-0.4761
GISTEMP,1913,-0.3475
GCAG,1913,-0.4635
GISTEMP,1914,-0.1508
GCAG,1914,-0.2595
GISTEMP,1915,-0.14
GCAG,1915,-0.1906
GISTEMP,1916,-0.3608
GCAG,1916,-0.4202
GISTEMP,1917,-0.4617
GCAG,1917,-0.5439
GISTEMP,1918,-0.3
GCAG,1918,-0.426
GISTEMP,1919,-0.2775
GCAG,1919,-0.3324
GISTEMP,1920,-0.2758
GCAG,1920,-0.3044
GISTEMP,1921,-0.1908
GCAG,1921,-0.2414
GISTEMP,1922,-0.2825
GCAG,1922,-0.3381
GISTEMP,1923,-0.2642
GCAG,1923,-0.3146
GISTEMP,1924,-0.2683
GCAG,1924,-0.3085
GISTEMP,1925,-0.2217
GCAG,1925,-0.2796
GISTEMP,1926,-0.1092
GCAG,1926,-0.1221
GISTEMP,1927,-0.2192
GCAG,1927,-0.2258
GISTEMP,1928,-0.1992
GCAG,1928,-0.2084
GISTEMP,1929,-0.36
GCAG,1929,-0.3903
GISTEMP,1930,-0.1583
GCAG,1930,-0.1699
GISTEMP,1931,-0.0925
GCAG,1931,-0.1058
GISTEMP,1932,-0.1617
GCAG,1932,-0.15
GISTEMP,1933,-0.2875
GCAG,1933,-0.3283
GISTEMP,1934,-0.1275
GCAG,1934,-0.177
GISTEMP,1935,-0.2008
GCAG,1935,-0.2129
GISTEMP,1936,-0.1508
GCAG,1936,-0.171
GISTEMP,1937,-0.0333
GCAG,1937,-0.016
GISTEMP,1938,-0.0042
GCAG,1938,-0.0129
GISTEMP,1939,-0.0208
GCAG,1939,-0.0418
