Date,Price
1833,18.930
1834,18.930
1835,18.930
1836,18.930
1837,18.930
1838,18.930
1839,18.930
1840,18.930
1841,18.930
1842,18.930
1843,18.930
1844,18.930
1845,18.930
1846,18.930
1847,18.930
1848,18.930
1849,18.930
1850,18.930
1851,18.930
1852,18.930
1853,18.930
1854,18.930
1855,18.930
1856,18.930
1857,18.930
1858,18.930
1859,18.930
1860,18.930
1861,18.930
1862,18.930
1863,18.930
1864,18.930
1865,18.930
1866,18.930
1867,18.930
1868,18.930
1869,18.930
1870,18.930
1871,18.930
1872,18.940
1873,18.940
1874,18.940
1875,18.940
1876,18.940
1877,18.940
1878,18.940
1879,18.940
1880,18.940
1881,18.940
1882,18.940
1883,18.940
1884,18.940
1885,18.940
1886,18.940
1887,18.940
1888,18.940
1889,18.930
1890,18.940
1891,18.960
1892,18.960
1893,18.960
1894,18.940
1895,18.930
1896,18.980
1897,18.980
1898,18.980
1899,18.940
1900,18.960
1901,18.980
1902,18.970
1903,18.950
1904,18.960
1905,18.920
1906,18.900
1907,18.940
1908,18.950
1909,18.960
1910,18.920
1911,18.920
1912,18.930
1913,18.920
1914,18.990
1915,18.990
1916,18.990
1917,18.990
1918,18.990
1919,19.950
1920,20.680
1921,20.580
1922,20.660
1923,21.320
1924,20.690
1925,20.640
1926,20.630
1927,20.640
1928,20.660
1929,20.630
1930,20.650
1931,17.060
1932,20.690
1933,26.330
1934,34.690
1935,34.840
1936,34.870
1937,34.790
1938,34.850
1939,34.420
1940,33.850
1941,33.850
1942,33.850
1943,33.850
1944,33.850
1945,34.710
1946,34.710
1947,34.710
1948,34.710
1949,31.690
1950,34.720
1951,34.720
1952,34.600
1953,34.840
1954,35.040
1955,35.030
1956,34.990
1957,34.950
1958,35.100
1959,35.100
1961,35.250
1962,35.230
1963,35.090
1964,35.100
1965,35.120
1966,35.130
1967,34.950
1968,38.925
1969,41.083
1970,35.940
1971,40.800
1972,58.160
1973,97.330
1974,159.245
1975,161.030
1976,124.816
1977,147.720
1978,193.240
1979,306.668
1980,607.860
1981,459.750
1982,375.800
1983,422.530
