Date,Price
1833-01-01,18.930
1833-02-01,18.930
1833-03-01,18.930
1833-04-01,18.930
1833-05-01,18.930
1833-06-01,18.930
1833-07-01,18.930
1833-08-01,18.930
1833-09-01,18.930
1833-10-01,18.930
1833-11-01,18.930
1833-12-01,18.930
1834-01-01,18.930
1834-02-01,18.930
1834-03-01,18.930
1834-04-01,18.930
1834-05-01,18.930
1834-06-01,18.930
1834-07-01,18.930
1834-08-01,18.930
1834-09-01,18.930
1834-10-01,18.930
1834-11-01,18.930
1834-12-01,18.930
1835-01-01,18.930
1835-02-01,18.930
1835-03-01,18.930
1835-04-01,18.930
1835-05-01,18.930
1835-06-01,18.930
1835-07-01,18.930
1835-08-01,18.930
1835-09-01,18.930
1835-10-01,18.930
1835-11-01,18.930
1835-12-01,18.930
1836-01-01,18.930
1836-02-01,18.930
1836-03-01,18.930
1836-04-01,18.930
1836-05-01,18.930
1836-06-01,18.930
1836-07-01,18.930
1836-08-01,18.930
1836-09-01,18.930
1836-10-01,18.930
1836-11-01,18.930
1836-12-01,18.930
1837-01-01,18.930
1837-02-01,18.930
1837-03-01,18.930
1837-04-01,18.930
1837-05-01,18.930
1837-06-01,18.930
1837-07-01,18.930
1837-08-01,18.930
1837-09-01,18.930
1837-10-01,18.930
1837-11-01,18.930
1837-12-01,18.930
1838-01-01,18.930
1838-02-01,18.930
1838-03-01,18.930
1838-04-01,18.930
1838-05-01,18.930
1838-06-01,18.930
1838-07-01,18.930
1838-08-01,18.930
1838-09-01,18.930
1838-10-01,18.930
1838-11-01,18.930
1838-12-01,18.930
1839-01-01,18.930
1839-02-01,18.930
1839-03-01,18.930
1839-04-01,18.930
1839-05-01,18.930
1839-06-01,18.930
1839-07-01,18.930
1839-08-01,18.930
1839-09-01,18.930
1839-10-01,18.930
1839-11-01,18.930
1839-12-01,18.930
1840-01-01,18.930
1840-02-01,18.930
1840-03-01,18.930
1840-04-01,18.930
1840-05-01,18.930
1840-06-01,18.930
1840-07-01,18.930
1840-08-01,18.930
1840-09-01,18.930
1840-10-01,18.930
1840-11-01,18.930
1840-12-01,18.930
1841-01-01,18.930
1841-02-01,18.930
1841-03-01,18.930
1841-04-01,18.930
1841-05-01,18.930
1841-06-01,18.930
1841-07-01,18.930
1841-08-01,18.930
1841-09-01,18.930
1841-10-01,18.930
1841-11-01,18.930
1841-12-01,18.930
1842-01-01,18.930
1842-02-01,18.930
1842-03-01,18.930
1842-04-01,18.930
1842-05-01,18.930
1842-06-01,18.930
1842-07-01,18.930
1842-08-01,18.930
1842-09-01,18.930
1842-10-01,18.930
1842-11-01,18.930
1842-12-01,18.930
1843-01-01,18.930
1843-02-01,18.930
1843-03-01,18.930
1843-04-01,18.930
1843-05-01,18.930
1843-06-01,18.930
1843-07-01,18.930
1843-08-01,18.930
1843-09-01,18.930
1843-10-01,18.930
1843-11-01,18.930
1843-12-01,18.930
1844-01-01,18.930
1844-02-01,18.930
1844-03-01,18.930
1844-04-01,18.930
1844-05-01,18.930
1844-06-01,18.930
1844-07-01,18.930
1844-08-01,18.930
1844-09-01,18.930
1844-10-01,18.930
1844-11-01,18.930
1844-12-01,18.930
1845-01-01,18.930
1845-02-01,18.930
1845-03-01,18.930
1845-04-01,18.930
1845-05-01,18.930
1845-06-01,18.930
