Date,AZ-Phoenix,CA-Los Angeles,CA-San Diego,CA-San Francisco,CO-Denver,DC-Washington,FL-Miami,FL-Tampa,GA-Atlanta,IL-Chicago,MA-Boston,MI-Detroit,MN-Minneapolis,NC-Charlotte,NV-Las Vegas,NY-New York,OH-Cleveland,OR-Portland,TX-Dallas,WA-Seattle,Composite-10,National-US
1987-01-01,,59.331,54.668,46.613,50.196,64.115,68.499,77.334,0.000,53.546,70.042,,,63.388,66.358,74.422,53.531,41.055,,,62.824,63.732
1987-02-01,,59.646,54.891,46.868,49.958,64.775,68.764,77.933,0.000,54.640,70.084,,,63.936,67.030,75.426,53.499,41.283,,,63.386,64.132
1987-03-01,,59.986,55.162,47.320,50.146,65.712,69.231,77.761,0.000,54.802,70.003,,,64.171,67.335,76.250,53.680,41.057,,,63.874,64.467
1987-04-01,,60.806,55.854,47.693,50.554,66.396,69.199,77.556,0.000,54.880,70.698,,,64.813,67.882,77.338,53.754,40.962,,,64.568,64.972
1987-05-01,,61.671,56.351,48.315,50.625,67.268,69.457,77.849,0.000,55.426,71.510,,,65.182,67.899,79.162,54.714,41.243,,,65.565,65.547
1987-06-01,,62.708,56.858,48.832,50.501,68.697,69.312,78.710,0.000,56.389,72.320,,,65.547,66.477,80.840,55.121,41.449,,,66.591,66.218
1987-07-01,,63.662,57.262,49.486,50.277,69.787,69.696,79.111,0.000,57.541,73.093,,,65.760,65.433,82.219,55.740,41.817,,,67.538,66.786
1987-08-01,,64.558,57.692,49.938,50.380,70.616,70.156,79.145,0.000,58.374,73.792,,,66.075,65.136,83.014,56.103,41.904,,,68.248,67.270
1987-09-01,,65.381,58.138,50.690,50.178,71.794,70.946,79.240,0.000,58.852,74.390,,,66.468,65.855,83.439,56.509,41.800,,,68.874,67.623
1987-10-01,,66.197,58.526,51.331,50.383,72.566,71.283,79.085,0.000,59.317,74.634,,,66.768,66.210,83.880,56.608,41.857,,,69.417,67.902
