Date,AZ-Phoenix,CA-Los Angeles,CA-San Diego,CA-San Francisco,CO-Denver,DC-Washington,FL-Miami,FL-Tampa,GA-Atlanta,IL-Chicago,MA-Boston,MI-Detroit,MN-Minneapolis,NC-Charlotte,NV-Las Vegas,NY-New York,OH-Cleveland,OR-Portland,TX-Dallas,WA-Seattle,Composite-10,National-US
1987-01-01,,59.426,54.794,46.956,50.348,64.410,68.548,77.442,,54.206,70.267,,,63.559,66.419,74.678,54.057,41.305,,,63.104,63.963
1987-02-01,,59.895,55.215,47.303,50.160,65.132,68.919,78.100,,55.227,70.641,,,64.029,67.574,76.044,54.229,41.444,,,63.805,64.422
1987-03-01,,60.401,55.488,47.840,50.383,65.998,69.388,77.687,,54.811,71.047,,,64.105,67.850,77.237,54.366,41.415,,,64.426,64.732
1987-04-01,,61.324,56.050,47.984,50.745,66.639,69.463,77.820,,54.802,71.412,,,64.893,68.186,78.282,54.155,41.274,,,65.063,65.129
1987-05-01,,62.031,56.462,48.305,50.764,67.445,69.746,77.965,,55.477,71.883,,,65.223,67.927,79.675,54.726,41.395,,,65.815,65.562
1987-06-01,,62.777,56.788,48.606,50.432,68.517,69.474,78.683,,56.060,72.296,,,65.561,66.799,80.840,54.881,41.433,,,66.477,66.070
1987-07-01,,63.456,57.076,49.085,50.204,69.387,69.642,78.993,,57.109,72.621,,,65.723,65.763,81.695,55.288,41.557,,,67.121,66.507
1987-08-01,,64.131,57.380,49.543,50.121,70.254,69.805,78.946,,57.612,73.163,,,65.873,65.032,82.220,55.444,41.599,,,67.714,66.939
1987-09-01,,64.894,57.843,50.241,50.058,71.396,70.568,79.041,,58.270,73.749,,,66.273,65.277,82.384,55.842,41.541,,,68.354,67.330
1987-10-01,,65.772,58.296,50.993,50.146,72.318,71.020,78.872,,59.006,74.007,,,66.593,65.512,83.156,56.128,41.629,,,68.992,67.739
1987-11-01,,66.713,58.901,51.641,49.734,73.159,71.425,79.017,,59.712,74.418,,,67.120,66.530,83.677,56.463,41.574,,,69.569,68.106
1987-12-01,,67.778,59.404,52.229,49.855,73.586,71.458,79.360,,61.075,74.580,,,67.377,66.492,84.501,56.607,41.803,,,70.308,68.506
1988-01-01,,68.777,60.018,52.703,49.551,74.402,71.679,79.503,,61.972,74.661,,,67.784,66.697,84.322,56.991,41.839,,,70.757,68.859
1988-02-01,,69.711,60.490,53.200,49.495,75.288,71.828,79.431,,63.446,74.589,,,67.534,66.427,84.491,57.224,41.657,,,71.241,69.264
1988-03-01,,70.699,61.284,53.866,49.061,76.395,72.346,79.245,,64.509,74.478,,,67.958,66.761,84.477,57.903,42.244,,,71.742,69.639
1988-04-01,,71.484,61.444,54.534,48.740,77.302,72.719,79.663,,65.151,74.527,,,67.931,67.435,84.690,58.068,42.425,,,72.203,69.976
1988-05-01,,72.477,61.845,56.067,48.350,78.380,73.103,79.952,,65.572,74.812,,,67.987,67.583,84.762,58.262,42.744,,,72.759,70.426
1988-06-01,,74.386,61.443,57.882,48.173,79.341,73.712,80.176,,66.464,75.004,,,68.127,67.528,84.599,58.963,42.709,,,73.498,70.888
1988-07-01,,76.921,64.588,58.174,48.225,80.775,74.108,80.512,,66.552,75.032,,,68.567,67.652,84.504,59.215,42.842,,,74.340,71.353
1988-08-01,,78.668,65.290,58.497,48.248,81.929,74.682,80.706,,67.752,74.841,,,69.416,67.947,84.594,59.627,43.199,,,75.093,71.799
1988-09-01,,80.607,66.079,58.937,48.213,83.158,75.249,80.627,,68.025,74.710,,,69.711,68.462,84.576,59.890,43.430,,,75.825,72.241
1988-10-01,,82.381,67.176,59.950,48.033,83.674,75.596,80.733,,69.035,74.600,,,69.893,68.461,84.479,60.335,43.744,,,76.427,72.635
1988-11-01,,84.413,68.428,61.106,47.749,84.633,75.959,80.612,,68.646,74.639,,,69.637,68.138,84.491,60.727,43.951,,,77.076,73.072
1988-12-01,,85.818,69.831,62.466,47.436,85.929,76.219,80.900,,68.511,74.695,,,69.850,67.828,84.375,61.308,44.212,,,77.679,73.464
1989-01-01,67.568,87.473,71.173,63.288,47.470,86.869,76.583,80.565,,68.330,74.520,,63.493,69.915,68.783,84.482,61.998,44.481,,,78.326,73.945
1989-02-01,67.621,88.773,72.763,64.058,47.452,87.802,76.994,80.988,,69.009,75.167,,63.152,70.330,69.644,84.266,62.071,44.797,,,78.899,74.381
1989-03-01,67.924,91.147,74.483,65.562,47.529,88.619,77.176,81.612,,70.074,75.555,,62.693,70.618,70.480,84.195,62.173,45.005,,,79.820,74.777
1989-04-01,67.965,93.012,75.805,66.697,47.465,89.325,77.549,81.970,,70.654,75.394,,63.083,70.883,69.997,83.881,61.974,45.350,,,80.442,75.083
1989-05-01,68.069,94.569,77.050,67.703,47.597,89.777,77.567,82.351,,70.505,75.043,,63.184,71.217,69.788,83.494,62.639,45.613,,,80.832,75.304
1989-06-01,67.696,95.513,78.137,68.784,47.605,90.203,77.808,81.957,,70.522,74.516,,63.743,71.484,71.554,82.947,62.830,46.019,,,81.074,75.477
1989-07-01,67.340,96.252,79.030,69.591,47.503,90.708,78.042,81.868,,70.328,74.181,,63.556,71.662,71.772,82.171,63.268,46.256,,,81.139,75.655
1989-08-01,66.948,96.662,80.095,70.716,47.482,91.365,78.260,81.235,,70.374,73.435,,63.798,71.612,72.390,81.936,63.879,46.587,,,81.403,75.833
1989-09-01,66.823,97.200,81.102,71.592,47.601,91.927,78.250,81.670,,70.179,73.010,,63.893,71.677,72.790,81.537,64.307,46.929,,,81.620,76.054
1989-10-01,66.560,97.880,82.060,72.426,47.897,92.190,78.378,81.943,,70.061,72.717,,64.121,71.820,73.462,81.788,64.718,47.352,,,81.940,76.280
1989-11-01,66.494,98.996,82.709,73.015,48.110,92.382,78.324,82.297,,69.870,72.991,,64.395,72.288,74.264,81.550,64.574,47.757,,,82.226,76.519
