Date,National-US,National-US-SA
1975-01-01,25.340,25.250
1975-02-01,25.400,25.290
1975-03-01,25.420,25.360
1975-04-01,25.390,25.400
1975-05-01,25.400,25.480
1975-06-01,25.430,25.470
1975-07-01,25.550,25.600
1975-08-01,25.730,25.760
1975-09-01,25.970,26.030
1975-10-01,26.200,26.230
1975-11-01,26.430,26.420
1975-12-01,26.540,26.490
1976-01-01,26.670,26.580
1976-02-01,26.730,26.620
1976-03-01,26.910,26.850
1976-04-01,27.100,27.110
1976-05-01,27.350,27.440
1976-06-01,27.480,27.520
1976-07-01,27.700,27.760
1976-08-01,27.890,27.940
1976-09-01,28.070,28.140
1976-10-01,28.200,28.240
1976-11-01,28.410,28.400
1976-12-01,28.700,28.640
1977-01-01,28.980,28.880
1977-02-01,29.340,29.210
1977-03-01,29.700,29.630
1977-04-01,30.160,30.160
1977-05-01,30.450,30.530
1977-06-01,30.700,30.760
1977-07-01,31.000,31.080
1977-08-01,31.330,31.390
1977-09-01,31.730,31.800
1977-10-01,32.170,32.200
1977-11-01,32.550,32.530
1977-12-01,32.890,32.820
1978-01-01,33.260,33.150
1978-02-01,33.650,33.510
1978-03-01,34.060,33.980
1978-04-01,34.430,34.430
1978-05-01,34.830,34.910
1978-06-01,35.360,35.430
1978-07-01,35.840,35.930
1978-08-01,36.320,36.410
1978-09-01,36.710,36.790
1978-10-01,37.110,37.150
1978-11-01,37.560,37.540
1978-12-01,38.070,37.990
1979-01-01,38.630,38.500
1979-02-01,39.140,38.980
1979-03-01,39.600,39.500
1979-04-01,40.020,40.010
1979-05-01,40.460,40.530
1979-06-01,40.960,41.050
1979-07-01,41.390,41.510
1979-08-01,41.800,41.930
1979-09-01,42.190,42.280
1979-10-01,42.600,42.640
1979-11-01,42.980,42.950
1979-12-01,43.300,43.210
1980-01-01,43.580,43.430
1980-02-01,43.860,43.690
1980-03-01,44.180,44.060
1980-04-01,44.490,44.470
1980-05-01,44.720,44.780
1980-06-01,44.950,45.060
1980-07-01,45.230,45.370
1980-08-01,45.490,45.640
1980-09-01,45.760,45.860
1980-10-01,46.000,46.050
1980-11-01,46.270,46.230
1980-12-01,46.510,46.420
1981-01-01,46.710,46.560
1981-02-01,46.930,46.750
1981-03-01,47.150,47.020
1981-04-01,47.460,47.440
1981-05-01,47.720,47.770
1981-06-01,47.980,48.080
1981-07-01,48.180,48.330
1981-08-01,48.410,48.580
1981-09-01,48.550,48.670
1981-10-01,48.690,48.740
1981-11-01,48.790,48.740
1981-12-01,48.880,48.780
1982-01-01,48.960,48.810
1982-02-01,49.070,48.890
1982-03-01,49.000,48.860
1982-04-01,48.960,48.930
1982-05-01,48.950,49.000
1982-06-01,48.890,49.000
1982-07-01,48.830,48.980
1982-08-01,48.780,48.960
1982-09-01,48.850,48.980
1982-10-01,48.930,48.980
1982-11-01,49.030,48.990
1982-12-01,49.180,49.070
1983-01-01,49.390,49.230
1983-02-01,49.670,49.490
1983-03-01,49.830,49.690
1983-04-01,50.000,49.950
1983-05-01,50.160,50.200
1983-06-01,50.340,50.440
1983-07-01,50.570,50.730
1983-08-01,50.760,50.960
1983-09-01,50.940,51.090
1983-10-01,51.110,51.180
1983-11-01,51.300,51.250
1983-12-01,51.500,51.390
1984-01-01,51.700,51.540
1984-02-01,51.900,51.710
1984-03-01,52.110,51.940
1984-04-01,52.310,52.230
1984-05-01,52.540,52.560
1984-06-01,52.760,52.860
1984-07-01,52.980,53.160
1984-08-01,53.190,53.410
1984-09-01,53.390,53.570
1984-10-01,53.580,53.670
1984-11-01,53.720,53.680
1984-12-01,53.910,53.790
1985-01-01,54.150,53.970
1985-02-01,54.430,54.220
1985-03-01,54.720,54.530
1985-04-01,55.000,54.900
1985-05-01,55.310,55.320
1985-06-01,55.610,55.720
1985-07-01,55.920,56.120
1985-08-01,56.260,56.510
1985-09-01,56.660,56.870
1985-10-01,57.080,57.190
1985-11-01,57.540,57.510
1985-12-01,57.940,57.810
1986-01-01,58.360,58.160
1986-02-01,58.750,58.500
1986-03-01,59.170,58.940
1986-04-01,59.620,59.490
1986-05-01,60.060,60.050
1986-06-01,60.530,60.650
1986-07-01,61.020,61.250
1986-08-01,61.500,61.780
1986-09-01,61.990,62.240
1986-10-01,62.450,62.590
1986-11-01,62.920,62.900
1986-12-01,63.510,63.370
1987-01-01,63.963,63.732
1987-02-01,64.422,64.132
1987-03-01,64.732,64.467
1987-04-01,65.129,64.972
1987-05-01,65.562,65.547
1987-06-01,66.070,66.218
