date,rate
1694-10-01,6
1695-01-01,4.5
1695-05-01,3
1699-06-01,4.5
1716-07-01,4
1719-04-01,5
1822-06-01,4
1825-12-01,5
1827-07-01,4
1836-07-01,4.5
1836-09-01,5
1838-02-01,4
1839-05-01,5
1839-06-01,5.5
1839-08-01,6
1840-01-01,5
1842-04-01,4
1844-09-07,2.5
1845-10-16,3
1845-11-06,3.5
1846-08-27,3
1847-01-14,3.5
1847-01-21,4
1847-04-08,5
1847-08-05,5.5
1847-09-30,6
1847-10-25,8
1847-11-22,7
1847-12-02,6
1847-12-23,5
1848-01-27,4
1848-06-15,3.5
1848-11-02,3
1849-11-22,2.5
1850-12-26,3
1852-01-01,2.5
1852-04-22,2
1853-01-06,2.5
1853-01-20,3
1853-06-02,3.5
1853-09-01,4
1853-09-15,4.5
1853-09-29,5
1854-05-11,5.5
1854-08-03,4
1855-04-05,4.5
1855-05-03,4
1855-06-14,3.5
1855-09-06,4
1855-09-13,4.5
1855-09-27,5
1855-10-04,5.5
1855-10-18,7
1856-05-22,6
1856-05-29,5
1856-06-26,4.5
1856-10-02,5
1856-10-29,7
1856-11-15,7
1856-12-04,6.5
1856-12-18,6
1857-04-02,6.5
1857-06-18,6
1857-07-16,5.5
1857-10-08,6
1857-10-15,7
1857-10-19,8
1857-11-05,9
1857-11-12,10
1857-12-24,8
1858-01-07,6
1858-01-11,5
1858-01-28,4
1858-02-04,3.5
1858-02-11,3
1858-12-09,2.5
1859-04-28,3.5
1859-05-05,4.5
1859-06-02,3.5
1859-06-09,3
1859-07-14,2.5
1860-01-19,3
1860-01-31,4
1860-03-29,4.5
1860-04-12,5
1860-05-10,4.5
1860-05-24,4
1860-11-08,4.5
1860-11-13,5
1860-11-15,6
1860-11-29,5
1860-12-31,6
1861-01-07,7
1861-02-14,8
1861-03-21,7
1861-04-04,6
1861-04-11,5
1861-05-16,6
1861-08-01,5
1861-08-15,4.5
1861-08-29,4
1861-09-19,3.5
1861-11-07,3
1862-01-09,2.5
1862-05-22,3
1862-07-10,2.5
1862-07-24,2
1862-10-30,3
1863-01-15,4
1863-01-28,5
1863-02-19,4
1863-04-23,3.5
1863-04-30,3
1863-05-16,3.5
1863-05-21,4
1863-11-02,5
1863-11-05,6
1863-12-02,7
1863-12-03,8
1863-12-24,7
1864-01-20,8
1864-02-11,7
1864-02-25,6
1864-04-16,7
1864-05-02,8
1864-05-05,9
1864-05-19,8
1864-05-26,7
1864-06-16,6
1864-07-25,7
1864-08-04,8
1864-09-08,9
1864-11-10,8
1864-11-24,7
1864-12-15,6
1865-01-12,5.5
1865-01-26,5
1865-03-02,4.5
1865-03-30,4
1865-05-04,4.5
1865-05-25,4
1865-06-01,3.5
1865-06-15,3
1865-07-27,3.5
1865-08-03,4
1865-09-28,4.5
1865-10-02,5
1865-10-05,6
1865-10-07,7
1865-11-23,6
