Date,Total Equity,Domestic Equity,World Equity,Hybrid,Total Bond,Taxable Bond,Municipal Bond,Total
2020-01-31,51740,,31297,,20654,,10643,
2020-02-29,13064,,-1893,,-1677,,-216,
2020-03-31,7668,,20328,,31004,,-10675,
2020-04-30,46712,,11587,,22695,,-11108,
2020-05-31,31195,,-5196,,4418,,-9614,
2020-06-30,55680,,17988,,11848,,6140,
2020-07-31,47961,,9677,,3477,,6200,
2020-08-31,30660,,12056,,3397,,8658,
2020-09-30,33641,,19490,,11878,,7612,
2020-10-31,31566,,12368,,5063,,7305,
2020-11-30,91608,,79497,,61277,,18220,
2020-12-31,59387,,44466,,15079,,29386,
2021-01-31,62742,,41590,,7346,,34244,
2021-02-28,95524,,86913,,62433,,24480,
2021-03-31,89650,,81258,,62025,,19233,
2021-04-30,79631,,52826,,35853,,16973,
2021-05-31,68249,,45097,,27925,,17172,
2021-06-30,100067,,80591,,62217,,18374,
2021-07-31,53375,,37938,,23281,,14657,
2021-08-31,68113,,50031,,40264,,9767,
2021-09-30,58885,,45525,,28855,,16670,
2021-10-31,78753,,61455,,53216,,8239,
2021-11-30,67885,,53863,,41705,,12158,
2021-12-31,112606,,93433,,74299,,19134,
2022-01-31,32084,,35687,,12840,,22847,
2022-02-28,69776,,54915,,45300,,9615,
2022-03-31,94456,,64220,,55387,,8833,
2022-04-30,-5571,,-17152,,-23195,,6043,
2022-05-31,78952,,47797,,43745,,4052,
2022-06-30,43713,,41215,,29658,,11557,
2022-07-31,37543,,15122,,10466,,4657,
2022-08-31,41324,,29058,,31429,,-2372,
2022-09-30,21901,,13986,,14018,,-32,
2022-10-31,87993,,61709,,52793,,8916,
2022-11-30,67838,,44179,,28840,,15340,
2022-12-31,39332,,27397,,16208,,11190,
2023-01-31,45549,,23074,,2513,,20561,
2023-02-28,2350,,-305,,-8360,,8055,
2023-03-31,36321,,6639,,6281,,357,
2023-04-30,28996,,15356,,12722,,2634,
2023-05-31,30804,,13723,,8108,,5615,
2023-06-30,75081,,60671,,48540,,12130,
2023-07-31,57360,,42080,,34851,,7229,
2023-08-31,13643,,6445,,5033,,1412,
2023-09-30,37740,,28684,,29337,,-653,
2023-10-31,36186,,20097,,21599,,-1502,
2023-11-30,105413,,75188,,67688,,7500,
2023-12-31,127929,,110710,,90745,,19965,
2024-01-31,69112,,48941,,43908,,5032,
2024-02-29,46653,,39078,,30074,,9004,
2024-03-31,112102,,91644,,78536,,13107,
2024-04-30,27815,,10318,,6564,,3754,
2024-05-31,94838,,67355,,57836,,9519,
2024-06-30,74659,,48461,,36492,,11968,
2024-07-31,145588,,102864,,103607,,-743,
2024-08-31,63441,,29164,,30833,,-1669,
2024-09-30,90563,,60767,,45424,,15342,
2024-10-31,119519,,82466,,64166,,18300,
2024-11-30,156653,,127835,,125173,,2662,
2024-12-31,145299,,132331,,121446,,10884,
2025-01-31,94850,,57663,,54993,,2670,
2025-02-28,113522,,62149,,50077,,12072,
2025-03-31,90141,,59902,,43628,,16274,
2025-04-30,56392,,39585,,32992,,6593,
2025-05-31,78225,,42370,,23976,,18394,
2025-06-30,109523,,66592,,40232,,26360,
2025-07-31,113202,,81481,,57963,,23518,
2025-08-31,111050,,55179,,42375,,12804,
2025-09-30,141786,,88904,,60605,,28298,
2025-10-31,181862,,120496,,91462,,29034,
2025-11-30,148088,,101103,,75385,,25718,
2025-12-31,229547,,180671,,134244,,46427,
2026-01-31,152751,,91920,,26491,,65429,
2026-02-28,184712,,105201,,48578,,56623,
2026-03-31,110372,,72496,,47718,,24778,
