NUTS level,NUTS code,Region name,Year,Value
NUTS1,UKI,London,01-01-1997,21293
NUTS1,UKI,London,01-01-1998,22611
NUTS1,UKI,London,01-01-1999,23459
NUTS1,UKI,London,01-01-2000,25318
NUTS1,UKI,London,01-01-2001,25812
NUTS1,UKI,London,01-01-2002,26702
NUTS1,UKI,London,01-01-2003,28290
NUTS1,UKI,London,01-01-2004,29752
NUTS1,UKI,London,01-01-2005,32007
NUTS1,UKI,London,01-01-2006,33136
NUTS1,UKI,London,01-01-2007,35389
NUTS1,UKI,London,01-01-2008,36172
NUTS1,UKI,London,01-01-2009,35577
NUTS1,UKI,London,01-01-2010,36434
NUTS1,UKI,London,01-01-2011,38249
NUTS1,UKI,London,01-01-2012,39201
NUTS1,UKI,London,01-01-2013,40516
NUTS1,UKI,London,01-01-2014,42666
NUTS2,UKI3,Inner London - West,01-01-1997,57479
NUTS2,UKI3,Inner London - West,01-01-1998,61531
NUTS2,UKI3,Inner London - West,01-01-1999,62809
NUTS2,UKI3,Inner London - West,01-01-2000,67844
NUTS2,UKI3,Inner London - West,01-01-2001,68829
NUTS2,UKI3,Inner London - West,01-01-2002,70956
NUTS2,UKI3,Inner London - West,01-01-2003,75556
NUTS2,UKI3,Inner London - West,01-01-2004,80129
NUTS2,UKI3,Inner London - West,01-01-2005,87395
NUTS2,UKI3,Inner London - West,01-01-2006,91107
NUTS2,UKI3,Inner London - West,01-01-2007,100298
NUTS2,UKI3,Inner London - West,01-01-2008,104619
NUTS2,UKI3,Inner London - West,01-01-2009,107460
NUTS2,UKI3,Inner London - West,01-01-2010,111885
NUTS2,UKI3,Inner London - West,01-01-2011,117131
NUTS2,UKI3,Inner London - West,01-01-2012,120255
NUTS2,UKI3,Inner London - West,01-01-2013,118051
NUTS2,UKI3,Inner London - West,01-01-2014,123406
NUTS3,UKI31,Camden and City of London,01-01-1997,120948
NUTS3,UKI31,Camden and City of London,01-01-1998,128713
NUTS3,UKI31,Camden and City of London,01-01-1999,128380
NUTS3,UKI31,Camden and City of London,01-01-2000,139062
NUTS3,UKI31,Camden and City of London,01-01-2001,139846
NUTS3,UKI31,Camden and City of London,01-01-2002,146713
NUTS3,UKI31,Camden and City of London,01-01-2003,160721
NUTS3,UKI31,Camden and City of London,01-01-2004,173605
NUTS3,UKI31,Camden and City of London,01-01-2005,195767
NUTS3,UKI31,Camden and City of London,01-01-2006,207554
NUTS3,UKI31,Camden and City of London,01-01-2007,231039
NUTS3,UKI31,Camden and City of London,01-01-2008,234692
NUTS3,UKI31,Camden and City of London,01-01-2009,247730
NUTS3,UKI31,Camden and City of London,01-01-2010,256898
NUTS3,UKI31,Camden and City of London,01-01-2011,266224
NUTS3,UKI31,Camden and City of London,01-01-2012,265387
NUTS3,UKI31,Camden and City of London,01-01-2013,255906
NUTS3,UKI31,Camden and City of London,01-01-2014,263789
NUTS3,UKI32,Westminster,01-01-1997,104531
NUTS3,UKI32,Westminster,01-01-1998,112165
NUTS3,UKI32,Westminster,01-01-1999,115282
NUTS3,UKI32,Westminster,01-01-2000,122979
NUTS3,UKI32,Westminster,01-01-2001,124865
NUTS3,UKI32,Westminster,01-01-2002,126475
NUTS3,UKI32,Westminster,01-01-2003,132010
NUTS3,UKI32,Westminster,01-01-2004,136785
NUTS3,UKI32,Westminster,01-01-2005,143419
NUTS3,UKI32,Westminster,01-01-2006,148301
NUTS3,UKI32,Westminster,01-01-2007,163334
NUTS3,UKI32,Westminster,01-01-2008,177671
NUTS3,UKI32,Westminster,01-01-2009,183802
NUTS3,UKI32,Westminster,01-01-2010,190519
NUTS3,UKI32,Westminster,01-01-2011,199377
NUTS3,UKI32,Westminster,01-01-2012,203079
NUTS3,UKI32,Westminster,01-01-2013,202737
NUTS3,UKI32,Westminster,01-01-2014,208475
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-1997,25102
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-1998,27518
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-1999,28355
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2000,30299
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2001,30668
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2002,31395
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2003,32805
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2004,34296
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2005,36284
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2006,37336
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2007,40729
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2008,43108
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2009,41909
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2010,44987
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2011,46967
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2012,49696
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2013,47314
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,01-01-2014,50018
NUTS3,UKI34,Wandsworth,01-01-1997,14850
NUTS3,UKI34,Wandsworth,01-01-1998,15803
NUTS3,UKI34,Wandsworth,01-01-1999,16646
NUTS3,UKI34,Wandsworth,01-01-2000,18068
NUTS3,UKI34,Wandsworth,01-01-2001,18601
NUTS3,UKI34,Wandsworth,01-01-2002,19040
NUTS3,UKI34,Wandsworth,01-01-2003,19506
NUTS3,UKI34,Wandsworth,01-01-2004,20121
NUTS3,UKI34,Wandsworth,01-01-2005,21417
NUTS3,UKI34,Wandsworth,01-01-2006,21948
NUTS3,UKI34,Wandsworth,01-01-2007,23644
NUTS3,UKI34,Wandsworth,01-01-2008,25115
NUTS3,UKI34,Wandsworth,01-01-2009,23743
NUTS3,UKI34,Wandsworth,01-01-2010,24488
NUTS3,UKI34,Wandsworth,01-01-2011,25898
NUTS3,UKI34,Wandsworth,01-01-2012,27490
NUTS3,UKI34,Wandsworth,01-01-2013,26955
NUTS3,UKI34,Wandsworth,01-01-2014,29232
NUTS2,UKI4,Inner London - East,01-01-1997,21824
NUTS2,UKI4,Inner London - East,01-01-1998,22591
NUTS2,UKI4,Inner London - East,01-01-1999,23264
NUTS2,UKI4,Inner London - East,01-01-2000,25517
NUTS2,UKI4,Inner London - East,01-01-2001,26174
NUTS2,UKI4,Inner London - East,01-01-2002,26898
NUTS2,UKI4,Inner London - East,01-01-2003,28704
NUTS2,UKI4,Inner London - East,01-01-2004,30565
NUTS2,UKI4,Inner London - East,01-01-2005,33473
NUTS2,UKI4,Inner London - East,01-01-2006,34443
NUTS2,UKI4,Inner London - East,01-01-2007,36870
NUTS2,UKI4,Inner London - East,01-01-2008,37067
NUTS2,UKI4,Inner London - East,01-01-2009,36227
NUTS2,UKI4,Inner London - East,01-01-2010,36314
NUTS2,UKI4,Inner London - East,01-01-2011,39213
NUTS2,UKI4,Inner London - East,01-01-2012,39409
NUTS2,UKI4,Inner London - East,01-01-2013,44156
NUTS2,UKI4,Inner London - East,01-01-2014,46793
NUTS3,UKI41,Hackney and Newham,01-01-1997,13901
NUTS3,UKI41,Hackney and Newham,01-01-1998,14363
NUTS3,UKI41,Hackney and Newham,01-01-1999,14720
NUTS3,UKI41,Hackney and Newham,01-01-2000,15947
NUTS3,UKI41,Hackney and Newham,01-01-2001,16337
NUTS3,UKI41,Hackney and Newham,01-01-2002,16581
NUTS3,UKI41,Hackney and Newham,01-01-2003,17317
NUTS3,UKI41,Hackney and Newham,01-01-2004,18219
NUTS3,UKI41,Hackney and Newham,01-01-2005,19630
NUTS3,UKI41,Hackney and Newham,01-01-2006,20103
NUTS3,UKI41,Hackney and Newham,01-01-2007,21139
NUTS3,UKI41,Hackney and Newham,01-01-2008,20556
NUTS3,UKI41,Hackney and Newham,01-01-2009,20607
NUTS3,UKI41,Hackney and Newham,01-01-2010,20721
NUTS3,UKI41,Hackney and Newham,01-01-2011,22114
NUTS3,UKI41,Hackney and Newham,01-01-2012,23020
NUTS3,UKI41,Hackney and Newham,01-01-2013,25164
NUTS3,UKI41,Hackney and Newham,01-01-2014,26391
NUTS3,UKI42,Tower Hamlets,01-01-1997,54752
NUTS3,UKI42,Tower Hamlets,01-01-1998,54837
NUTS3,UKI42,Tower Hamlets,01-01-1999,54670
NUTS3,UKI42,Tower Hamlets,01-01-2000,59921
NUTS3,UKI42,Tower Hamlets,01-01-2001,60421
NUTS3,UKI42,Tower Hamlets,01-01-2002,61727
