Contracting Party,Treaty,Signature Date,Instrument Type,Instrument Date,Entry Into Force Date
Algeria,Beijing,,Accession,2017-07-25,2020-04-28
Armenia,Beijing,,Accession,2020-12-17,2021-03-17
Austria,Beijing,2013-06-19,,,
Belgium,Beijing,2013-05-08,,,
Belize,Beijing,,Accession,2018-11-09,2020-04-28
Botswana,Beijing,2012-10-04,Ratification,2013-11-20,2020-04-28
Bulgaria,Beijing,2012-12-19,,,
Burkina Faso,Beijing,2012-06-26,Ratification,2017-07-31,2020-04-28
Burundi,Beijing,2012-06-26,,,
Cambodia,Beijing,,Accession,2019-03-27,2020-04-28
Cameroon,Beijing,2012-06-26,,,
Central African Republic,Beijing,2012-06-26,Ratification,2020-08-19,2020-11-19
Chad,Beijing,2012-06-26,,,
Chile,Beijing,2012-06-26,Ratification,2015-06-22,2020-04-28
China,Beijing,2012-06-26,Ratification,2014-07-09,2020-04-28
Colombia,Beijing,2012-06-26,,,
Comoros,Beijing,,Accession,2021-01-25,2021-04-25
Congo,Beijing,2012-06-26,,,
Cook Islands,Beijing,,Accession,2019-03-19,2020-04-28
Costa Rica,Beijing,2012-06-26,Ratification,2020-11-13,2021-02-13
Côte d'Ivoire,Beijing,2012-06-26,,,
Cyprus,Beijing,2012-06-26,,,
Czech Republic,Beijing,2013-04-29,,,
Democratic People's Republic of Korea,Beijing,2012-06-26,Ratification,2016-02-19,2020-04-28
Denmark,Beijing,2012-06-26,,,
Djibouti,Beijing,2012-06-26,,,
Dominican Republic,Beijing,,Accession,2018-06-05,2020-04-28
Ecuador,Beijing,,Accession,2021-05-03,2021-08-03
El Salvador,Beijing,2012-11-07,Ratification,2016-10-10,2020-04-28
Estonia,Beijing,2013-06-20,,,
European Union (EU),Beijing,2013-06-19,,,
Finland,Beijing,2013-06-14,,,
France,Beijing,2012-06-26,,,
Gabon,Beijing,,Accession,2016-09-21,2020-04-28
Germany,Beijing,2013-06-20,,,
Ghana,Beijing,2012-06-26,,,
Greece,Beijing,2013-06-20,,,
Grenada,Beijing,2012-06-26,,,
Guatemala,Beijing,2013-05-27,,,
Guinea,Beijing,2012-06-26,,,
Haiti,Beijing,2012-06-26,,,
Honduras,Beijing,2012-10-04,,,
Hungary,Beijing,2012-06-26,,,
Indonesia,Beijing,2012-12-18,Ratification,2020-01-28,2020-04-28
Ireland,Beijing,2013-06-19,,,
Italy,Beijing,2012-06-26,,,
Jamaica,Beijing,2012-06-26,,,
Japan,Beijing,,Accession,2014-06-10,2020-04-28
Jordan,Beijing,2012-06-26,,,
Kenya,Beijing,2012-06-26,Ratification,2019-11-15,2020-04-28
Kiribati,Beijing,,Accession,2021-03-22,2021-06-22
Liechtenstein,Beijing,,Accession,2021-09-22,2021-12-22
Luxembourg,Beijing,2013-06-20,,,
Madagascar,Beijing,2012-06-26,,,
Mali,Beijing,2012-06-26,Ratification,2018-10-23,2020-04-28
Marshall Islands,Beijing,,Accession,2019-02-08,2020-04-28
Mauritania,Beijing,2012-06-26,,,
Mauritius,Beijing,2012-06-26,,,
Mexico,Beijing,2012-06-26,Ratification,2022-07-07,2022-10-07
Mongolia,Beijing,2012-06-26,,,
Montenegro,Beijing,2013-05-27,,,
Morocco,Beijing,2012-06-26,Ratification,2022-04-22,2022-07-22
Namibia,Beijing,2012-06-26,,,
Netherlands (Kingdom of the),Beijing,2013-06-19,,,
Nicaragua,Beijing,2012-06-26,,,
Nigeria,Beijing,,Accession,2017-10-04,2020-04-28
Panama,Beijing,,Accession,2022-03-23,2022-06-23
Peru,Beijing,2012-06-26,Ratification,2018-09-27,2020-04-28
Philippines,Beijing,,Accession,2021-04-28,2021-07-28
Poland,Beijing,2013-06-24,,,
Qatar,Beijing,2013-06-24,Ratification,2015-07-03,2020-04-28
Republic of Korea,Beijing,,Accession,2020-04-22,2020-07-22
Republic of Moldova,Beijing,2012-06-26,Ratification,2015-09-04,2020-04-28
Romania,Beijing,2013-06-24,,,
Russian Federation,Beijing,,Accession,2015-10-19,2020-04-28
Saint Kitts and Nevis,Beijing,,Accession,2024-07-08,2024-10-08
Saint Vincent and the Grenadines,Beijing,,Accession,2016-09-05,2020-04-28
Samoa,Beijing,,Accession,2017-05-09,2020-04-28
Sao Tome and Principe,Beijing,2012-06-26,Ratification,2020-10-15,2021-01-15
Senegal,Beijing,2012-06-26,,,
Seychelles,Beijing,2012-06-26,,,
Sierra Leone,Beijing,2012-06-26,,,
Slovakia,Beijing,,Accession,2014-05-22,2020-04-28
Slovenia,Beijing,2013-06-21,,,
Spain,Beijing,2012-06-26,,,
Sudan,Beijing,2012-06-26,,,
Sweden,Beijing,2013-06-14,,,
Switzerland,Beijing,2012-06-26,Ratification,2020-02-11,2020-05-11
Syrian Arab Republic,Beijing,2012-06-26,Ratification,2013-03-18,2020-04-28
Togo,Beijing,2012-06-26,Ratification,2021-01-20,2021-04-20
Trinidad and Tobago,Beijing,,Accession,2019-10-04,2020-04-28
Tunisia,Beijing,2012-06-26,Ratification,2016-07-21,2020-04-28
Uganda,Beijing,2012-10-08,Ratification,2022-01-28,2022-04-28
United Arab Emirates,Beijing,,Accession,2014-10-15,2020-04-28
United Kingdom,Beijing,2013-06-11,,,
United States of America,Beijing,2012-06-26,,,
Vanuatu,Beijing,,Accession,2020-05-06,2020-08-06
Zambia,Beijing,2012-06-26,,,
Zimbabwe,Beijing,2012-12-11,Ratification,2019-09-12,2020-04-28
Afghanistan,Berne,,Accession,2018-03-02,2018-06-02
Albania,Berne,,Accession,1993-12-02,1994-03-06
Algeria,Berne,,Accession,1998-01-19,1998-04-19
Andorra,Berne,,Accession,2004-03-02,2004-06-02
