Month,Price
1997-01,3.45
1997-02,2.15
1997-03,1.89
1997-04,2.03
1997-05,2.25
1997-06,2.2
1997-07,2.19
1997-08,2.49
1997-09,2.88
1997-10,3.07
1997-11,3.01
1997-12,2.35
1998-01,2.09
1998-02,2.23
1998-03,2.24
1998-04,2.43
1998-05,2.14
1998-06,2.17
1998-07,2.17
1998-08,1.85
1998-09,2.02
1998-10,1.91
1998-11,2.12
1998-12,1.72
1999-01,1.85
1999-02,1.77
1999-03,1.79
1999-04,2.15
1999-05,2.26
1999-06,2.3
1999-07,2.31
1999-08,2.8
1999-09,2.55
1999-10,2.73
1999-11,2.37
1999-12,2.36
2000-01,2.42
2000-02,2.66
2000-03,2.79
2000-04,3.04
2000-05,3.59
2000-06,4.29
2000-07,3.99
2000-08,4.43
2000-09,5.06
2000-10,5.02
2000-11,5.52
2000-12,8.9
2001-01,8.17
2001-02,5.61
2001-03,5.23
2001-04,5.19
2001-05,4.19
2001-06,3.72
2001-07,3.11
2001-08,2.97
2001-09,2.19
2001-10,2.46
2001-11,2.34
2001-12,2.3
2002-01,2.32
2002-02,2.32
2002-03,3.03
2002-04,3.43
2002-05,3.5
2002-06,3.26
2002-07,2.99
2002-08,3.09
2002-09,3.55
2002-10,4.13
2002-11,4.04
2002-12,4.74
2003-01,5.43
2003-02,7.71
2003-03,5.93
2003-04,5.26
2003-05,5.81
2003-06,5.82
2003-07,5.03
2003-08,4.99
2003-09,4.62
2003-10,4.63
2003-11,4.47
2003-12,6.13
2004-01,6.14
2004-02,5.37
2004-03,5.39
2004-04,5.71
2004-05,6.33
2004-06,6.27
2004-07,5.93
2004-08,5.41
2004-09,5.15
2004-10,6.35
2004-11,6.17
2004-12,6.58
2005-01,6.15
2005-02,6.14
2005-03,6.96
2005-04,7.16
2005-05,6.47
2005-06,7.18
2005-07,7.63
2005-08,9.53
2005-09,11.75
2005-10,13.42
2005-11,10.3
2005-12,13.05
2006-01,8.69
2006-02,7.54
2006-03,6.89
2006-04,7.16
2006-05,6.25
2006-06,6.21
2006-07,6.17
2006-08,7.14
2006-09,4.9
2006-10,5.85
2006-11,7.41
2006-12,6.73
2007-01,6.55
2007-02,8.0
2007-03,7.11
2007-04,7.6
2007-05,7.64
2007-06,7.35
2007-07,6.22
2007-08,6.22
2007-09,6.08
2007-10,6.74
2007-11,7.1
2007-12,7.11
2008-01,7.99
2008-02,8.54
2008-03,9.41
2008-04,10.18
2008-05,11.27
2008-06,12.69
2008-07,11.09
2008-08,8.26
2008-09,7.67
2008-10,6.74
2008-11,6.68
2008-12,5.82
2009-01,5.24
2009-02,4.52
2009-03,3.96
2009-04,3.5
2009-05,3.83
2009-06,3.8
