ACT Symbol,Company Name
A,"Agilent Technologies, Inc. Common Stock"
AA,Alcoa Corporation Common Stock 
AADX,"Applied Aerospace & Defense, Inc. Common Stock"
AAMI,Acadian Asset Management Inc. Common Stock
AAP,Advance Auto Parts Inc.
AAT,"American Assets Trust, Inc. Common Stock"
AAUC,Allied Gold Corporation Common Shares
AB,AllianceBernstein Holding L.P.  Units
ABBV,AbbVie Inc. Common Stock
ABCB,Ameris Bancorp Common Stock
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ABG,Asbury Automotive Group Inc Common Stock
ABM,ABM Industries Incorporated Common Stock
ABR,Arbor Realty Trust Common Stock
ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share"
ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock
ABR$F,Arbor Realty Trust 6.25% Series F Fixed
ABT,Abbott Laboratories Common Stock
ABX,"Abacus Global Management, Inc. Class A Common Stock"
ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028"
ACA,"Arcosa, Inc. Common Stock "
ACCO,Acco Brands Corporation Common Stock
ACEL,"Accel Entertainment, Inc. "
ACH,"Accendra Health, Inc. Common Stock"
ACHR,Archer Aviation Inc. Class A Common Stock
ACHR.W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50"
ACI,"Albertsons Companies, Inc. Class A Common Stock"
ACLO,TCW AAA CLO ETF
ACM,AECOM Common Stock
ACN,Accenture plc Class A Ordinary Shares (Ireland)
ACP,abrdn Income Credit Strategies Fund Common Shares
ACP$A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock
ACR,ACRES Commercial Realty Corp. Common Stock
ACR$C,ACRES Commercial Realty Corp. 8.625% Fixed
ACR$D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock
ACRE,Ares Commercial Real Estate Corporation Common Stock
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest
ACVA,ACV Auctions Inc. Class A Common Stock
AD,"Array Digital Infrastructure, Inc. Common Shares"
ADC,Agree Realty Corporation Common Stock
ADC$A,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock"
ADCT,ADC Therapeutics SA Common Shares
ADM,Archer
ADNT,Adient plc Ordinary Shares 
ADT,ADT Inc. Common Stock
ADX,Adams Diversified Equity Fund Inc.
AEE,Ameren Corporation Common Stock
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
AEG,Aegon Ltd. New York Registry Shares
AEM,Agnico Eagle Mines Limited Common Stock
AEO,"American Eagle Outfitters, Inc. Common Stock"
AER,AerCap Holdings N.V. Ordinary Shares
AERO,"Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)"
AES,The AES Corporation Common Stock
AESI,Atlas Energy Solutions Inc. Common Stock
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares
AFB,AllianceBernstein National Municipal Income Fund Inc
AFG,"American Financial Group, Inc. Common Stock"
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059"
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059"
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060"
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060"
AFL,AFLAC Incorporated Common Stock
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
AGBK,AGI Inc Class A Common Shares
AGCO,AGCO Corporation Common Stock
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest
AGI,Alamos Gold Inc. Class A Common Shares
AGL,"agilon health, inc. Common Stock"
AGM,Federal Agricultural Mortgage Corporation Common Stock
AGM$D,Federal Agricultural Mortgage Corporation 5.700% Non
AGM$E,Federal Agricultural Mortgage Corporation 5.750% Non
AGM$F,Federal Agricultural Mortgage Corporation 5.250% Non
AGM$G,Federal Agricultural Mortgage Corporation 4.875% Non
AGM$H,Federal Agricultural Mortgage Corporation 6.500% Non
AGM$I,Federal Agricultural Mortgage Corporation 6.875% Non
AGM.A,Federal Agricultural Mortgage Corporation Common Stock
AGO,Assured Guaranty Ltd. Common Stock
AGRO,Adecoagro S.A. Common Shares
AGX,"Argan, Inc. Common Stock"
AHL$D,Aspen Insurance Holdings Limited 5.625% Perpetual Non
AHL$E,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1000th interest in a share of 5.625% Perpetual Non"
AHL$F,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1,000th Interest in a 7.00% Perpetual Non"
AHR,"American Healthcare REIT, Inc. Common Stock"
AHRT,"AH Realty Trust, Inc. Common Stock"
AHRT$A,"AH Realty Trust, Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock"
AHT,Ashford Hospitality Trust Inc Common Stock
AHT$D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock
AHT$F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock
AHT$G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock
AHT$H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock
AHT$I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock
AI,"C3.ai, Inc. Class A Common Stock"
AIG,"American International Group, Inc. New Common Stock"
AII,"American Integrity Insurance Group, Inc. Common Stock"
AIIA,AI Infrastructure Acquisition Corp. Class A Ordinary Shares
AIIA.R,"AI Infrastructure Acquisition Corp. Rights, each entitling the holder to receive one"
AIIA.U,"AI Infrastructure Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one Right"
AIN,Albany International Corporation Common Stock
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest
AIR,AAR Corp. Common Stock
AIT,"Applied Industrial Technologies, Inc. Common Stock"
AIV,Apartment Investment and Management Company Common Stock
AIZ,"Assurant, Inc. Common Stock"
AIZN,"Assurant, Inc. 5.25% Subordinated Notes due 2061"
AJG,Arthur J. Gallagher & Co. Common Stock
AKA,a.k.a. Brands Holding Corp. Common Stock
AKAF,The Frontier Economic Fund
AKO.A,Embotelladora Andina S.A. Common Stock
AKO.B,Embotelladora Andina S.A. Common Stock
AKR,Acadia Realty Trust Common Stock
ALB,Albemarle Corporation Common Stock
ALB$A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock
ALC,Alcon Inc. Ordinary Shares
ALG,"Alamo Group, Inc. Common Stock"
ALH,Alliance Laundry Holdings Inc. Common Stock
ALIT,"Alight, Inc. Class A Common Stock"
ALK,"Alaska Air Group, Inc. Common Stock"
ALL,Allstate Corporation (The) Common Stock
ALL$B,Allstate Corporation (The) 5.100% Fixed
ALL$H,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series H"
ALL$I,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series I"
ALL$J,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series J"
ALLE,Allegion plc Ordinary Shares
ALLY,Ally Financial Inc. Common Stock
ALSN,"Allison Transmission Holdings, Inc. Common Stock"
ALTG,Alta Equipment Group Inc. Class A Common Stock
ALTG$A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock)
ALUB,Alussa Energy Acquisition Corp. II Class A Ordinary Shares
ALUB.U,"Alussa Energy Acquisition Corp. II Units, each consisting of one Class A ordinary share and one"
ALUB.W,"Alussa Energy Acquisition Corp. II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share"
ALV,"Autoliv, Inc. Common Stock"
ALX,"Alexander's, Inc. Common Stock"
AM,Antero Midstream Corporation Common Stock
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares
AMBQ,"Ambiq Micro, Inc. Common Stock"
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock"
AMCR,Amcor plc Ordinary Shares
AME,"AMETEK, Inc."
AMG,"Affiliated Managers Group, Inc. Common Stock"
AMH,American Homes 4 Rent Common Shares of Beneficial Interest
AMH$G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest
AMH$H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest
AMN,AMN Healthcare Services Inc
AMP,"Ameriprise Financial, Inc. Common Stock"
AMPX,"Amprius Technologies, Inc. Common Stock"
AMPX.W,"Amprius Technologies, Inc. Warrants to purchase one share of Common Stock at an exercise price of $11.50 per share"
AMPY,Amplify Energy Corp. Common Stock
AMR,"Alpha Metallurgical Resources, Inc. Common Stock"
AMRC,"Ameresco, Inc. Class A Common Stock"
