ACT Symbol,Company Name,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
A,"Agilent Technologies, Inc. Common Stock","Agilent Technologies, Inc. Common Stock",N,A,N,100.0,N,A
AA,Alcoa Corporation Common Stock ,Alcoa Corporation Common Stock ,N,AA,N,100.0,N,AA
AAA,Alternative Access First Priority CLO Bond ETF,Alternative Access First Priority CLO Bond ETF,P,AAA,Y,100.0,N,AAA
AAAA,Amplius Aggressive Asset Allocation ETF,Amplius Aggressive Asset Allocation ETF,Z,AAAA,Y,100.0,N,AAAA
AAAC,Columbia AAA CLO ETF,Columbia AAA CLO ETF,P,AAAC,Y,100.0,N,AAAC
AAAD,PGIM AAA CLO Aggregate Duration ETF,PGIM AAA CLO Aggregate Duration ETF,P,AAAD,Y,100.0,N,AAAD
AAAU,Goldman Sachs Physical Gold ETF Shares,Goldman Sachs Physical Gold ETF Shares,Z,AAAU,Y,100.0,N,AAAU
AADX,"Applied Aerospace & Defense, Inc. Common Stock","Applied Aerospace & Defense, Inc. Common Stock",N,AADX,N,100.0,N,AADX
AAMI,Acadian Asset Management Inc. Common Stock,Acadian Asset Management Inc. Common Stock,N,AAMI,N,100.0,N,AAMI
AAOG,Leverage Shares 2X Long AAOI Daily ETF,Leverage Shares 2X Long AAOI Daily ETF,Z,AAOG,Y,100.0,N,AAOG
AAOX,Tradr 2X Long AAOI Daily ETF,Tradr 2X Long AAOI Daily ETF,Z,AAOX,Y,100.0,N,AAOX
AAP,Advance Auto Parts Inc.,Advance Auto Parts Inc.,N,AAP,N,100.0,N,AAP
AAPR,Innovator Equity Defined Protection ETF ,Innovator Equity Defined Protection ETF - 2 Yr to April 2028,Z,AAPR,Y,100.0,N,AAPR
AAPW,Roundhill AAPL WeeklyPay ETF,Roundhill AAPL WeeklyPay ETF,Z,AAPW,Y,100.0,N,AAPW
AAPX,T,T-Rex 2X Long Apple Daily Target ETF,Z,AAPX,Y,100.0,N,AAPX
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Kurv Yield Premium Strategy Apple (AAPL) ETF,Z,AAPY,Y,100.0,N,AAPY
AAT,"American Assets Trust, Inc. Common Stock","American Assets Trust, Inc. Common Stock",N,AAT,N,100.0,N,AAT
AAUA,Alpha Architect US Equity 3 ETF,Alpha Architect US Equity 3 ETF,Z,AAUA,Y,100.0,N,AAUA
AAUC,Allied Gold Corporation Common Shares,Allied Gold Corporation Common Shares,N,AAUC,N,100.0,N,AAUC
AAUM,Tema Alternative Asset Managers ETF,Tema Alternative Asset Managers ETF,Z,AAUM,Y,100.0,N,AAUM
AB,AllianceBernstein Holding L.P.  Units,AllianceBernstein Holding L.P.  Units,N,AB,N,100.0,N,AB
ABBV,AbbVie Inc. Common Stock,AbbVie Inc. Common Stock,N,ABBV,N,100.0,N,ABBV
ABCB,Ameris Bancorp Common Stock,Ameris Bancorp Common Stock,N,ABCB,N,100.0,N,ABCB
ABEQ,Absolute Select Value ETF,Absolute Select Value ETF,P,ABEQ,Y,100.0,N,ABEQ
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N,ABEV,N,100.0,N,ABEV
ABFL,Abacus FCF Leaders ETF,Abacus FCF Leaders ETF,Z,ABFL,Y,100.0,N,ABFL
ABG,Asbury Automotive Group Inc Common Stock,Asbury Automotive Group Inc Common Stock,N,ABG,N,100.0,N,ABG
ABLD,Abacus FCF Real Assets Leaders ETF,Abacus FCF Real Assets Leaders ETF,Z,ABLD,Y,100.0,N,ABLD
ABLG,Abacus FCF International Leaders ETF,Abacus FCF International Leaders ETF,Z,ABLG,Y,100.0,N,ABLG
ABLS,Abacus FCF Small Cap Leaders ETF,Abacus FCF Small Cap Leaders ETF,Z,ABLS,Y,100.0,N,ABLS
ABM,ABM Industries Incorporated Common Stock,ABM Industries Incorporated Common Stock,N,ABM,N,100.0,N,ABM
ABNY,YieldMax ABNB Option Income Strategy ETF,YieldMax ABNB Option Income Strategy ETF,P,ABNY,Y,100.0,N,ABNY
ABOT,Abacus FCF Innovation Leaders ETF,Abacus FCF Innovation Leaders ETF,Z,ABOT,Y,100.0,N,ABOT
ABR,Arbor Realty Trust Common Stock,Arbor Realty Trust Common Stock,N,ABR,N,100.0,N,ABR
ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share","Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",N,ABRpD,N,100.0,N,ABR-D
ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,N,ABRpE,N,100.0,N,ABR-E
ABR$F,Arbor Realty Trust 6.25% Series F Fixed,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",N,ABRpF,N,100.0,N,ABR-F
ABT,Abbott Laboratories Common Stock,Abbott Laboratories Common Stock,N,ABT,N,100.0,N,ABT
ABUF,Aptus Laddered Buffer ETF,Aptus Laddered Buffer ETF,Z,ABUF,Y,100.0,N,ABUF
ABX,"Abacus Global Management, Inc. Class A Common Stock","Abacus Global Management, Inc. Class A Common Stock",N,ABX,N,100.0,N,ABX
ABXB,Abacus Flexible Bond Leaders ETF,Abacus Flexible Bond Leaders ETF,Z,ABXB,Y,100.0,N,ABXB
ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028","Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",N,ABXL,N,100.0,N,ABXL
ACA,"Arcosa, Inc. Common Stock ","Arcosa, Inc. Common Stock ",N,ACA,N,100.0,N,ACA
ACCO,Acco Brands Corporation Common Stock,Acco Brands Corporation Common Stock,N,ACCO,N,100.0,N,ACCO
ACCS,ACCESS Newswire Inc. Common Stock,ACCESS Newswire Inc. Common Stock,A,ACCS,N,100.0,N,ACCS
ACEI,Innovator Equity Autocallable Income Strategy ETF,Innovator Equity Autocallable Income Strategy ETF,P,ACEI,Y,100.0,N,ACEI
ACEL,"Accel Entertainment, Inc. ","Accel Entertainment, Inc. ",N,ACEL,N,100.0,N,ACEL
ACES,ALPS Clean Energy ETF,ALPS Clean Energy ETF,P,ACES,Y,100.0,N,ACES
ACGO,Hartford Alpha Capture Growth ETF,Hartford Alpha Capture Growth ETF,Z,ACGO,Y,100.0,N,ACGO
ACGR,American Century Large Cap Growth ETF,American Century Large Cap Growth ETF,P,ACGR,Y,100.0,N,ACGR
ACH,"Accendra Health, Inc. Common Stock","Accendra Health, Inc. Common Stock",N,ACH,N,100.0,N,ACH
ACHR,Archer Aviation Inc. Class A Common Stock,Archer Aviation Inc. Class A Common Stock,N,ACHR,N,100.0,N,ACHR
ACHR.W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50","Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",N,ACHR.WS,N,100.0,N,ACHR+
ACI,"Albertsons Companies, Inc. Class A Common Stock","Albertsons Companies, Inc. Class A Common Stock",N,ACI,N,100.0,N,ACI
ACII,Innovator Index Autocallable Income Strategy ETF,Innovator Index Autocallable Income Strategy ETF,P,ACII,Y,100.0,N,ACII
ACIO,Aptus Collared Investment Opportunity ETF,Aptus Collared Investment Opportunity ETF,Z,ACIO,Y,100.0,N,ACIO
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,VistaShares Target 15 ACKtivist Distribution ETF,P,ACKY,Y,100.0,N,ACKY
ACLC,American Century Large Cap Equity ETF,American Century Large Cap Equity ETF,P,ACLC,Y,100.0,N,ACLC
ACLO,TCW AAA CLO ETF,TCW AAA CLO ETF,N,ACLO,Y,100.0,N,ACLO
ACM,AECOM Common Stock,AECOM Common Stock,N,ACM,N,100.0,N,ACM
ACN,Accenture plc Class A Ordinary Shares (Ireland),Accenture plc Class A Ordinary Shares (Ireland),N,ACN,N,100.0,N,ACN
ACP,abrdn Income Credit Strategies Fund Common Shares,abrdn Income Credit Strategies Fund Common Shares,N,ACP,N,100.0,N,ACP
ACP$A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,N,ACPpA,N,100.0,N,ACP-A
