Date,Price
1987-05-20,18.63
1987-05-21,18.45
1987-05-22,18.55
1987-05-25,18.6
1987-05-26,18.63
1987-05-27,18.6
1987-05-28,18.6
1987-05-29,18.58
1987-06-01,18.65
1987-06-02,18.68
1987-06-03,18.75
1987-06-04,18.78
1987-06-05,18.65
1987-06-08,18.75
1987-06-09,18.78
1987-06-10,18.78
1987-06-11,18.68
1987-06-12,18.78
1987-06-16,18.9
1987-06-17,19.03
1987-06-18,19.05
1987-06-19,19.05
1987-06-22,19.1
1987-06-23,18.9
1987-06-24,18.75
1987-06-25,18.7
1987-06-26,19.08
1987-06-29,19.15
1987-06-30,19.08
1987-07-01,18.98
1987-07-02,19.25
1987-07-03,19.33
1987-07-06,19.48
1987-07-07,19.5
1987-07-08,19.48
1987-07-09,19.68
1987-07-10,19.73
1987-07-13,19.83
1987-07-14,19.88
1987-07-15,20.28
1987-07-16,20.4
1987-07-17,20.63
1987-07-20,20.55
1987-07-21,20.35
1987-07-22,20.33
1987-07-23,20.15
1987-07-24,19.58
1987-07-27,19.3
1987-07-28,19.78
1987-07-29,19.98
1987-07-30,20.2
1987-07-31,20.03
1987-08-03,20.95
1987-08-04,20.65
1987-08-05,19.8
1987-08-06,19.75
1987-08-07,19.65
1987-08-10,19.43
1987-08-11,19.45
1987-08-12,19.5
1987-08-13,19.4
1987-08-14,19.25
1987-08-17,18.85
1987-08-18,18.75
1987-08-19,18.5
1987-08-20,18.3
1987-08-21,18.1
1987-08-24,17.48
1987-08-25,17.55
1987-08-26,18.1
1987-08-27,18.28
1987-08-28,18.2
1987-08-31,18.63
1987-09-01,18.43
1987-09-02,18.4
1987-09-03,18.18
1987-09-04,18.13
1987-09-07,17.6
1987-09-08,17.68
1987-09-09,17.9
1987-09-10,18.3
1987-09-11,18.18
1987-09-14,18.15
1987-09-15,18.53
1987-09-16,18.53
1987-09-17,18.43
1987-09-18,18.3
1987-09-21,18.28
1987-09-22,18.48
1987-09-23,18.48
1987-09-24,18.68
1987-09-25,18.6
1987-09-28,18.65
1987-09-29,18.5
1987-09-30,18.48
1987-10-01,18.5
1987-10-02,18.65
1987-10-05,18.78
1987-10-06,18.6
1987-10-07,18.58
1987-10-08,18.63
1987-10-09,18.6
1987-10-12,18.55
1987-10-13,18.55
1987-10-14,18.68
1987-10-15,18.68
1987-10-16,19
1987-10-19,19.1
1987-10-20,18.78
1987-10-21,18.93
1987-10-22,19.13
1987-10-23,18.98
1987-10-26,18.75
1987-10-27,18.8
1987-10-28,18.85
1987-10-29,18.75
1987-10-30,18.8
1987-11-02,18.63
1987-11-03,18.38
1987-11-04,17.93
1987-11-05,17.85
1987-11-06,17.95
1987-11-09,17.5
1987-11-10,17.75
1987-11-11,17.8
1987-11-12,17.85
1987-11-13,17.8
1987-11-16,17.68
1987-11-17,17.4
1987-11-18,17.18
1987-11-19,17.48
1987-11-20,17.6
1987-11-23,17.9
1987-11-24,17.83
1987-11-25,17.68
1987-11-26,17.73
1987-11-27,17.78
1987-11-30,17.7
1987-12-01,17.65
1987-12-02,17.7
1987-12-03,17.93
1987-12-04,18
1987-12-07,17.78
1987-12-08,17.58
1987-12-09,17.43
1987-12-10,17.55
1987-12-11,17.73
1987-12-14,16.8
1987-12-15,16.2
1987-12-16,15.93
