Date,Price
1987-05-15,18.58
1987-06-15,18.86
1987-07-15,19.86
1987-08-15,18.98
1987-09-15,18.31
1987-10-15,18.76
1987-11-15,17.78
1987-12-15,17.05
1988-01-15,16.75
1988-02-15,15.73
1988-03-15,14.73
1988-04-15,16.6
1988-05-15,16.31
1988-06-15,15.54
1988-07-15,14.91
1988-08-15,14.89
1988-09-15,13.18
1988-10-15,12.41
1988-11-15,13.02
1988-12-15,15.31
1989-01-15,17.17
1989-02-15,16.89
1989-03-15,18.7
1989-04-15,20.32
1989-05-15,18.63
1989-06-15,17.67
1989-07-15,17.62
1989-08-15,16.77
1989-09-15,17.77
1989-10-15,18.91
1989-11-15,18.73
1989-12-15,19.84
1990-01-15,21.25
1990-02-15,19.81
1990-03-15,18.39
1990-04-15,16.61
1990-05-15,16.35
1990-06-15,15.1
1990-07-15,17.17
1990-08-15,27.17
1990-09-15,34.9
1990-10-15,36.02
1990-11-15,33.07
1990-12-15,28.27
1991-01-15,23.57
1991-02-15,19.54
1991-03-15,19.08
1991-04-15,19.18
1991-05-15,19.19
1991-06-15,18.17
1991-07-15,19.4
1991-08-15,19.77
1991-09-15,20.5
1991-10-15,22.21
1991-11-15,21.11
1991-12-15,18.41
1992-01-15,18.16
1992-02-15,18.05
1992-03-15,17.63
1992-04-15,18.92
1992-05-15,19.89
1992-06-15,21.16
1992-07-15,20.24
1992-08-15,19.74
1992-09-15,20.27
1992-10-15,20.26
1992-11-15,19.21
1992-12-15,18.14
1993-01-15,17.39
1993-02-15,18.47
1993-03-15,18.79
1993-04-15,18.67
1993-05-15,18.51
1993-06-15,17.65
1993-07-15,16.78
1993-08-15,16.7
1993-09-15,16.01
1993-10-15,16.61
1993-11-15,15.2
1993-12-15,13.73
1994-01-15,14.29
1994-02-15,13.8
1994-03-15,13.82
1994-04-15,15.23
1994-05-15,16.19
1994-06-15,16.76
1994-07-15,17.6
1994-08-15,16.89
1994-09-15,15.9
1994-10-15,16.49
1994-11-15,17.19
1994-12-15,15.93
1995-01-15,16.55
1995-02-15,17.11
1995-03-15,17.01
1995-04-15,18.65
1995-05-15,18.35
1995-06-15,17.31
1995-07-15,15.85
1995-08-15,16.1
1995-09-15,16.7
1995-10-15,16.11
1995-11-15,16.86
1995-12-15,17.93
1996-01-15,17.85
1996-02-15,18
1996-03-15,19.85
1996-04-15,20.9
1996-05-15,19.15
1996-06-15,18.46
1996-07-15,19.57
1996-08-15,20.51
1996-09-15,22.63
1996-10-15,24.16
1996-11-15,22.76
1996-12-15,23.78
1997-01-15,23.54
1997-02-15,20.85
1997-03-15,19.13
1997-04-15,17.56
1997-05-15,19.02
1997-06-15,17.58
1997-07-15,18.46
1997-08-15,18.6
1997-09-15,18.46
1997-10-15,19.87
1997-11-15,19.17
1997-12-15,17.18
1998-01-15,15.19
1998-02-15,14.07
1998-03-15,13.1
1998-04-15,13.53
1998-05-15,14.36
1998-06-15,12.21
1998-07-15,12.08
1998-08-15,11.91
1998-09-15,13.34
1998-10-15,12.7
1998-11-15,11.04
1998-12-15,9.82
1999-01-15,11.11
1999-02-15,10.27
1999-03-15,12.51
1999-04-15,15.29
1999-05-15,15.23
1999-06-15,15.86
1999-07-15,19.08
1999-08-15,20.22
1999-09-15,22.54
1999-10-15,22
