Country Name,Country Code,Year,Value
Aruba,ABW,1960,54922
Aruba,ABW,1961,55578
Aruba,ABW,1962,56320
Aruba,ABW,1963,57002
Aruba,ABW,1964,57619
Aruba,ABW,1965,58190
Aruba,ABW,1966,58694
Aruba,ABW,1967,58990
Aruba,ABW,1968,59069
Aruba,ABW,1969,59052
Aruba,ABW,1970,58950
Aruba,ABW,1971,58781
Aruba,ABW,1972,58047
Aruba,ABW,1973,58299
Aruba,ABW,1974,58349
Aruba,ABW,1975,58295
Aruba,ABW,1976,58368
Aruba,ABW,1977,58580
Aruba,ABW,1978,58776
Aruba,ABW,1979,59191
Aruba,ABW,1980,59909
Aruba,ABW,1981,60563
Aruba,ABW,1982,61276
Aruba,ABW,1983,62228
Aruba,ABW,1984,62901
Aruba,ABW,1985,61728
Aruba,ABW,1986,59931
Aruba,ABW,1987,59159
Aruba,ABW,1988,59331
Aruba,ABW,1989,60443
Aruba,ABW,1990,62753
Aruba,ABW,1991,65896
Aruba,ABW,1992,69005
Aruba,ABW,1993,73685
Aruba,ABW,1994,77595
Aruba,ABW,1995,79805
Aruba,ABW,1996,83021
Aruba,ABW,1997,86301
Aruba,ABW,1998,88451
Aruba,ABW,1999,89659
Aruba,ABW,2000,90588
Aruba,ABW,2001,91439
Aruba,ABW,2002,92074
Aruba,ABW,2003,93128
Aruba,ABW,2004,95138
Aruba,ABW,2005,97635
Aruba,ABW,2006,99405
Aruba,ABW,2007,100150
Aruba,ABW,2008,100917
Aruba,ABW,2009,101604
Aruba,ABW,2010,101838
Aruba,ABW,2011,102591
Aruba,ABW,2012,104110
Aruba,ABW,2013,105675
Aruba,ABW,2014,106807
Aruba,ABW,2015,107906
Aruba,ABW,2016,108727
Aruba,ABW,2017,108735
Aruba,ABW,2018,108908
Aruba,ABW,2019,109203
Aruba,ABW,2020,108587
Aruba,ABW,2021,107700
Aruba,ABW,2022,107310
Aruba,ABW,2023,107359
Aruba,ABW,2024,107995
Africa Eastern and Southern,AFE,1960,130075728
Africa Eastern and Southern,AFE,1961,133534923
Africa Eastern and Southern,AFE,1962,137171659
Africa Eastern and Southern,AFE,1963,140945536
Africa Eastern and Southern,AFE,1964,144904094
Africa Eastern and Southern,AFE,1965,149033472
Africa Eastern and Southern,AFE,1966,153281203
Africa Eastern and Southern,AFE,1967,157704381
Africa Eastern and Southern,AFE,1968,162329396
Africa Eastern and Southern,AFE,1969,167088245
Africa Eastern and Southern,AFE,1970,171984985
Africa Eastern and Southern,AFE,1971,177022314
Africa Eastern and Southern,AFE,1972,182126556
Africa Eastern and Southern,AFE,1973,187524135
Africa Eastern and Southern,AFE,1974,193186642
Africa Eastern and Southern,AFE,1975,198914573
Africa Eastern and Southern,AFE,1976,204802976
Africa Eastern and Southern,AFE,1977,210680842
Africa Eastern and Southern,AFE,1978,217074286
Africa Eastern and Southern,AFE,1979,223974122
Africa Eastern and Southern,AFE,1980,230792729
Africa Eastern and Southern,AFE,1981,238043099
Africa Eastern and Southern,AFE,1982,245822010
Africa Eastern and Southern,AFE,1983,253644643
Africa Eastern and Southern,AFE,1984,261458202
Africa Eastern and Southern,AFE,1985,269450407
Africa Eastern and Southern,AFE,1986,277621771
Africa Eastern and Southern,AFE,1987,286067346
Africa Eastern and Southern,AFE,1988,294498625
Africa Eastern and Southern,AFE,1989,302939121
Africa Eastern and Southern,AFE,1990,311748681
Africa Eastern and Southern,AFE,1991,320442961
Africa Eastern and Southern,AFE,1992,329082707
Africa Eastern and Southern,AFE,1993,338324002
Africa Eastern and Southern,AFE,1994,347441809
Africa Eastern and Southern,AFE,1995,356580375
Africa Eastern and Southern,AFE,1996,366138524
Africa Eastern and Southern,AFE,1997,375646235
Africa Eastern and Southern,AFE,1998,385505757
Africa Eastern and Southern,AFE,1999,395750933
Africa Eastern and Southern,AFE,2000,406156661
Africa Eastern and Southern,AFE,2001,416807868
Africa Eastern and Southern,AFE,2002,427820358
Africa Eastern and Southern,AFE,2003,439173286
Africa Eastern and Southern,AFE,2004,450928044
Africa Eastern and Southern,AFE,2005,463076637
Africa Eastern and Southern,AFE,2006,475606210
Africa Eastern and Southern,AFE,2007,488580707
Africa Eastern and Southern,AFE,2008,502070763
Africa Eastern and Southern,AFE,2009,516003448
Africa Eastern and Southern,AFE,2010,530308387
Africa Eastern and Southern,AFE,2011,544737983
Africa Eastern and Southern,AFE,2012,559609961
Africa Eastern and Southern,AFE,2013,575202699
Africa Eastern and Southern,AFE,2014,590968990
Africa Eastern and Southern,AFE,2015,607123269
Africa Eastern and Southern,AFE,2016,623369401
Africa Eastern and Southern,AFE,2017,640058741
Africa Eastern and Southern,AFE,2018,657801085
Africa Eastern and Southern,AFE,2019,675950189
Africa Eastern and Southern,AFE,2020,694446100
Africa Eastern and Southern,AFE,2021,713090928
Africa Eastern and Southern,AFE,2022,731821393
Africa Eastern and Southern,AFE,2023,750491370
Africa Eastern and Southern,AFE,2024,769280888
Afghanistan,AFG,1960,9035043
Afghanistan,AFG,1961,9214083
Afghanistan,AFG,1962,9404406
Afghanistan,AFG,1963,9604487
Afghanistan,AFG,1964,9814318
Afghanistan,AFG,1965,10036008
Afghanistan,AFG,1966,10266395
Afghanistan,AFG,1967,10505959
Afghanistan,AFG,1968,10756922
Afghanistan,AFG,1969,11017409
Afghanistan,AFG,1970,11290128
Afghanistan,AFG,1971,11567667
Afghanistan,AFG,1972,11853696
Afghanistan,AFG,1973,12157999
Afghanistan,AFG,1974,12469127
Afghanistan,AFG,1975,12773954
Afghanistan,AFG,1976,13059851
Afghanistan,AFG,1977,13340756
Afghanistan,AFG,1978,13611441
Afghanistan,AFG,1979,13655567
