Region,Country Code,Year,Population
WORLD,900,1950,None
WORLD,900,1951,None
WORLD,900,1952,None
WORLD,900,1953,None
WORLD,900,1954,None
WORLD,900,1955,None
WORLD,900,1956,None
WORLD,900,1957,None
WORLD,900,1958,None
WORLD,900,1959,None
WORLD,900,1960,None
WORLD,900,1961,None
WORLD,900,1962,None
WORLD,900,1963,None
WORLD,900,1964,None
WORLD,900,1965,None
WORLD,900,1966,None
WORLD,900,1967,None
WORLD,900,1968,None
WORLD,900,1969,None
WORLD,900,1970,None
WORLD,900,1971,None
WORLD,900,1972,None
WORLD,900,1973,None
WORLD,900,1974,None
WORLD,900,1975,None
WORLD,900,1976,None
WORLD,900,1977,None
WORLD,900,1978,None
WORLD,900,1979,None
WORLD,900,1980,None
WORLD,900,1981,None
WORLD,900,1982,None
WORLD,900,1983,None
WORLD,900,1984,None
WORLD,900,1985,None
WORLD,900,1986,None
WORLD,900,1987,None
WORLD,900,1988,None
WORLD,900,1989,None
WORLD,900,1990,None
WORLD,900,1991,None
WORLD,900,1992,None
WORLD,900,1993,None
WORLD,900,1994,None
WORLD,900,1995,None
WORLD,900,1996,None
WORLD,900,1997,None
WORLD,900,1998,None
WORLD,900,1999,None
WORLD,900,2000,None
WORLD,900,2001,None
WORLD,900,2002,None
WORLD,900,2003,None
WORLD,900,2004,None
WORLD,900,2005,None
WORLD,900,2006,None
WORLD,900,2007,None
WORLD,900,2008,None
WORLD,900,2009,None
WORLD,900,2010,None
WORLD,900,2011,None
WORLD,900,2012,None
WORLD,900,2013,None
WORLD,900,2014,None
WORLD,900,2015,None
WORLD,900,2016,None
WORLD,900,2017,None
WORLD,900,2018,None
WORLD,900,2019,None
WORLD,900,2020,7794798.729
UN development groups,1803,1950,None
UN development groups,1803,1951,None
UN development groups,1803,1952,None
UN development groups,1803,1953,None
UN development groups,1803,1954,None
UN development groups,1803,1955,None
UN development groups,1803,1956,None
UN development groups,1803,1957,None
UN development groups,1803,1958,None
UN development groups,1803,1959,None
UN development groups,1803,1960,None
UN development groups,1803,1961,None
UN development groups,1803,1962,None
UN development groups,1803,1963,None
UN development groups,1803,1964,None
UN development groups,1803,1965,None
UN development groups,1803,1966,None
UN development groups,1803,1967,None
UN development groups,1803,1968,None
UN development groups,1803,1969,None
UN development groups,1803,1970,None
UN development groups,1803,1971,None
UN development groups,1803,1972,None
UN development groups,1803,1973,None
UN development groups,1803,1974,None
UN development groups,1803,1975,None
UN development groups,1803,1976,None
UN development groups,1803,1977,None
UN development groups,1803,1978,None
UN development groups,1803,1979,None
UN development groups,1803,1980,None
UN development groups,1803,1981,None
UN development groups,1803,1982,None
UN development groups,1803,1983,None
UN development groups,1803,1984,None
UN development groups,1803,1985,None
UN development groups,1803,1986,None
UN development groups,1803,1987,None
UN development groups,1803,1988,None
UN development groups,1803,1989,None
UN development groups,1803,1990,None
UN development groups,1803,1991,None
UN development groups,1803,1992,None
UN development groups,1803,1993,None
UN development groups,1803,1994,None
UN development groups,1803,1995,None
UN development groups,1803,1996,None
UN development groups,1803,1997,None
UN development groups,1803,1998,None
UN development groups,1803,1999,None
UN development groups,1803,2000,None
UN development groups,1803,2001,None
UN development groups,1803,2002,None
UN development groups,1803,2003,None
UN development groups,1803,2004,None
UN development groups,1803,2005,None
UN development groups,1803,2006,None
UN development groups,1803,2007,None
UN development groups,1803,2008,None
UN development groups,1803,2009,None
UN development groups,1803,2010,None
UN development groups,1803,2011,None
UN development groups,1803,2012,None
UN development groups,1803,2013,None
UN development groups,1803,2014,None
UN development groups,1803,2015,None
UN development groups,1803,2016,None
UN development groups,1803,2017,None
UN development groups,1803,2018,None
UN development groups,1803,2019,None
UN development groups,1803,2020,...
More developed regions,901,1950,None
More developed regions,901,1951,None
More developed regions,901,1952,None
More developed regions,901,1953,None
More developed regions,901,1954,None
More developed regions,901,1955,None
More developed regions,901,1956,None
More developed regions,901,1957,None
