Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
MMM,3M,Industrial Conglomerates,158.32,30.504818,0.0197,5.19,139.34,177.41,82574532608,6240000000,3.2998135,25.306906,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
AOS,A. O. Smith,Building Products,59.08,15.754667,0.024,3.75,54.16,81.87,8142915584,795299968,2.136183,4.336147,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS
ABT,Abbott Laboratories,Health Care Equipment,88.18,24.700281,0.0286,3.57,81.97,139.06,153593085952,11744000000,3.4030461,2.9502492,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
ABBV,AbbVie,Biotechnology,227.73,111.08781,0.0304,2.05,181.73,244.81,402351718400,29915000832,6.404937,-60.45394,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
ACN,Accenture,IT Consulting & Other Services,170.28,13.968827,0.0383,12.19,155.82,317.05,104796291072,12735312896,1.4532772,3.3544776,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ADBE,Adobe Inc.,Application Software,204.02,11.671625,,17.48,196.9,405.0,82464882688,9566999552,3.2726758,7.12062,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
AMD,Advanced Micro Devices,Semiconductors,511.57,169.39404,,3.02,117.78,546.44,834166325248,7430000128,22.271755,12.935747,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD
AES,AES Corporation,Independent Power Producers & Energy Traders,14.68,7.6458335,0.0479,1.92,10.02,17.65,10469154816,3755000064,0.8384043,2.368506,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
AFL,Aflac,Life & Health Insurance,117.8,13.462857,0.0207,8.75,96.95,119.81,59958423552,5880000000,3.3104253,2.007293,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
A,Agilent Technologies,Life Sciences Tools & Services,129.84,26.02004,0.0079,4.99,108.35,160.27,36670959616,2015000064,5.0706525,5.145031,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
APD,Air Products,Industrial Gases,281.62,29.675447,0.0257,9.49,229.11,307.96,62711332864,3877600000,5.0314374,4.0071144,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
ABNB,Airbnb,"Hotels, Resorts & Cruise Lines",132.28,32.661728,,4.05,110.81,147.25,78508826624,2619000064,6.2077036,10.306997,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABNB
AKAM,Akamai Technologies,Internet Services & Infrastructure,133.5,45.10135,,2.96,69.78,165.45,19408957440,1146972032,4.5489964,3.9583702,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
