Time,GMSL (monthly),GMSL (smoothed)
1993-Jan,-48.7,#N/A
1993-Feb,-52.4,-48.5
1993-Mar,-44.4,-49.1
1993-Apr,-50.4,-47.0
1993-May,-46.3,-49.4
1993-Jun,-51.5,-47.8
1993-Jul,-45.7,-47.4
1993-Aug,-44.9,-42.7
1993-Sep,-37.4,-40.2
1993-Oct,-38.5,-38.4
1993-Nov,-39.3,-39.4
1993-Dec,-40.4,-41.3
1994-Jan,-44.3,-44.6
1994-Feb,-49.0,-44.6
1994-Mar,-40.6,-44.5
1994-Apr,-44.1,-44.5
1994-May,-48.9,-47.4
1994-Jun,-49.3,-48.7
1994-Jul,-48.1,-46.3
1994-Aug,-41.7,-43.5
1994-Sep,-40.6,-39.1
1994-Oct,-35.0,-39.6
1994-Nov,-43.3,-39.2
1994-Dec,-39.4,-42.5
1995-Jan,-44.8,-42.3
1995-Feb,-42.7,-43.5
1995-Mar,-43.0,-42.1
1995-Apr,-40.6,-44.2
1995-May,-49.2,-44.6
1995-Jun,-44.0,-47.4
1995-Jul,-48.9,-43.7
1995-Aug,-38.1,-40.8
1995-Sep,-35.5,-34.8
1995-Oct,-30.8,-34.3
1995-Nov,-36.7,-33.9
1995-Dec,-34.2,-39.4
1996-Jan,-47.2,-39.5
1996-Feb,-37.1,-42.2
1996-Mar,-42.3,-39.3
1996-Apr,-38.4,-40.4
1996-May,-40.5,-38.9
1996-Jun,-37.8,-38.2
1996-Jul,-36.2,-35.8
1996-Aug,-33.3,-33.1
1996-Sep,-29.7,-27.3
1996-Oct,-18.8,-24.3
1996-Nov,-24.3,-26.4
1996-Dec,-36.0,-32.2
1997-Jan,-36.5,-37.4
1997-Feb,-39.8,-37.0
1997-Mar,-34.8,-37.6
1997-Apr,-38.2,-35.7
1997-May,-34.1,-36.4
1997-Jun,-37.0,-33.0
1997-Jul,-28.0,-30.9
1997-Aug,-27.7,-24.0
1997-Sep,-16.3,-21.9
1997-Oct,-21.6,-19.1
1997-Nov,-19.5,-24.0
1997-Dec,-31.0,-25.6
1998-Jan,-26.2,-29.0
1998-Feb,-29.8,-26.7
1998-Mar,-23.9,-27.1
1998-Apr,-27.7,-26.1
1998-May,-26.6,-28.9
1998-Jun,-32.3,-28.0
1998-Jul,-25.1,-27.6
1998-Aug,-25.5,-23.2
1998-Sep,-19.0,-20.4
1998-Oct,-16.7,-18.3
1998-Nov,-19.3,-19.4
1998-Dec,-22.1,-22.0
1999-Jan,-24.6,-23.7
1999-Feb,-24.4,-26.1
1999-Mar,-29.3,-27.4
1999-Apr,-28.5,-30.2
1999-May,-32.9,-30.8
1999-Jun,-31.2,-31.3
1999-Jul,-29.9,-27.8
1999-Aug,-22.4,-24.9
1999-Sep,-22.6,-18.4
1999-Oct,-10.3,-18.3
1999-Nov,-21.9,-15.7
1999-Dec,-14.8,-20.5
2000-Jan,-24.8,-20.0
2000-Feb,-20.5,-23.5
2000-Mar,-25.3,-23.1
2000-Apr,-23.5,-26.6
2000-May,-30.9,-26.5
2000-Jun,-25.0,-28.5
2000-Jul,-29.7,-24.5
2000-Aug,-18.9,-22.0
2000-Sep,-17.5,-14.8
2000-Oct,-8.1,-13.8
2000-Nov,-15.7,-13.9
2000-Dec,-17.8,-18.0
2001-Jan,-20.3,-19.7
2001-Feb,-21.0,-20.3
2001-Mar,-19.6,-20.3
2001-Apr,-20.5,-20.9
2001-May,-22.6,-22.0
2001-Jun,-22.9,-20.8
2001-Jul,-17.1,-19.2
2001-Aug,-17.6,-13.5
2001-Sep,-5.7,-11.3
2001-Oct,-10.5,-7.8
2001-Nov,-7.2,-11.6
2001-Dec,-16.9,-13.0
2002-Jan,-14.8,-16.2
2002-Feb,-16.8,-16.4
2002-Mar,-17.7,-17.7
2002-Apr,-18.7,-18.1
2002-May,-17.8,-19.0
2002-Jun,-20.7,-17.6
2002-Jul,-14.2,-14.5
2002-Aug,-8.5,-10.1
2002-Sep,-7.7,-6.2
2002-Oct,-2.3,-5.8
2002-Nov,-7.5,-6.7
2002-Dec,-10.4,-10.2
2003-Jan,-12.7,-11.7
2003-Feb,-12.1,-12.7
2003-Mar,-13.3,-13.4
2003-Apr,-14.7,-14.4
2003-May,-15.2,-16.1
2003-Jun,-18.5,-16.4
2003-Jul,-15.4,-15.2
2003-Aug,-11.7,-10.0
2003-Sep,-2.8,-5.8
2003-Oct,-2.8,-3.7
2003-Nov,-5.3,-5.5
2003-Dec,-8.4,-7.2
2004-Jan,-8.1,-9.5
2004-Feb,-12.2,-10.3
2004-Mar,-10.6,-11.5
2004-Apr,-11.9,-12.3
2004-May,-14.4,-13.8
2004-Jun,-15.1,-13.5
2004-Jul,-11.2,-11.8
2004-Aug,-9.1,-7.2
2004-Sep,-1.5,-4.6
2004-Oct,-3.1,-3.1
2004-Nov,-4.6,-4.0
2004-Dec,-4.3,-6.0
2005-Jan,-9.0,-7.2
2005-Feb,-8.2,-8.2
2005-Mar,-7.3,-8.5
2005-Apr,-10.1,-9.2
2005-May,-10.2,-10.0
2005-Jun,-9.9,-9.6
