seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,nbumps,energy,maxenergy,class
a,a,N,15180,48,-72,-72,a,0,0,0,0
a,a,N,14720,33,-70,-79,a,1,2000,2000,0
a,a,N,8050,30,-81,-78,a,0,0,0,0
a,a,N,28820,171,-23,40,a,1,3000,3000,0
a,a,N,12640,57,-63,-52,a,0,0,0,0
a,a,W,63760,195,-73,-65,a,0,0,0,0
a,a,W,207930,614,-6,18,a,2,1000,700,0
a,a,N,48990,194,-27,-3,a,1,4000,4000,0
a,a,N,100190,303,54,52,a,0,0,0,0
a,a,W,247620,675,4,25,a,1,500,500,0
a,a,N,41950,135,-39,-36,a,1,5000,5000,0
a,a,N,53250,140,-19,-31,a,0,0,0,0
a,a,W,166180,448,-30,-19,a,1,400,400,0
a,a,N,64540,215,0,9,a,1,6000,6000,0
a,a,N,75670,207,18,4,a,1,600,600,0
a,b,W,225040,575,-3,5,a,2,7000,6000,0
a,b,N,31290,117,-52,-41,a,0,0,0,0
a,b,N,22890,81,-63,-58,a,0,0,0,0
a,b,N,13170,59,-77,-67,a,0,0,0,0
a,b,N,8900,38,-83,-77,a,0,0,0,0
a,a,N,13250,32,-71,-79,a,0,0,0,0
a,a,N,11710,70,-72,-47,a,1,4000,4000,0
a,a,N,10640,62,-68,-43,a,0,0,0,0
a,a,N,45630,155,49,52,a,0,0,0,0
a,a,W,424650,1069,1,7,a,2,6000,4000,0
a,a,N,38820,213,-82,-57,a,1,4000,4000,0
a,a,N,56960,200,-70,-58,a,0,0,0,0
a,a,W,212260,729,-50,-28,a,2,1400,1000,0
a,a,N,42950,172,-76,-61,a,1,6000,6000,0
a,a,W,172290,437,-57,-55,a,1,600,600,0
a,a,W,395110,1043,46,40,a,3,6000,2000,0
a,a,N,51320,239,11,23,a,1,6000,6000,0
a,a,W,144880,361,-46,-52,a,1,2000,2000,0
a,a,W,477750,1132,86,60,a,3,1500,600,0
a,a,N,71840,255,54,28,a,1,6000,6000,0
a,a,W,127360,351,-54,-53,a,1,700,700,1
a,a,W,514800,1369,95,94,a,7,15700,10000,0
a,a,N,69440,266,41,30,a,0,0,0,0
a,a,N,28460,117,-45,-45,a,0,0,0,0
a,a,N,23220,112,-53,-45,a,0,0,0,0
a,a,N,16630,81,-65,-59,a,0,0,0,0
a,a,N,8750,47,-80,-75,a,0,0,0,0
a,a,N,20150,64,-51,-62,a,1,5000,5000,0
a,a,N,15590,82,-59,-48,a,0,0,0,0
a,a,W,102720,265,-64,-66,a,2,2700,2000,0
a,a,W,250030,687,-8,-5,a,0,0,0,0
a,a,N,39510,204,12,40,a,1,5000,5000,0
a,b,N,64200,198,86,35,a,1,500,500,0
a,b,W,309010,983,15,38,b,2,1800,1000,0
a,b,N,59060,264,65,85,b,1,6000,6000,0
a,b,N,66510,215,93,50,b,1,300,300,0
a,b,W,248900,739,-9,0,b,1,400,400,0
a,b,N,51620,186,51,34,a,1,7000,7000,0
a,b,N,45150,140,24,-4,a,0,0,0,0
a,b,N,60460,191,56,29,a,0,0,0,0
a,a,N,18330,91,-57,-43,a,1,4000,4000,0
a,a,N,50580,134,15,-18,a,0,0,0,0
a,a,W,269070,767,-1,4,a,2,800,400,0
a,a,N,37360,171,-21,0,a,1,4000,4000,0
a,a,W,372770,975,37,32,a,3,1400,700,0
a,a,N,44180,203,-10,13,a,0,0,0,0
a,a,N,32070,138,-36,-23,a,0,0,0,0
a,a,N,31540,121,-32,-30,a,0,0,0,0
a,a,N,46380,133,6,-16,a,1,5000,5000,0
a,a,N,18160,78,-57,-48,a,0,0,0,0
a,a,N,147520,472,-2,-6,a,0,0,0,0
a,a,W,202640,588,-33,-41,a,2,4300,4000,0
a,a,W,259110,1409,-11,46,a,1,900,900,0
a,a,N,40210,193,-71,-59,a,1,5000,5000,0
a,a,N,59210,175,-54,-61,a,0,0,0,0
a,a,W,590510,1780,23,-6,a,1,800,800,0
a,a,N,75930,305,-38,-27,a,1,6000,6000,0
a,a,N,73030,240,25,7,a,0,0,0,0
a,a,W,317360,1068,-36,-44,a,0,0,0,0
a,a,W,227990,734,-52,-59,a,2,4300,4000,0
a,a,N,96080,433,60,92,a,0,0,0,0
a,a,W,210960,773,-44,-35,a,1,5000,5000,0
a,a,N,24900,159,-57,-29,a,0,0,0,0
a,a,W,302440,1250,-16,9,a,2,600,300,0
a,a,N,46160,250,-16,15,a,1,6000,6000,0
a,b,W,436650,1232,23,6,a,0,0,0,0
a,b,N,58230,279,8,27,a,0,0,0,0
a,b,N,36380,222,-32,-2,a,1,4000,4000,0
a,b,W,169370,644,-53,-45,a,0,0,0,0
a,b,N,96600,383,87,70,a,0,0,0,0
a,a,W,233810,839,-31,-24,a,0,0,0,0
a,a,W,149050,697,-54,-35,a,1,6000,6000,0
a,a,N,63550,325,15,35,a,0,0,0,0
a,a,W,194580,697,-35,-32,a,0,0,0,0
a,a,N,46020,267,-18,6,a,1,5000,5000,0
a,a,N,104390,331,91,29,a,0,0,0,0
a,a,W,285750,791,1,-19,a,0,0,0,0
a,a,N,26510,106,-55,-60,a,0,0,0,0
a,a,N,25580,120,-54,-53,a,1,6000,6000,0
a,a,W,298230,916,9,-2,a,0,0,0,0
a,a,N,39040,231,-26,-5,a,1,5000,5000,0
a,a,N,54990,182,1,-28,a,0,0,0,0
