TL,TM,TR,ML,MM,MR,BL,BM,BR,class
x,x,x,x,o,o,x,o,o,true
x,x,x,x,o,o,o,x,o,true
x,x,x,x,o,o,o,o,x,true
x,x,x,x,o,o,o,b,b,true
x,x,x,x,o,o,b,o,b,true
x,x,x,x,o,o,b,b,o,true
x,x,x,x,o,b,o,o,b,true
x,x,x,x,o,b,o,b,o,true
x,x,x,x,o,b,b,o,o,true
x,x,x,x,b,o,o,o,b,true
x,x,x,x,b,o,o,b,o,true
x,x,x,x,b,o,b,o,o,true
x,x,x,o,x,o,x,o,o,true
x,x,x,o,x,o,o,x,o,true
x,x,x,o,x,o,o,o,x,true
x,x,x,o,x,o,o,b,b,true
x,x,x,o,x,o,b,o,b,true
x,x,x,o,x,o,b,b,o,true
x,x,x,o,x,b,o,o,b,true
x,x,x,o,x,b,o,b,o,true
x,x,x,o,x,b,b,o,o,true
x,x,x,o,o,x,x,o,o,true
x,x,x,o,o,x,o,x,o,true
x,x,x,o,o,x,o,o,x,true
x,x,x,o,o,x,o,b,b,true
x,x,x,o,o,x,b,o,b,true
x,x,x,o,o,x,b,b,o,true
x,x,x,o,o,b,x,o,b,true
x,x,x,o,o,b,x,b,o,true
x,x,x,o,o,b,o,x,b,true
x,x,x,o,o,b,o,b,x,true
x,x,x,o,o,b,b,x,o,true
x,x,x,o,o,b,b,o,x,true
x,x,x,o,o,b,b,b,b,true
x,x,x,o,b,x,o,o,b,true
x,x,x,o,b,x,o,b,o,true
x,x,x,o,b,x,b,o,o,true
x,x,x,o,b,o,x,o,b,true
x,x,x,o,b,o,x,b,o,true
x,x,x,o,b,o,o,x,b,true
x,x,x,o,b,o,o,b,x,true
x,x,x,o,b,o,b,x,o,true
x,x,x,o,b,o,b,o,x,true
x,x,x,o,b,o,b,b,b,true
x,x,x,o,b,b,x,o,o,true
x,x,x,o,b,b,o,x,o,true
x,x,x,o,b,b,o,o,x,true
x,x,x,o,b,b,o,b,b,true
x,x,x,o,b,b,b,o,b,true
x,x,x,o,b,b,b,b,o,true
x,x,x,b,x,o,o,o,b,true
x,x,x,b,x,o,o,b,o,true
x,x,x,b,x,o,b,o,o,true
x,x,x,b,o,x,o,o,b,true
x,x,x,b,o,x,o,b,o,true
x,x,x,b,o,x,b,o,o,true
x,x,x,b,o,o,x,o,b,true
x,x,x,b,o,o,x,b,o,true
x,x,x,b,o,o,o,x,b,true
x,x,x,b,o,o,o,b,x,true
x,x,x,b,o,o,b,x,o,true
x,x,x,b,o,o,b,o,x,true
x,x,x,b,o,o,b,b,b,true
x,x,x,b,o,b,x,o,o,true
x,x,x,b,o,b,o,x,o,true
x,x,x,b,o,b,o,o,x,true
x,x,x,b,o,b,o,b,b,true
x,x,x,b,o,b,b,o,b,true
x,x,x,b,o,b,b,b,o,true
