Domain,Type,Sponsoring Organization
.aaa,generic,"American Automobile Association, Inc."
.aarp,generic,AARP
.abarth,generic,Not assigned
.abb,generic,ABB Ltd
.abbott,generic,"Abbott Laboratories, Inc."
.abbvie,generic,AbbVie Inc.
.abc,generic,"Disney Enterprises, Inc."
.able,generic,Able Inc.
.abogado,generic,"Registry Services, LLC"
.abudhabi,generic,Abu Dhabi Systems and Information Centre
.ac,country-code,Internet Computer Bureau Limited
.academy,generic,"Binky Moon, LLC"
.accenture,generic,Accenture plc
.accountant,generic,dot Accountant Limited
.accountants,generic,"Binky Moon, LLC"
.aco,generic,ACO Severin Ahlmann GmbH & Co. KG
.active,generic,Not assigned
.actor,generic,"Dog Beach, LLC"
.ad,country-code,Andorra Telecom
.adac,generic,Not assigned
.ads,generic,Charleston Road Registry Inc.
.adult,generic,ICM Registry AD LLC
.ae,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA)
.aeg,generic,Aktiebolaget Electrolux
.aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
.aetna,generic,Aetna Life Insurance Company
.af,country-code,Ministry of Communications and IT
.afamilycompany,generic,Not assigned
.afl,generic,Australian Football League
.africa,generic,ZA Central Registry NPC trading as Registry.Africa
.ag,country-code,UHSA School of Medicine
.agakhan,generic,Fondation Aga Khan (Aga Khan Foundation)
.agency,generic,"Binky Moon, LLC"
.ai,country-code,Government of Anguilla
.aig,generic,"American International Group, Inc."
.aigo,generic,Not assigned
.airbus,generic,Airbus S.A.S.
.airforce,generic,"Dog Beach, LLC"
.airtel,generic,Bharti Airtel Limited
.akdn,generic,Fondation Aga Khan (Aga Khan Foundation)
.al,country-code,Electronic and Postal Communications Authority - AKEP
.alfaromeo,generic,Not assigned
.alibaba,generic,Alibaba Group Holding Limited
.alipay,generic,Alibaba Group Holding Limited
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft
.allstate,generic,Allstate Fire and Casualty Insurance Company
.ally,generic,Ally Financial Inc.
.alsace,generic,REGION GRAND EST
.alstom,generic,ALSTOM
.am,country-code,"""Internet Society"" Non-governmental Organization"
.amazon,generic,"Amazon Registry Services, Inc."
.americanexpress,generic,"American Express Travel Related Services Company, Inc."
.americanfamily,generic,"AmFam, Inc."
.amex,generic,"American Express Travel Related Services Company, Inc."
.amfam,generic,"AmFam, Inc."
.amica,generic,Amica Mutual Insurance Company
.amsterdam,generic,Gemeente Amsterdam
.an,country-code,Not assigned
.analytics,generic,Campus IP LLC
.android,generic,Charleston Road Registry Inc.
.anquan,generic,"Beijing Qihu Keji Co., Ltd."
.anz,generic,Australia and New Zealand Banking Group Limited
.ao,country-code,Ministry of Telecommunications and Information Technologies (MTTI)
.aol,generic,AOL Media LLC
.apartments,generic,"Binky Moon, LLC"
.app,generic,Charleston Road Registry Inc.
.apple,generic,Apple Inc.
.aq,country-code,Antarctica Network Information Centre Limited
.aquarelle,generic,Aquarelle.com
.ar,country-code,"Presidencia de la Nación , Secretaría Legal y Técnica"
.arab,generic,League of Arab States
.aramco,generic,Aramco Services Company
.archi,generic,Identity Digital Limited
.army,generic,"Dog Beach, LLC"
.arpa,infrastructure,Internet Architecture Board (IAB)
.art,generic,UK Creative Ideas Limited
.arte,generic,Association Relative à la Télévision Européenne G.E.I.E.
.as,country-code,AS Domain Registry
.asda,generic,Asda Stores Limited
.asia,sponsored,DotAsia Organisation Ltd.
.associates,generic,"Binky Moon, LLC"
.at,country-code,nic.at GmbH
