sic_code,sic_description,section,section_description,sic_version
1110,"Growing of cereals (except rice), leguminous crops and oil seeds",A,"Agriculture, Forestry and Fishing",SIC 2007
1120,Growing of rice,A,"Agriculture, Forestry and Fishing",SIC 2007
1130,"Growing of vegetables and melons, roots and tubers",A,"Agriculture, Forestry and Fishing",SIC 2007
1140,Growing of sugar cane,A,"Agriculture, Forestry and Fishing",SIC 2007
1150,Growing of tobacco,A,"Agriculture, Forestry and Fishing",SIC 2007
1160,Growing of fibre crops,A,"Agriculture, Forestry and Fishing",SIC 2007
1190,Growing of other non-perennial crops,A,"Agriculture, Forestry and Fishing",SIC 2007
1210,Growing of grapes,A,"Agriculture, Forestry and Fishing",SIC 2007
1220,Growing of tropical and subtropical fruits,A,"Agriculture, Forestry and Fishing",SIC 2007
1230,Growing of citrus fruits,A,"Agriculture, Forestry and Fishing",SIC 2007
1240,Growing of pome fruits and stone fruits,A,"Agriculture, Forestry and Fishing",SIC 2007
1250,Growing of other tree and bush fruits and nuts,A,"Agriculture, Forestry and Fishing",SIC 2007
1260,Growing of oleaginous fruits,A,"Agriculture, Forestry and Fishing",SIC 2007
1270,Growing of beverage crops,A,"Agriculture, Forestry and Fishing",SIC 2007
1280,"Growing of spices, aromatic, drug and pharmaceutical crops",A,"Agriculture, Forestry and Fishing",SIC 2007
1290,Growing of other perennial crops,A,"Agriculture, Forestry and Fishing",SIC 2007
1300,Plant propagation,A,"Agriculture, Forestry and Fishing",SIC 2007
1410,Raising of dairy cattle,A,"Agriculture, Forestry and Fishing",SIC 2007
1420,Raising of other cattle and buffaloes,A,"Agriculture, Forestry and Fishing",SIC 2007
1430,Raising of horses and other equines,A,"Agriculture, Forestry and Fishing",SIC 2007
1440,Raising of camels and camelids,A,"Agriculture, Forestry and Fishing",SIC 2007
1450,Raising of sheep and goats,A,"Agriculture, Forestry and Fishing",SIC 2007
1460,Raising of swine/pigs,A,"Agriculture, Forestry and Fishing",SIC 2007
1470,Raising of poultry,A,"Agriculture, Forestry and Fishing",SIC 2007
1490,Raising of other animals,A,"Agriculture, Forestry and Fishing",SIC 2007
1500,Mixed farming,A,"Agriculture, Forestry and Fishing",SIC 2007
1610,Support activities for crop production,A,"Agriculture, Forestry and Fishing",SIC 2007
1621,Farm animal boarding and care,A,"Agriculture, Forestry and Fishing",SIC 2007
1629,Support activities for animal production (other than farm animal boarding and care) n.e.c.,A,"Agriculture, Forestry and Fishing",SIC 2007
1630,Post-harvest crop activities,A,"Agriculture, Forestry and Fishing",SIC 2007
1640,Seed processing for propagation,A,"Agriculture, Forestry and Fishing",SIC 2007
1700,"Hunting, trapping and related service activities",A,"Agriculture, Forestry and Fishing",SIC 2007
2100,Silviculture and other forestry activities,A,"Agriculture, Forestry and Fishing",SIC 2007
2200,Logging,A,"Agriculture, Forestry and Fishing",SIC 2007
2300,Gathering of wild growing non-wood products,A,"Agriculture, Forestry and Fishing",SIC 2007
2400,Support services to forestry,A,"Agriculture, Forestry and Fishing",SIC 2007
3110,Marine fishing,A,"Agriculture, Forestry and Fishing",SIC 2007
3120,Freshwater fishing,A,"Agriculture, Forestry and Fishing",SIC 2007
3210,Marine aquaculture,A,"Agriculture, Forestry and Fishing",SIC 2007
3220,Freshwater aquaculture,A,"Agriculture, Forestry and Fishing",SIC 2007
5101,Deep coal mines,B,Mining and Quarrying,SIC 2007
5102,Open cast coal working,B,Mining and Quarrying,SIC 2007
5200,Mining of lignite,B,Mining and Quarrying,SIC 2007
6100,Extraction of crude petroleum,B,Mining and Quarrying,SIC 2007
6200,Extraction of natural gas,B,Mining and Quarrying,SIC 2007
7100,Mining of iron ores,B,Mining and Quarrying,SIC 2007
7210,Mining of uranium and thorium ores,B,Mining and Quarrying,SIC 2007
7290,Mining of other non-ferrous metal ores,B,Mining and Quarrying,SIC 2007
8110,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",B,Mining and Quarrying,SIC 2007
8120,Operation of gravel and sand pits; mining of clays and kaolin,B,Mining and Quarrying,SIC 2007
8910,Mining of chemical and fertilizer minerals,B,Mining and Quarrying,SIC 2007
8920,Extraction of peat,B,Mining and Quarrying,SIC 2007
8930,Extraction of salt,B,Mining and Quarrying,SIC 2007
8990,Other mining and quarrying n.e.c.,B,Mining and Quarrying,SIC 2007
