cycle,state,senate_class,start_date,end_date,DEM_poll,REP_poll,DEM_result,REP_result,error,absolute_error
2016,IA,3,2016-08-30,2016-08-31,43.0,49.0,35.66,60.09,-18.430000000000007,18.430000000000007
2016,PA,3,2016-08-30,2016-08-31,44.0,41.0,47.34,48.77,-4.43,4.43
2016,NH,3,2016-08-30,2016-08-31,47.0,44.0,47.98,47.84,-2.8600000000000065,2.8600000000000065
2016,CO,3,2016-08-29,2016-08-31,48.0,38.0,49.97,44.31,-4.340000000000003,4.340000000000003
2016,NY,3,2016-08-28,2016-08-30,60.0,23.0,70.6,27.17,6.429999999999993,6.429999999999993
2016,NC,3,2016-08-27,2016-08-29,41.3,45.2,45.37,51.06,-1.7899999999999991,1.7899999999999991
2016,AK,3,2016-08-27,2016-08-29,12.0,56.0,11.62,44.36,11.259999999999998,11.259999999999998
2016,WI,3,2016-08-27,2016-08-30,54.0,41.0,46.81,50.17,-16.36,16.36
2016,PA,3,2016-08-26,2016-08-27,46.0,40.0,47.34,48.77,-7.43,7.43
2016,OH,3,2016-08-26,2016-08-27,39.0,48.0,37.16,58.03,-11.870000000000005,11.870000000000005
2016,MO,3,2016-08-26,2016-08-27,43.0,47.0,46.39,49.18,1.2100000000000009,1.2100000000000009
2016,WI,3,2016-08-26,2016-08-27,49.0,42.0,46.81,50.17,-10.36,10.36
2016,NC,3,2016-08-26,2016-08-27,43.0,46.0,45.37,51.06,-2.690000000000005,2.690000000000005
2016,NH,3,2016-08-26,2016-08-28,47.0,45.0,47.98,47.84,-1.8600000000000065,1.8600000000000065
2016,AZ,3,2016-08-26,2016-08-28,43.0,43.0,40.75,53.71,-12.96,12.96
2016,PA,3,2016-08-26,2016-08-29,45.0,41.0,47.34,48.77,-5.43,5.43
2016,WI,3,2016-08-25,2016-08-25,55.0,37.0,46.81,50.17,-21.36,21.36
2016,WI,3,2016-08-25,2016-08-28,48.0,45.0,46.81,50.17,-6.359999999999999,6.359999999999999
2016,PA,3,2016-08-25,2016-08-29,43.0,38.0,47.34,48.77,-6.43,6.43
2016,PA,3,2016-08-25,2016-08-28,39.0,46.0,47.34,48.77,5.57,5.57
2016,OH,3,2016-08-25,2016-08-27,25.0,40.0,37.16,58.03,-5.8700000000000045,5.8700000000000045
2016,FL,3,2016-08-22,2016-08-24,43.0,46.0,44.31,51.98,-4.669999999999995,4.669999999999995
2016,PA,3,2016-08-21,2016-08-28,48.0,45.0,47.34,48.77,-4.43,4.43
