congress,start_date,chamber,state_abbrev,party_code,bioname,bioguide_id,birthday,cmltv_cong,cmltv_chamber,age_days,age_years,generation
82,1951-01-03,House,ND,200,"AANDAHL, Fred George",A000001,1897-04-09,1,1,19626,53.7330595482546,Lost
80,1947-01-03,House,VA,100,"ABBITT, Watkins Moorman",A000002,1908-05-21,1,1,14106,38.6201232032854,Greatest
81,1949-01-03,House,VA,100,"ABBITT, Watkins Moorman",A000002,1908-05-21,2,2,14837,40.621492128679,Greatest
82,1951-01-03,House,VA,100,"ABBITT, Watkins Moorman",A000002,1908-05-21,3,3,15567,42.6201232032854,Greatest
83,1953-01-03,House,VA,100,"ABBITT, Watkins Moorman",A000002,1908-05-21,4,4,16298,44.621492128679,Greatest
84,1955-01-03,House,VA,100,"ABBITT, Watkins Moorman",A000002,1908-05-21,5,5,17028,46.6201232032854,Greatest
85,1957-01-03,House,VA,100,"ABBITT, Watkins Moorman",A000002,1908-05-21,6,6,17759,48.621492128679,Greatest
86,1959-01-03,House,VA,100,"ABBITT, Watkins Moorman",A000002,1908-05-21,7,7,18489,50.6201232032854,Greatest
87,1961-01-03,House,VA,100,"ABBITT, Watkins Moorman",A000002,1908-05-21,8,8,19220,52.621492128679,Greatest
88,1963-01-03,House,VA,100,"ABBITT, Watkins Moorman",A000002,1908-05-21,9,9,19950,54.6201232032854,Greatest
89,1965-01-03,House,VA,100,"ABBITT, Watkins Moorman",A000002,1908-05-21,10,10,20681,56.621492128679,Greatest
90,1967-01-03,House,VA,100,"ABBITT, Watkins Moorman",A000002,1908-05-21,11,11,21411,58.6201232032854,Greatest
91,1969-01-03,House,VA,100,"ABBITT, Watkins Moorman",A000002,1908-05-21,12,12,22142,60.621492128679,Greatest
92,1971-01-03,House,VA,100,"ABBITT, Watkins Moorman",A000002,1908-05-21,13,13,22872,62.6201232032854,Greatest
93,1973-01-03,House,SD,200,"ABDNOR, James",A000009,1923-02-13,1,1,18222,49.8891170431211,Greatest
94,1975-01-03,House,SD,200,"ABDNOR, James",A000009,1923-02-13,2,2,18952,51.8877481177276,Greatest
95,1977-01-03,House,SD,200,"ABDNOR, James",A000009,1923-02-13,3,3,19683,53.8891170431211,Greatest
96,1979-01-03,House,SD,200,"ABDNOR, James",A000009,1923-02-13,4,4,20413,55.8877481177276,Greatest
97,1981-01-03,Senate,SD,200,"ABDNOR, James",A000009,1923-02-13,5,1,21144,57.8891170431211,Greatest
98,1983-01-03,Senate,SD,200,"ABDNOR, James",A000009,1923-02-13,6,2,21874,59.8877481177276,Greatest
99,1985-01-03,Senate,SD,200,"ABDNOR, James",A000009,1923-02-13,7,3,22605,61.8891170431211,Greatest
83,1953-01-03,Senate,NE,200,"ABEL, Hazel Hempel",A000010,1888-07-10,1,1,23552,64.4818617385352,Lost
88,1963-01-03,House,OH,200,"ABELE, Homer E.",A000011,1916-11-21,1,1,16844,46.1163586584531,Greatest
99,1985-01-03,House,HI,100,"ABERCROMBIE, Neil",A000014,1938-06-26,1,1,16993,46.5242984257358,Silent
102,1991-01-03,House,HI,100,"ABERCROMBIE, Neil",A000014,1938-06-26,2,2,19184,52.5229295003422,Silent
103,1993-01-03,House,HI,100,"ABERCROMBIE, Neil",A000014,1938-06-26,3,3,19915,54.5242984257358,Silent
104,1995-01-03,House,HI,100,"ABERCROMBIE, Neil",A000014,1938-06-26,4,4,20645,56.5229295003422,Silent
105,1997-01-03,House,HI,100,"ABERCROMBIE, Neil",A000014,1938-06-26,5,5,21376,58.5242984257358,Silent
106,1999-01-03,House,HI,100,"ABERCROMBIE, Neil",A000014,1938-06-26,6,6,22106,60.5229295003422,Silent
107,2001-01-03,House,HI,100,"ABERCROMBIE, Neil",A000014,1938-06-26,7,7,22837,62.5242984257358,Silent
108,2003-01-03,House,HI,100,"ABERCROMBIE, Neil",A000014,1938-06-26,8,8,23567,64.5229295003422,Silent
109,2005-01-03,House,HI,100,"ABERCROMBIE, Neil",A000014,1938-06-26,9,9,24298,66.5242984257358,Silent
110,2007-01-03,House,HI,100,"ABERCROMBIE, Neil",A000014,1938-06-26,10,10,25028,68.5229295003422,Silent
111,2009-01-03,House,HI,100,"ABERCROMBIE, Neil",A000014,1938-06-26,11,11,25759,70.5242984257358,Silent
67,1921-03-04,House,NC,100,"ABERNETHY, Charles Laban",A000015,1872-03-18,1,1,17882,48.9582477754962,Missionary
68,1923-03-04,House,NC,100,"ABERNETHY, Charles Laban",A000015,1872-03-18,2,2,18612,50.9568788501027,Missionary
69,1925-03-04,House,NC,100,"ABERNETHY, Charles Laban",A000015,1872-03-18,3,3,19343,52.9582477754962,Missionary
70,1927-03-04,House,NC,100,"ABERNETHY, Charles Laban",A000015,1872-03-18,4,4,20073,54.9568788501027,Missionary
71,1929-03-04,House,NC,100,"ABERNETHY, Charles Laban",A000015,1872-03-18,5,5,20804,56.9582477754962,Missionary
72,1931-03-04,House,NC,100,"ABERNETHY, Charles Laban",A000015,1872-03-18,6,6,21534,58.9568788501027,Missionary
73,1933-03-04,House,NC,100,"ABERNETHY, Charles Laban",A000015,1872-03-18,7,7,22265,60.9582477754962,Missionary
78,1943-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,1,1,14477,39.6358658453114,Greatest
79,1945-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,2,2,15208,41.637234770705,Greatest
80,1947-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,3,3,15938,43.6358658453114,Greatest
81,1949-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,4,4,16669,45.637234770705,Greatest
82,1951-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,5,5,17399,47.6358658453114,Greatest
83,1953-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,6,6,18130,49.637234770705,Greatest
84,1955-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,7,7,18860,51.6358658453114,Greatest
85,1957-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,8,8,19591,53.637234770705,Greatest
86,1959-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,9,9,20321,55.6358658453114,Greatest
87,1961-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,10,10,21052,57.637234770705,Greatest
88,1963-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,11,11,21782,59.6358658453114,Greatest
89,1965-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,12,12,22513,61.637234770705,Greatest
90,1967-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,13,13,23243,63.6358658453114,Greatest
91,1969-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,14,14,23974,65.637234770705,Greatest
92,1971-01-03,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,1903-05-16,15,15,24704,67.6358658453114,Greatest
92,1971-01-03,House,SD,100,"ABOUREZK, James George",A000017,1931-02-24,1,1,14558,39.8576317590691,Silent
93,1973-01-03,Senate,SD,100,"ABOUREZK, James George",A000017,1931-02-24,2,1,15289,41.8590006844627,Silent
94,1975-01-03,Senate,SD,100,"ABOUREZK, James George",A000017,1931-02-24,3,2,16019,43.8576317590691,Silent
95,1977-01-03,Senate,SD,100,"ABOUREZK, James George",A000017,1931-02-24,4,3,16750,45.8590006844627,Silent
92,1971-01-03,House,NY,100,"ABZUG, Bella Savitzky",A000018,1920-07-24,1,1,18425,50.444900752909,Greatest
93,1973-01-03,House,NY,100,"ABZUG, Bella Savitzky",A000018,1920-07-24,2,2,19156,52.4462696783025,Greatest
94,1975-01-03,House,NY,100,"ABZUG, Bella Savitzky",A000018,1920-07-24,3,3,19886,54.444900752909,Greatest
66,1919-03-04,House,NJ,200,"ACKERMAN, Ernest Robinson",A000021,1863-06-17,1,1,20348,55.709787816564,Missionary
67,1921-03-04,House,NJ,200,"ACKERMAN, Ernest Robinson",A000021,1863-06-17,2,2,21079,57.7111567419576,Missionary
68,1923-03-04,House,NJ,200,"ACKERMAN, Ernest Robinson",A000021,1863-06-17,3,3,21809,59.709787816564,Missionary
69,1925-03-04,House,NJ,200,"ACKERMAN, Ernest Robinson",A000021,1863-06-17,4,4,22540,61.7111567419576,Missionary
70,1927-03-04,House,NJ,200,"ACKERMAN, Ernest Robinson",A000021,1863-06-17,5,5,23270,63.709787816564,Missionary
71,1929-03-04,House,NJ,200,"ACKERMAN, Ernest Robinson",A000021,1863-06-17,6,6,24001,65.7111567419576,Missionary
72,1931-03-04,House,NJ,200,"ACKERMAN, Ernest Robinson",A000021,1863-06-17,7,7,24731,67.709787816564,Missionary
98,1983-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,1,1,14655,40.1232032854209,Silent
99,1985-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,2,2,15386,42.1245722108145,Silent
100,1987-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,3,3,16116,44.1232032854209,Silent
101,1989-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,4,4,16847,46.1245722108145,Silent
102,1991-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,5,5,17577,48.1232032854209,Silent
103,1993-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,6,6,18308,50.1245722108145,Silent
104,1995-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,7,7,19038,52.1232032854209,Silent
105,1997-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,8,8,19769,54.1245722108145,Silent
106,1999-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,9,9,20499,56.1232032854209,Silent
107,2001-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,10,10,21230,58.1245722108145,Silent
108,2003-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,11,11,21960,60.1232032854209,Silent
109,2005-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,12,12,22691,62.1245722108145,Silent
110,2007-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,13,13,23421,64.1232032854209,Silent
111,2009-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,14,14,24152,66.1245722108145,Silent
112,2011-01-03,House,NY,100,"ACKERMAN, Gary Leonard",A000022,1942-11-19,15,15,24882,68.1232032854209,Silent
82,1951-01-03,House,IN,200,"ADAIR, Edwin Ross",A000024,1907-12-14,1,1,15726,43.0554414784394,Greatest
83,1953-01-03,House,IN,200,"ADAIR, Edwin Ross",A000024,1907-12-14,2,2,16457,45.056810403833,Greatest
84,1955-01-03,House,IN,200,"ADAIR, Edwin Ross",A000024,1907-12-14,3,3,17187,47.0554414784394,Greatest
85,1957-01-03,House,IN,200,"ADAIR, Edwin Ross",A000024,1907-12-14,4,4,17918,49.056810403833,Greatest
86,1959-01-03,House,IN,200,"ADAIR, Edwin Ross",A000024,1907-12-14,5,5,18648,51.0554414784394,Greatest
87,1961-01-03,House,IN,200,"ADAIR, Edwin Ross",A000024,1907-12-14,6,6,19379,53.056810403833,Greatest
88,1963-01-03,House,IN,200,"ADAIR, Edwin Ross",A000024,1907-12-14,7,7,20109,55.0554414784394,Greatest
89,1965-01-03,House,IN,200,"ADAIR, Edwin Ross",A000024,1907-12-14,8,8,20840,57.056810403833,Greatest
90,1967-01-03,House,IN,200,"ADAIR, Edwin Ross",A000024,1907-12-14,9,9,21570,59.0554414784394,Greatest
91,1969-01-03,House,IN,200,"ADAIR, Edwin Ross",A000024,1907-12-14,10,10,22301,61.056810403833,Greatest
73,1933-03-04,House,IL,100,"ADAIR, Jackson Leroy",A000025,1887-02-23,1,1,16810,46.0232717316906,Lost
74,1935-01-03,House,IL,100,"ADAIR, Jackson Leroy",A000025,1887-02-23,2,2,17480,47.8576317590691,Lost
68,1923-03-04,Senate,CO,100,"ADAMS, Alva Blanchard",A000028,1875-10-29,1,1,17292,47.3429158110883,Missionary
73,1933-03-04,Senate,CO,100,"ADAMS, Alva Blanchard",A000028,1875-10-29,2,2,20945,57.3442847364819,Missionary
74,1935-01-03,Senate,CO,100,"ADAMS, Alva Blanchard",A000028,1875-10-29,3,3,21615,59.1786447638604,Missionary
75,1937-01-03,Senate,CO,100,"ADAMS, Alva Blanchard",A000028,1875-10-29,4,4,22346,61.1800136892539,Missionary
76,1939-01-03,Senate,CO,100,"ADAMS, Alva Blanchard",A000028,1875-10-29,5,5,23076,63.1786447638604,Missionary
77,1941-01-03,Senate,CO,100,"ADAMS, Alva Blanchard",A000028,1875-10-29,6,6,23807,65.1800136892539,Missionary
89,1965-01-03,House,WA,100,"ADAMS, Brockman (Brock)",A000031,1927-01-13,1,1,13870,37.9739904175222,Greatest
90,1967-01-03,House,WA,100,"ADAMS, Brockman (Brock)",A000031,1927-01-13,2,2,14600,39.9726214921287,Greatest
91,1969-01-03,House,WA,100,"ADAMS, Brockman (Brock)",A000031,1927-01-13,3,3,15331,41.9739904175222,Greatest
92,1971-01-03,House,WA,100,"ADAMS, Brockman (Brock)",A000031,1927-01-13,4,4,16061,43.9726214921287,Greatest
93,1973-01-03,House,WA,100,"ADAMS, Brockman (Brock)",A000031,1927-01-13,5,5,16792,45.9739904175222,Greatest
94,1975-01-03,House,WA,100,"ADAMS, Brockman (Brock)",A000031,1927-01-13,6,6,17522,47.9726214921287,Greatest
95,1977-01-03,House,WA,100,"ADAMS, Brockman (Brock)",A000031,1927-01-13,7,7,18253,49.9739904175222,Greatest
100,1987-01-03,Senate,WA,100,"ADAMS, Brockman (Brock)",A000031,1927-01-13,8,1,21905,59.9726214921287,Greatest
101,1989-01-03,Senate,WA,100,"ADAMS, Brockman (Brock)",A000031,1927-01-13,9,2,22636,61.9739904175222,Greatest
102,1991-01-03,Senate,WA,100,"ADAMS, Brockman (Brock)",A000031,1927-01-13,10,3,23366,63.9726214921287,Greatest
79,1945-01-03,House,NH,200,"ADAMS, Sherman",A000046,1899-01-08,1,1,16796,45.9849418206708,Lost
73,1933-03-04,House,DE,100,"ADAMS, Wilbur Louis",A000050,1884-10-23,1,1,17663,48.3586584531143,Lost
87,1961-01-03,House,NY,100,"ADDABBO, Joseph Patrick",A000052,1925-03-17,1,1,13076,35.8001368925394,Greatest
88,1963-01-03,House,NY,100,"ADDABBO, Joseph Patrick",A000052,1925-03-17,2,2,13806,37.7987679671458,Greatest
89,1965-01-03,House,NY,100,"ADDABBO, Joseph Patrick",A000052,1925-03-17,3,3,14537,39.8001368925394,Greatest
90,1967-01-03,House,NY,100,"ADDABBO, Joseph Patrick",A000052,1925-03-17,4,4,15267,41.7987679671458,Greatest
91,1969-01-03,House,NY,100,"ADDABBO, Joseph Patrick",A000052,1925-03-17,5,5,15998,43.8001368925394,Greatest
92,1971-01-03,House,NY,100,"ADDABBO, Joseph Patrick",A000052,1925-03-17,6,6,16728,45.7987679671458,Greatest
93,1973-01-03,House,NY,100,"ADDABBO, Joseph Patrick",A000052,1925-03-17,7,7,17459,47.8001368925394,Greatest
94,1975-01-03,House,NY,100,"ADDABBO, Joseph Patrick",A000052,1925-03-17,8,8,18189,49.7987679671458,Greatest
95,1977-01-03,House,NY,100,"ADDABBO, Joseph Patrick",A000052,1925-03-17,9,9,18920,51.8001368925394,Greatest
96,1979-01-03,House,NY,100,"ADDABBO, Joseph Patrick",A000052,1925-03-17,10,10,19650,53.7987679671458,Greatest
97,1981-01-03,House,NY,100,"ADDABBO, Joseph Patrick",A000052,1925-03-17,11,11,20381,55.8001368925394,Greatest
98,1983-01-03,House,NY,100,"ADDABBO, Joseph Patrick",A000052,1925-03-17,12,12,21111,57.7987679671458,Greatest
99,1985-01-03,House,NY,100,"ADDABBO, Joseph Patrick",A000052,1925-03-17,13,13,21842,59.8001368925394,Greatest
81,1949-01-03,House,NJ,100,"ADDONIZIO, Hugh Joseph",A000054,1914-01-31,1,1,12756,34.9240246406571,Greatest
82,1951-01-03,House,NJ,100,"ADDONIZIO, Hugh Joseph",A000054,1914-01-31,2,2,13486,36.9226557152635,Greatest
83,1953-01-03,House,NJ,100,"ADDONIZIO, Hugh Joseph",A000054,1914-01-31,3,3,14217,38.9240246406571,Greatest
84,1955-01-03,House,NJ,100,"ADDONIZIO, Hugh Joseph",A000054,1914-01-31,4,4,14947,40.9226557152635,Greatest
85,1957-01-03,House,NJ,100,"ADDONIZIO, Hugh Joseph",A000054,1914-01-31,5,5,15678,42.9240246406571,Greatest
86,1959-01-03,House,NJ,100,"ADDONIZIO, Hugh Joseph",A000054,1914-01-31,6,6,16408,44.9226557152635,Greatest
87,1961-01-03,House,NJ,100,"ADDONIZIO, Hugh Joseph",A000054,1914-01-31,7,7,17139,46.9240246406571,Greatest
105,1997-01-03,House,AL,200,"ADERHOLT, Robert",A000055,1965-07-22,1,1,11488,31.4524298425736,Gen X
106,1999-01-03,House,AL,200,"ADERHOLT, Robert",A000055,1965-07-22,2,2,12218,33.45106091718,Gen X
107,2001-01-03,House,AL,200,"ADERHOLT, Robert",A000055,1965-07-22,3,3,12949,35.4524298425736,Gen X
108,2003-01-03,House,AL,200,"ADERHOLT, Robert",A000055,1965-07-22,4,4,13679,37.45106091718,Gen X
109,2005-01-03,House,AL,200,"ADERHOLT, Robert",A000055,1965-07-22,5,5,14410,39.4524298425736,Gen X
110,2007-01-03,House,AL,200,"ADERHOLT, Robert",A000055,1965-07-22,6,6,15140,41.45106091718,Gen X
111,2009-01-03,House,AL,200,"ADERHOLT, Robert",A000055,1965-07-22,7,7,15871,43.4524298425736,Gen X
112,2011-01-03,House,AL,200,"ADERHOLT, Robert",A000055,1965-07-22,8,8,16601,45.45106091718,Gen X
113,2013-01-03,House,AL,200,"ADERHOLT, Robert",A000055,1965-07-22,9,9,17332,47.4524298425736,Gen X
114,2015-01-03,House,AL,200,"ADERHOLT, Robert",A000055,1965-07-22,10,10,18062,49.45106091718,Gen X
115,2017-01-03,House,AL,200,"ADERHOLT, Robert",A000055,1965-07-22,11,11,18793,51.4524298425736,Gen X
116,2019-01-03,House,AL,200,"ADERHOLT, Robert",A000055,1965-07-22,12,12,19523,53.45106091718,Gen X
117,2021-01-03,House,AL,200,"ADERHOLT, Robert",A000055,1965-07-22,13,13,20254,55.4524298425736,Gen X
118,2023-01-03,House,AL,200,"ADERHOLT, Robert",A000055,1965-07-22,14,14,20984,57.45106091718,Gen X
69,1925-03-04,House,IL,200,"ADKINS, Charles",A000057,1863-02-07,1,1,22670,62.0670773442847,Missionary
