subgroup,modeldate,dem_estimate,dem_hi,dem_lo,rep_estimate,rep_hi,rep_lo,timestamp
All polls,11/9/1995,50,56.30568,43.69432,44,50.30568,37.69432,11:37:15  3 Sep 2020
All polls,11/10/1995,50,56.30568,43.69432,44,50.30568,37.69432,11:37:14  3 Sep 2020
All polls,11/11/1995,50,56.30568,43.69432,44,50.30568,37.69432,11:37:14  3 Sep 2020
All polls,11/12/1995,50,56.30568,43.69432,44,50.30568,37.69432,11:37:14  3 Sep 2020
All polls,11/13/1995,50,56.30568,43.69432,44,50.30568,37.69432,11:37:14  3 Sep 2020
All polls,11/14/1995,50,56.30568,43.69432,44,50.30568,37.69432,11:37:14  3 Sep 2020
All polls,11/15/1995,49.49995,55.37096,43.62895,44,49.871,38.129,11:37:14  3 Sep 2020
All polls,11/16/1995,49.49995,55.37122,43.62868,44,49.87127,38.12873,11:37:14  3 Sep 2020
All polls,11/17/1995,49.49995,55.37136,43.62854,44,49.87141,38.12859,11:37:14  3 Sep 2020
All polls,11/18/1995,49.49995,55.37151,43.6284,44,49.87155,38.12845,11:37:14  3 Sep 2020
All polls,11/19/1995,49.65863,55.36221,43.95506,42.07977,47.78334,36.37619,11:37:14  3 Sep 2020
All polls,11/20/1995,47.11865,52.50246,41.73484,40.57055,45.95436,35.18674,11:37:14  3 Sep 2020
All polls,11/21/1995,47.11893,52.50295,41.73491,40.57048,45.9545,35.18646,11:37:13  3 Sep 2020
All polls,11/22/1995,47.11922,52.50352,41.73492,40.5703,45.9546,35.186,11:37:13  3 Sep 2020
All polls,11/23/1995,47.11948,52.50401,41.73495,40.57019,45.95472,35.18566,11:37:13  3 Sep 2020
All polls,11/24/1995,47.11976,52.50449,41.73504,40.57013,45.95486,35.18541,11:37:13  3 Sep 2020
All polls,11/25/1995,47.11999,52.5049,41.73508,40.56998,45.9549,35.18507,11:37:13  3 Sep 2020
All polls,11/26/1995,47.12025,52.5054,41.7351,40.56986,45.95501,35.18471,11:37:12  3 Sep 2020
All polls,11/27/1995,47.12055,52.50589,41.7352,40.56982,45.95516,35.18447,11:37:12  3 Sep 2020
All polls,11/28/1995,47.12075,52.50631,41.73518,40.56961,45.95518,35.18405,11:37:12  3 Sep 2020
All polls,11/29/1995,47.12109,52.50692,41.73527,40.56959,45.95541,35.18377,11:37:12  3 Sep 2020
All polls,11/30/1995,47.1214,52.50743,41.73537,40.56953,45.95557,35.1835,11:37:12  3 Sep 2020
All polls,12/1/1995,47.12161,52.50788,41.73535,40.56933,45.9556,35.18307,11:37:12  3 Sep 2020
All polls,12/2/1995,47.12189,52.5084,41.73539,40.56923,45.95573,35.18272,11:37:11  3 Sep 2020
All polls,12/3/1995,47.12222,52.50894,41.7355,40.56916,45.95589,35.18244,11:37:11  3 Sep 2020
All polls,12/4/1995,47.12242,52.50938,41.73546,40.56893,45.95589,35.18197,11:37:11  3 Sep 2020
All polls,12/5/1995,47.12272,52.50993,41.7355,40.56883,45.95605,35.18162,11:37:11  3 Sep 2020
All polls,12/6/1995,47.12289,52.51021,41.73558,40.56878,45.95609,35.18146,11:37:11  3 Sep 2020
All polls,12/7/1995,47.1232,52.51079,41.73562,40.56867,45.95626,35.18109,11:37:10  3 Sep 2020
All polls,12/8/1995,47.1235,52.51134,41.73567,40.56857,45.95641,35.18073,11:37:10  3 Sep 2020
All polls,12/9/1995,47.12381,52.51191,41.73571,40.56846,45.95656,35.18036,11:37:10  3 Sep 2020
All polls,12/10/1995,47.12415,52.51253,41.73576,40.56835,45.95673,35.17997,11:37:10  3 Sep 2020
All polls,12/11/1995,47.12433,52.51282,41.73584,40.56829,45.95679,35.1798,11:37:10  3 Sep 2020
All polls,12/12/1995,46.86538,52.35025,41.38051,40.34724,45.83211,34.86238,11:37:09  3 Sep 2020
All polls,12/13/1995,46.45296,51.62141,41.28451,38.88784,44.05629,33.71939,11:37:09  3 Sep 2020
All polls,12/14/1995,46.45182,51.6215,41.28215,38.88674,44.05641,33.71706,11:37:09  3 Sep 2020
All polls,12/15/1995,46.45098,51.62232,41.27964,38.88591,44.05725,33.71457,11:37:09  3 Sep 2020
All polls,12/16/1995,46.44978,51.62282,41.27673,38.88458,44.05762,33.71154,11:37:09  3 Sep 2020
All polls,12/17/1995,46.4485,51.62257,41.27443,38.88328,44.05735,33.70921,11:37:09  3 Sep 2020
All polls,12/18/1995,46.44771,51.62315,41.27228,38.88227,44.05771,33.70684,11:37:08  3 Sep 2020
All polls,12/19/1995,46.8319,51.96053,41.70327,39.51714,44.64577,34.3885,11:37:08  3 Sep 2020
