country,elo98,confederation,gdp06,popu06,gdp_source,popu_source
Afghanistan,993,AFC,1076.461378,25631282,World Bank,World Bank
Albania,1382,UEFA,7181.094192,2992547,World Bank,World Bank
Algeria,1486,CAF,11093.21748,34507214,World Bank,World Bank
Andorra,1067,UEFA,38800,81877,CIA (2005),World Bank
Angola,1498,CAF,4996.766535,17122409,World Bank,World Bank
Anguilla,612,CONCACAF,8800,13677,CIA (2004),CIA (2007)
Antigua and Barbuda,1149,CONCACAF,22039.72793,83467,World Bank,World Bank
Argentina,1872,CONMEBOL,15717,38988923,IMF,World Bank
Armenia,1394,UEFA,5524.415411,3002911,World Bank,World Bank
Aruba,1015,CONCACAF,21800,100830,CIA (2004),World Bank
Australia,1787,AFC,34325.01757,20697900,World Bank,World Bank
Austria,1686,UEFA,37649.52898,8268641,World Bank,World Bank
Azerbaijan,1290,UEFA,9829.633776,8484550,World Bank,World Bank
Bahamas,858,CONCACAF,23445.7251,335622,World Bank,World Bank
Bahrain,1328,AFC,39789.79887,950951,World Bank,World Bank
Bangladesh,1006,AFC,1870.520036,144868702,World Bank,World Bank
Barbados,1291,CONCACAF,14639.43364,274923,World Bank,World Bank
Belarus,1351,UEFA,11021.49345,9604000,World Bank,World Bank
Belgium,1784,UEFA,35169.03136,10547958,World Bank,World Bank
Belize,985,CONCACAF,7672.4079,278985,World Bank,World Bank
Benin,1207,CAF,1461.396834,8443671,World Bank,World Bank
Bermuda,1280,CONCACAF,53946.52141,64523,World Bank,World Bank
Bhutan,640,AFC,4374.569289,665568,World Bank,World Bank
Bolivia,1664,CONMEBOL,4327.855389,9517395,World Bank,World Bank
Bosnia and Herzegovina,1556,UEFA,7086.911934,3875157,World Bank,World Bank
Botswana,1027,CAF,11259.67881,1895944,World Bank,World Bank
Brazil,2065,CONMEBOL,11181.59224,188134315,World Bank,World Bank
British Virgin Islands,848,CONCACAF,38500,23522,CIA (2004),CIA (2007)
Brunei,775,AFC,70008.50107,374697,World Bank,World Bank
Bulgaria,1768,UEFA,11229.43461,7699020,World Bank,World Bank
