matchup,game_date,type_of_hit,exit_velocity,predicted_zone,camera_zone,used_zone
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,56.9,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,78.8,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,74.8,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,70.7,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,73.4,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,76,5,5,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Line,,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,72.1,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Line,95.9,5,5,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,74.4,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Batter hits self,69.9,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,76.2,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,72,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Line,84.9,5,5,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,73.2,3,,3
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,104.6,6,6,6
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,96.2,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,,5,,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,74.6,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Line,76.1,5,5,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,72,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,72.2,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,74,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,64.5,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,100.8,5,5,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,56,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,62.2,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,78.6,2,4,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,61.3,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,2,4,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,88.1,5,5,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,73.4,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Line,,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,74.6,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Batter hits self,,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,78.9,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,2,2,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,62.6,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,,5,,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,85.2,5,5,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,92.1,5,,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Pop Up,76.4,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,77.6,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,96.8,5,5,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Batter hits self,,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,84.7,4,4,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,66.7,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,5,,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,5,,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,94,7,7,7
Seattle Mariners VS Minnesota Twins,2019-05-18,Line,63.7,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Line,94.8,4,4,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,100.7,4,4,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Line,,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,3,,3
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,70.9,5,,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,3,3,3
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,5,,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,79.2,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,87.3,4,4,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,77.6,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,76.9,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,98.6,5,5,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Pop Up,81.7,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,76.3,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,79.3,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,,3,,3
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,,5,,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,81,5,,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,85.8,4,4,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,67.6,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,89.7,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,74.3,1,1,1
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,106.6,5,5,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,76.2,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,76.8,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,55.1,5,,5
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Fly,73.4,4,,4
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,78.8,2,,2
Seattle Mariners VS Minnesota Twins,2019-05-18,Ground,,3,3,3
Baltimore Orioles VS Minnesota Twins,2019-04-20,Line,110.6,4,4,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,95.2,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,105.3,6,6,6
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Pop Up,74.9,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,71,3,,3
Baltimore Orioles VS Minnesota Twins,2019-04-20,Line,64.5,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,98.4,4,4,4
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,,2,,2
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,65.8,3,,3
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,,5,,5
Baltimore Orioles VS Minnesota Twins,2019-04-20,Line,42,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Ground,61.2,1,1,1
Baltimore Orioles VS Minnesota Twins,2019-04-20,Fly,98.7,4,4,4
