name,year,team,league,goose_eggs,broken_eggs,mehs,league_average_gpct,ppf,replacement_gpct,gwar,key_retro
Dolf Luque,1921,CIN,NL,3,1,0,0.752062,94,0.717062,0.068511,luqud101
Mike Kircher,1921,SLN,NL,0,1,0,0.749262,96,0.7142619,-0.3714162,kircm101
Slim Sallee,1921,NY1,NL,13,6,2,0.746462,98,0.711462,-0.269244,salls101
Lou North,1921,SLN,NL,10,4,0,0.749262,96,0.7142619,0.0001731,nortl101
Dana Fillingim,1921,BSN,NL,4,1,1,0.749262,96,0.7142619,0.222919,filld101
Speed Martin,1921,CHN,NL,5,2,1,0.742262,101,0.707262,0.0255665,marts102
Lynn Brenton,1921,CIN,NL,2,1,0,0.752062,94,0.717062,-0.0786167,brenl101
Pete Alexander,1921,CHN,NL,1,0,0,0.742262,101,0.707262,0.1522238,alexg102
Fritz Coumbe,1921,CIN,NL,1,1,0,0.752062,94,0.717062,-0.2257445,coumf101
Red Causey,1921,NY1,NL,0,1,0,0.746462,98,0.711462,-0.3699602,causr101
Mule Watson,1921,BSN,NL,0,0,1,0.749262,96,0.7142619,,watsm103
Red Shea,1921,NY1,NL,5,0,1,0.746462,98,0.711462,0.7501989,shear102
Tink Riviere,1921,SLN,NL,0,1,0,0.749262,96,0.7142619,-0.3714162,rivit101
George Mohart,1921,BRO,NL,0,0,0,0.738062,104,0.703062,,mohag101
Stan Baumgartner,1921,PHI,NL,2,0,1,0.728262,111,0.693262,0.3190075,baums101
Ferdie Schupp,1921,BRO,NL,4,1,1,0.738062,104,0.703062,0.2520388,schuf102
Jack Scott,1921,BSN,NL,7,1,0,0.749262,96,0.7142619,0.6686703,scotj101
Al Mamaux,1921,BRO,NL,13,2,1,0.738062,104,0.703062,1.276116,mamaa101
Rube Marquard,1921,CIN,NL,1,0,0,0.752062,94,0.717062,0.1471278,marqr102
Rip Wheeler,1921,PIT,NL,0,0,0,0.742262,101,0.707262,,wheer101
Lyle Bigbee,1921,PIT,NL,0,0,0,0.742262,101,0.707262,,bigbl101
Vic Keen,1921,CHN,NL,0,0,0,0.742262,101,0.707262,,keenv101
Garland Braxton,1921,BSN,NL,0,0,1,0.749262,96,0.7142619,,braxg101
Ferdie Schupp,1921,SLN,NL,1,0,0,0.749262,96,0.7142619,0.1485838,schuf102
Lee Meadows,1921,PHI,NL,0,1,0,0.728262,111,0.693262,-0.3604962,meadl101
Roy Walker,1921,SLN,NL,1,0,0,0.749262,96,0.7142619,0.1485838,walkr102
Phil Morrison,1921,PIT,NL,0,0,0,0.742262,101,0.707262,,morrp101
Eppa Rixey,1921,CIN,NL,5,1,2,0.752062,94,0.717062,0.3627665,rixee101
Pete Donohue,1921,CIN,NL,4,3,0,0.752062,94,0.717062,-0.5301056,donop102
Johnny Cooney,1921,BSN,NL,0,0,0,0.749262,96,0.7142619,,coonj101
Huck Betts,1921,PHI,NL,9,3,2,0.728262,111,0.693262,0.3540452,betth101
Bob Geary,1921,CIN,NL,0,1,0,0.752062,94,0.717062,-0.3728722,gearb101
Buddy Napier,1921,CIN,NL,0,0,1,0.752062,94,0.717062,,napib101
Al Pierotti,1921,BSN,NL,0,0,0,0.749262,96,0.7142619,,piera101
Ira Townsend,1921,BSN,NL,0,0,0,0.749262,96,0.7142619,,towni101
Elmer Ponder,1921,PIT,NL,3,0,1,0.742262,101,0.707262,0.4566713,ponde101
Fred Toney,1921,NY1,NL,6,1,3,0.746462,98,0.711462,0.5302785,tonef101
Jimmy Ring,1921,PHI,NL,0,0,1,0.728262,111,0.693262,,ringj101
Jeff Pfeffer,1921,BRO,NL,1,1,0,0.738062,104,0.703062,-0.2111845,pfefj101
Virgil Cheeves,1921,CHN,NL,7,0,0,0.742262,101,0.707262,1.065566,cheev101
Leon Cadore,1921,BRO,NL,10,3,1,0.738062,104,0.703062,0.447301,cadol101
Walter Zink,1921,NY1,NL,0,0,0,0.746462,98,0.711462,,zinkw101
Rosy Ryan,1921,NY1,NL,8,4,0,0.746462,98,0.711462,-0.2795225,ryanr101
Hal Carlson,1921,PIT,NL,6,5,0,0.742262,101,0.707262,-0.9255384,carlh101
Elmer Ponder,1921,CHN,NL,0,1,0,0.742262,101,0.707262,-0.3677762,ponde101
Earl Hamilton,1921,PIT,NL,6,1,2,0.742262,101,0.707262,0.5455664,hamie101
Hippo Vaughn,1921,CHN,NL,0,0,0,0.742262,101,0.707262,,vaugh101
Babe Adams,1921,PIT,NL,12,0,0,0.742262,101,0.707262,1.826685,adamb104
Jimmy Zinn,1921,PIT,NL,10,3,2,0.742262,101,0.707262,0.4189091,zinnj101
Drew Rader,1921,PIT,NL,0,0,0,0.742262,101,0.707262,,raded102
Sherry Smith,1921,BRO,NL,14,5,0,0.738062,104,0.703062,0.3337474,smits102
Jeff Pfeffer,1921,SLN,NL,0,0,0,0.749262,96,0.7142619,,pfefj101
Duke Sedgwick,1921,PHI,NL,0,0,0,0.728262,111,0.693262,,sedgd101
George Smith,1921,PHI,NL,3,1,0,0.728262,111,0.693262,0.1180151,smitg104
Dutch Ruether,1921,BRO,NL,1,0,2,0.738062,104,0.703062,0.1544078,ruetd101
Joe Oeschger,1921,BSN,NL,3,3,0,0.749262,96,0.7142619,-0.6684973,oescj101
Oscar Fuhr,1921,CHN,NL,0,0,0,0.742262,101,0.707262,,fuhro102
Art Nehf,1921,NY1,NL,2,2,0,0.746462,98,0.711462,-0.4398409,nehfa101
Johnny Morrison,1921,PIT,NL,0,0,0,0.742262,101,0.707262,,morrj105
Bill Pertica,1921,SLN,NL,0,0,0,0.749262,96,0.7142619,,pertb101
Kaiser Wilhelm,1921,PHI,NL,0,0,0,0.728262,111,0.693262,,wilhk101
Rube Benton,1921,NY1,NL,6,3,0,0.746462,98,0.711462,-0.2096419,bentr102
Buck Freeman,1921,CHN,NL,5,0,0,0.742262,101,0.707262,0.7611188,freeb101
Johnny Miljus,1921,BRO,NL,4,1,1,0.738062,104,0.703062,0.2520388,miljj101
Lefty Tyler,1921,CHN,NL,3,0,0,0.742262,101,0.707262,0.4566713,tylel101
Bill Sherdel,1921,SLN,NL,6,2,0,0.749262,96,0.7142619,0.1486703,sherb101
Pol Perritt,1921,NY1,NL,0,0,0,0.746462,98,0.711462,,perrp101
Jesse Haines,1921,SLN,NL,3,0,0,0.749262,96,0.7142619,0.4457514,hainj101
Hod Eller,1921,CIN,NL,1,1,0,0.752062,94,0.717062,-0.2257445,elleh101
Jimmie Keenan,1921,PHI,NL,1,0,1,0.728262,111,0.693262,0.1595038,keenj103
Cliff Markle,1921,CIN,NL,3,4,0,0.752062,94,0.717062,-1.050106,markc101
Bill Hubbell,1921,PHI,NL,1,0,0,0.728262,111,0.693262,0.1595038,hubbb101
Percy Jones,1921,CHN,NL,4,6,0,0.742262,101,0.707262,-1.597762,jonep101
Jesse Barnes,1921,NY1,NL,6,1,2,0.746462,98,0.711462,0.5302785,barnj102
Clarence Mitchell,1921,BRO,NL,2,0,1,0.738062,104,0.703062,0.3088155,mitcc102
Bill Bailey,1921,SLN,NL,0,0,1,0.749262,96,0.7142619,,bailb101
Jesse Winters,1921,PHI,NL,0,0,0,0.728262,111,0.693262,,wintj101
Sweetbreads Bailey,1921,CHN,NL,0,0,1,0.742262,101,0.707262,,bails101
Eddie Eayrs,1921,BSN,NL,0,0,0,0.749262,96,0.7142619,,eayre101
Marv Goodwin,1921,SLN,NL,0,0,0,0.749262,96,0.7142619,,goodm102
Clint Rogge,1921,CIN,NL,1,1,0,0.752062,94,0.717062,-0.2257445,roggc101
Bill Doak,1921,SLN,NL,0,0,0,0.749262,96,0.7142619,,doakb101
Lefty York,1921,CHN,NL,5,1,3,0.742262,101,0.707262,0.3933426,yorkl101
Chief Yellow Horse,1921,PIT,NL,8,3,0,0.742262,101,0.707262,0.1144616,yellc101
Hugh McQuillan,1921,BSN,NL,8,1,1,0.749262,96,0.7142619,0.8172541,mcquh101
George Stueland,1921,CHN,NL,0,0,0,0.742262,101,0.707262,,stueg101
Bill Hughes,1921,PIT,NL,0,0,0,0.742262,101,0.707262,,hughb102
