Candidate name,Date,City,State,Primary Purpose,Host organization,Notes
Donald Trump,1/19/2023,Palm Beach,Florida,Speech,,
Donald Trump,1/28/2023,Columbia,South Carolina,Rally,,
Donald Trump,1/28/2023,Salem,New Hampshire,Speech,New Hampshire Republican Party,
Nikki Haley,2/15/2023,Charleston,South Carolina,Rally,,
Nikki Haley,2/16/2023,Exeter,New Hampshire,Town Hall,,
Nikki Haley,2/18/2023,Manchester,New Hampshire,Speech,New Hampshire Federation of Republican Women,
Donald Trump,2/20/2023,West Palm Beach,Florida,Rally,,
Nikki Haley,2/20/2023,Urbandale,Iowa,Town Hall,,
Nikki Haley,2/21/2023,Marion,Iowa,Speech,,
Donald Trump,2/22/2023,East Palestine,Ohio,Speech,East Palestine Fire Department,
Vivek Ramaswamy,2/22/2023,Manchester,New Hampshire,Town Hall,,
Donald Trump,2/23/2023,Palm Beach,Florida,Fundraiser,,
Vivek Ramaswamy,2/23/2023,Ankeny,Iowa,Meet and Greet,Accumold,focused on business owners
Vivek Ramaswamy,2/23/2023,Bettendorf,Iowa,Speech,Scott County Republican Women,
Vivek Ramaswamy,2/23/2023,Des Moines,Iowa,Speech,Iowa General Assembly,
Vivek Ramaswamy,2/23/2023,Urbandale,Iowa,Town Hall,,
Nikki Haley,2/24/2023,Austin,Texas,Fundraiser,,
Nikki Haley,2/28/2023,New York,New York,Fundraiser,Wall Street executives,
Nikki Haley,3/3/2023,Washington,District of Columbia,Speech,CPAC,
Vivek Ramaswamy,3/3/2023,Austin,Texas,Speech,Texas Public Policy Foundation Summit,
Vivek Ramaswamy,3/3/2023,Washington,District of Columbia,Speech,CPAC,
Donald Trump,3/4/2023,Washington,District of Columbia,Speech,CPAC,
Nikki Haley,3/4/2023,Palm Beach,Florida,Speech,Club for Growth,
Nikki Haley,3/8/2023,Council Bluffs,Iowa,Town Hall,,
Nikki Haley,3/9/2023,Nevada,Iowa,Town Hall,,
Nikki Haley,3/10/2023,Clive,Iowa,Roundtable,The Bastion Institute,
Vivek Ramaswamy,3/11/2023,Cincinnati,Ohio,Speech,Hamilton County Republican Party,
Donald Trump,3/13/2023,Davenport,Iowa,Rally,,
