AMONG ADULT MEN,Unnamed: 1,Adult Men,Age,Race,Children,Sexual Orientation
,,,18 - 34,White,Has children,Straight
"In general, how masculine or ""manly"" do you feel?",,,,,,
,Very masculine,37%,29%,34%,43%,40%
,Somewhat masculine,46%,47%,50%,47%,47%
,Not very masculine,11%,13%,11%,6%,10%
,Not at all masculine,5%,10%,4%,3%,3%
,No answer,1%,0%,1%,1%,1%
How important is it to you that others see you as masculine?,,,,,,
,Very important,16%,18%,11%,17%,16%
,Somewhat important,37%,38%,38%,37%,38%
,Not too important,28%,18%,32%,29%,29%
,Not at all important,18%,26%,18%,17%,17%
,No answer,0%,0%,0%,0%,0%
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.),,,,,,
,Father or father figure(s),64%,58%,65%,67%,65%
,Mother or mother figure(s),41%,42%,42%,43%,41%
,Friends,35%,42%,35%,31%,34%
,Other family members,35%,37%,34%,36%,35%
,Pop culture,23%,42%,21%,13%,20%
,Other (please specify),17%,11%,18%,20%,18%
Do you think that society puts pressure on men in a way that is unhealthy or bad for them?,,,,,,
,Yes,60%,70%,58%,56%,58%
,No,39%,29%,41%,44%,41%
,No answer,1%,0%,1%,1%,1%
Ask a friend for professional advice,,,,,,
,Often,15%,26%,11%,12%,14%
,Sometimes,42%,36%,43%,44%,42%
,Rarely,23%,13%,28%,26%,25%
,"Never, but open to it",12%,15%,12%,9%,12%
,"Never, and not open to it",7%,9%,5%,7%,7%
,No answer,1%,0%,1%,1%,1%
Ask a friend for personal advice,,,,,,
,Often,14%,22%,11%,11%,11%
,Sometimes,41%,39%,43%,43%,43%
,Rarely,27%,17%,29%,31%,29%
,"Never, but open to it",10%,11%,10%,8%,9%
,"Never, and not open to it",7%,9%,5%,6%,6%
,No answer,1%,2%,1%,1%,1%
"Express physical affection to male friends, like hugging, rubbing shoulders",,,,,,
,Often,14%,21%,12%,11%,10%
,Sometimes,28%,25%,29%,29%,29%
,Rarely,25%,19%,27%,27%,27%
,"Never, but open to it",10%,14%,9%,8%,9%
,"Never, and not open to it",22%,21%,22%,24%,25%
,No answer,1%,0%,1%,1%,1%
Cry,,,,,,
,Often,7%,13%,6%,3%,4%
,Sometimes,33%,35%,33%,32%,30%
,Rarely,38%,30%,41%,42%,41%
,"Never, but open to it",10%,8%,11%,11%,11%
,"Never, and not open to it",9%,14%,6%,7%,10%
,No answer,4%,0%,4%,5%,5%
Get in a physical fight with another person,,,,,,
,Often,2%,5%,0%,1%,2%
,Sometimes,5%,10%,5%,4%,4%
,Rarely,23%,22%,22%,24%,25%
,"Never, but open to it",19%,19%,20%,21%,19%
,"Never, and not open to it",50%,43%,52%,49%,50%
,No answer,1%,2%,0%,0%,1%
"Have sexual relations with women, including anything from kissing to sex",,,,,,
,Often,37%,41%,39%,45%,42%
,Sometimes,26%,11%,25%,27%,28%
,Rarely,13%,14%,14%,12%,13%
,"Never, but open to it",10%,19%,9%,7%,8%
,"Never, and not open to it",11%,16%,11%,7%,6%
,No answer,2%,0%,2%,2%,2%
"Have sexual relations with men, including anything from kissing to sex",,,,,,
,Often,5%,10%,4%,1%,0%
,Sometimes,4%,6%,3%,2%,2%
,Rarely,3%,6%,4%,1%,2%
,"Never, but open to it",6%,12%,5%,4%,3%
,"Never, and not open to it",80%,65%,83%,91%,92%
,No answer,1%,0%,1%,1%,1%
Watch sports of any kind,,,,,,
