name_common,age,player_ID,year_ID,team_ID,lg_ID,pct_PT,WAR162,def_pos,quasi_ws,stint_ID,franch_id,prev_franch,year_acq,year_left,next_franch
Ketel Marte,25,marteke01,2019,ARI,NL,6.191398946,7.15754717,"CF, 2B, SS",30,1,ARI,SEA,2017,2019,NULL
Zack Greinke,35,greinza01,2019,ARI,NL,4.10802053,5.023018868,P,21,1,ARI,LAD,2016,2019,HOU
Eduardo Escobar,30,escobed01,2019,ARI,NL,6.763216046,4.029622642,"3B, 2B",21,1,ARI,MIN,2018,2019,NULL
Nick Ahmed,29,ahmedni01,2019,ARI,NL,6.043515213,3.749433962,SS,19,1,ARI,NULL,2014,2019,NULL
Christian Walker,28,walkech02,2019,ARI,NL,5.826619072,2.190566038,1B,15,1,ARI,BAL,2017,2019,NULL
Carson Kelly,24,kellyca02,2019,ARI,NL,3.559068502,1.900188679,"C, 3B",11,1,ARI,STL,2019,2019,NULL
David Peralta,31,peralda01,2019,ARI,NL,4.170321265,1.793207547,LF,11,1,ARI,NULL,2014,2019,NULL
Robbie Ray,27,rayro02,2019,ARI,NL,4.686028957,1.594528302,P,11,1,ARI,DET,2015,2019,NULL
Merrill Kelly,30,kellyme01,2019,ARI,NL,5.131034581,1.207358491,P,11,1,ARI,NULL,2019,2019,NULL
Jarrod Dyson,34,dysonja01,2019,ARI,NL,4.387217406,1.21245283,"CF, RF, LF",10,1,ARI,SEA,2018,2019,NULL
Luke Weaver,25,weavelu01,2019,ARI,NL,1.810155165,1.803396226,P,8,1,ARI,STL,2019,2019,NULL
Archie Bradley,26,bradlar01,2019,ARI,NL,2.517175312,1.054528302,P,7,1,ARI,NULL,2015,2019,NULL
Adam Jones,33,jonesad01,2019,ARI,NL,5.156212817,-0.106981132,"RF, CF",7,1,ARI,BAL,2019,2019,NULL
Alex Avila,32,avilaal01,2019,ARI,NL,1.942206357,1.207358491,"C, P",6,1,ARI,CHC,2018,2019,NULL
Tim Locastro,26,locasti01,2019,ARI,NL,2.346421894,0.860943396,"LF, RF, CF",6,1,ARI,LAD,2019,2019,NULL
Wilmer Flores,27,florewi01,2019,ARI,NL,2.721060683,0.840566038,"2B, 1B",6,1,ARI,NYM,2019,2019,NULL
Zac Gallen,23,galleza01,2019,ARI,NL,1.209048353,1.003584906,P,5,2,ARI,FLA,2019,2019,NULL
Andrew Chafin,29,chafian01,2019,ARI,NL,1.840637053,0.876226415,P,5,1,ARI,NULL,2014,2019,NULL
Matt Andriese,29,andrima01,2019,ARI,NL,2.076110881,0.356603774,P,4,1,ARI,TBD,2018,2019,NULL
Alex Young,25,youngal01,2019,ARI,NL,2.232212069,0.356603774,P,4,1,ARI,NULL,2019,2019,NULL
Kevin Ginkel,25,ginkeke01,2019,ARI,NL,0.792728629,0.580754717,P,3,1,ARI,NULL,2019,2019,NULL
Yoan Lopez,26,lopezyo01,2019,ARI,NL,2.070174147,0.168113208,P,3,1,ARI,NULL,2018,2019,NULL
Ildemaro Vargas,27,vargail01,2019,ARI,NL,2.080231175,0.142641509,"2B, 3B, SS, LF, RF",3,1,ARI,NULL,2017,2019,NULL
Yoshihisa Hirano,35,hiranyo01,2019,ARI,NL,1.914521955,0.066226415,P,3,1,ARI,NULL,2018,2019,NULL
Abraham Almonte,30,almonab01,2019,ARI,NL,0.37463879,0.504339623,"RF, CF",2,1,ARI,KCR,2019,2019,NULL
Stefan Crichton,27,crichst01,2019,ARI,NL,0.678483912,0.356603774,P,2,1,ARI,BAL,2019,2019,NULL
Jon Duplantier,24,duplajo01,2019,ARI,NL,0.931219169,0.254716981,P,2,1,ARI,NULL,2019,2019,NULL
Josh Rojas,25,rojasjo01,2019,ARI,NL,1.42954275,0.071320755,"LF, RF, 2B",2,1,ARI,NULL,2019,2019,NULL
Greg Holland,33,hollagr01,2019,ARI,NL,1.398574851,0,P,2,1,ARI,WSN,2019,2019,NULL
Taylor Clarke,26,clarkta01,2019,ARI,NL,2.273419989,-0.27509434,P,2,1,ARI,NULL,2019,2019,NULL
Jake Lamb,28,lambja01,2019,ARI,NL,2.168961414,-0.382075472,"3B, 1B",2,1,ARI,NULL,2014,2019,NULL
Domingo Leyba,23,leybado01,2019,ARI,NL,0.28590855,0.101886792,"2B, SS, 3B",1,1,ARI,NULL,2019,2019,NULL
Kevin Cron,26,cronke01,2019,ARI,NL,0.749277579,0.066226415,"1B, 3B",1,1,ARI,NULL,2019,2019,NULL
John Ryan Murphy,28,murphjr01,2019,ARI,NL,0.680265171,-0.030566038,"C, P",1,1,ARI,MIN,2017,2019,ATL
Jimmie Sherfy,27,sherfji01,2019,ARI,NL,0.531811654,-0.061132075,P,1,1,ARI,NULL,2017,2019,NULL
T.J. McFarland,30,mcfartj01,2019,ARI,NL,1.642729282,-0.336226415,P,1,1,ARI,BAL,2017,2019,NULL
Zack Godley,29,godleza01,2019,ARI,NL,1.876806232,-0.397358491,P,1,1,ARI,NULL,2015,2019,TOR
Mike Leake,31,leakemi01,2019,ARI,NL,1.679247681,-0.468679245,P,1,2,ARI,SEA,2019,2019,NULL
Joel Payamps,25,payamjo01,2019,ARI,NL,0.06585285,0,P,0,1,ARI,NULL,2019,2019,NULL
Caleb Joseph,33,josepca01,2019,ARI,NL,0.37463879,-0.040754717,"C, P",0,1,ARI,BAL,2019,2019,NULL
Robby Scott,29,scottro02,2019,ARI,NL,0.153556874,-0.056037736,P,0,1,ARI,BOS,2019,2019,NULL
Yasmany Tomas,28,tomasya01,2019,ARI,NL,0.059153493,-0.198679245,,0,1,ARI,NULL,2015,2019,NULL
Matt Koch,28,kochma01,2019,ARI,NL,0.380449876,-0.611320755,P,0,1,ARI,NULL,2016,2019,NULL
Blake Swihart,27,swihabl01,2019,ARI,NL,0.690124086,-0.738679245,"LF, RF, C, 1B",0,2,ARI,BOS,2019,2019,NULL
Ronald Acuna Jr.,21,acunaro01,2019,ATL,NL,7.091313269,5.634339623,"CF, LF, RF",29,1,ATL,NULL,2018,2019,NULL
Josh Donaldson,33,donaljo02,2019,ATL,NL,6.456566347,5.53754717,3B,28,1,ATL,CLE,2019,2019,NULL
Ozzie Albies,22,albieoz01,2019,ATL,NL,6.823529412,5.028113208,2B,27,1,ATL,NULL,2017,2019,NULL
