Player Name,Tattoos yes/no
A.J. Price,no
Aaron Gray,no
Al Horford,no
Al Jefferson,no
Al Thornton,no
Alan Anderson,no
Alec Burks,no
Alexey Shved,no
Anderson Varejao,no
Andrea Bargnani,no
Andrew Bynum,no
Andrew Nicholson,no
Andris Biedrins,no
Anthony Davis,no
Anthony Parker,no
Anthony Tolliver,no
Antonio McDyess,no
Arron Afflalo,no
Avery Bradley,no
Beno Udrih,no
Bismack Biyombo,no
Blake Griffin,no
Boris Diaw,no
Brandan Wright,no
Brandon Knight,no
Brandon Roy,no
Brendan Haywood,no
Brian Cardinal,no
Brian Cook,no
Brian Scalabrine,no
Brook Lopez,no
Carl Landry,no
Chandler Parsons,no
Charles Jenkins,no
Chase Budinger,no
Chris Copeland,no
Chris Kaman,no
Chris Paul,no
Chris Quinn,no
Chris Singleton,no
Christian Eyenga,no
Chuck Hayes,no
Cody Zeller,no
Cole Aldrich,no
Cory Joseph,no
Craig Smith,no
D.J. White,no
Danny Granger,no
Darius Miller,no
Darius Morris,no
Darius Songaila,no
Darko Milicic,no
Darren Collison,no
David Andersen,no
Derrick Brown,no
Derrick Williams,no
DeSagana Diop,no
Didier Ilunga-Mbenga,no
Dirk Nowitzki,no
Doron Lamb,no
Dwight Howard,no
Dwyane Wade,no
Earl Barron,no
Earl Boykins,no
Eduardo Najera,no
Ekpe Udoh,no
Elliot Williams,no
Elton Brand,no
Emeka Okafor,no
Enes Kanter,no
Eric Gordon,no
Erick Dampier,no
Ersan Ilyasova,no
Etan Thomas,no
Evan Turner,no
Festus Ezeli,no
Francisco Elson,no
Francisco Garcia,no
Garrett Temple,no
Gary Neal,no
Gerald Henderson,no
Giannis Antetokounmpo,no
Goran Dragic,no
Gordon Hayward,no
Grant Hill,no
Greg Stiemsma,no
Greivis Vasquez,no
Gustavo Ayon,no
Hakim Warrick,no
Harrison Barnes,no
Hasheem Thabeet,no
Hedo Turkoglu,no
Hollis Thompson,no
Ian Mahinmi,no
Ike Diogu,no
Ishmael Smith,no
James Harden,no
Jan Vesely,no
Jannero Pargo,no
Jared Dudley,no
Jared Sullinger,no
Jarrett Jack,no
Jason Collins,no
Jason Kapono,no
Jason Smith,no
Jason Thompson,no
Jeff Adrien,no
Jeff Foster,no
Jeff Green,no
Jeremy Evans,no
Jeremy Lin,no
Jeremy Pargo,no
Jimmer Fredette,no
Jimmy Butler,no
Joakim Noah,no
Jodie Meeks,no
Joel Anthony,no
Joey Graham,no
Jon Leuer,no
Jonas Jerebko,no
Jonny Flynn,no
Jordan Crawford,no
Jose Barea,no
Jose Calderon,no
Josh Childress,no
Josh McRoberts,no
Jrue Holiday,no
Julian Wright,no
Kelly Olynyk,no
Kemba Walker,no
Kenneth Faried,no
Kevin Love,no
Kevin Martin,no
Khris Middleton,no
Klay Thompson,no
Kosta Koufos,no
Kris Humphries,no
Kurt Thomas,no
Kyle Lowry,no
Kyle Singler,no
Kyrylo Fesenko,no
Landry Fields,no
Lavoy Allen,no
Leon Powe,no
Linas Kleiza,no
Luc Mbah a Moute,no
Luis Scola,no
Luke Babbitt,no
Luke Ridnour,no
Luol Deng,no
