Unnamed: 0,Pct. Of major sports searches
DMA,NFL
Abilene-Sweetwater TX,45%
Albany GA,32%
Albany-Schenectady-Troy NY,40%
Albuquerque-Santa Fe NM,53%
Alexandria LA,42%
Alpena MI,28%
Amarillo TX,47%
Atlanta GA,36%
Augusta GA,39%
Austin TX,40%
Bakersfield CA,48%
Baltimore MD,45%
Bangor ME,39%
Baton Rouge LA,40%
Beaumont-Port Arthur TX,45%
Bend OR,39%
"Billings, MT",50%
Biloxi-Gulfport MS,43%
Binghamton NY,41%
Birmingham AL,26%
Bluefield-Beckley-Oak Hill WV,34%
Boise ID,43%
Boston MA-Manchester NH,37%
Bowling Green KY,36%
Buffalo NY,41%
Burlington VT-Plattsburgh NY,36%
Butte-Bozeman MT,48%
Casper-Riverton WY,53%
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,39%
Champaign & Springfield-Decatur IL,30%
Charleston SC,40%
Charleston-Huntington WV,33%
Charlotte NC,41%
Charlottesville VA,37%
Chattanooga TN,31%
Cheyenne WY-Scottsbluff NE,51%
Chicago IL,33%
Chico-Redding CA,44%
Cincinnati OH,38%
Clarksburg-Weston WV,35%
Cleveland-Akron (Canton) OH,34%
Colorado Springs-Pueblo CO,52%
Columbia SC,36%
Columbia-Jefferson City MO,33%
Columbus GA,30%
Columbus OH,33%
Columbus-Tupelo-West Point MS,39%
Corpus Christi TX,47%
Dallas-Ft. Worth TX,40%
Davenport IA-Rock Island-Moline IL,38%
Dayton OH,40%
Denver CO,49%
Des Moines-Ames IA,39%
Detroit MI,30%
Dothan AL,29%
Duluth MN-Superior WI,43%
El Paso TX,54%
Elmira NY,44%
Erie PA,44%
Eugene OR,34%
Eureka CA,37%
Evansville IN,30%
Fargo-Valley City ND,44%
Flint-Saginaw-Bay City MI,31%
Florence-Myrtle Beach SC,37%
Fresno-Visalia CA,46%
Ft. Myers-Naples FL,38%
Ft. Smith-Fayetteville-Springdale-Rogers AR,35%
Ft. Wayne IN,39%
Gainesville FL,32%
Glendive MT,56%
Grand Junction-Montrose CO,54%
Grand Rapids-Kalamazoo-Battle Creek MI,30%
Great Falls MT,50%
Green Bay-Appleton WI,51%
Greensboro-High Point-Winston Salem NC,38%
Greenville-New Bern-Washington NC,40%
Greenville-Spartanburg SC-Asheville NC-Anderson SC,34%
Greenwood-Greenville MS,33%
Harlingen-Weslaco-Brownsville-McAllen TX,50%
Harrisburg-Lancaster-Lebanon-York PA,43%
Harrisonburg VA,42%
Hartford & New Haven CT,38%
Hattiesburg-Laurel MS,40%
Helena MT,52%
Honolulu HI,43%
Houston TX,42%
Huntsville-Decatur (Florence) AL,27%
Idaho Falls-Pocatello ID,44%
Indianapolis IN,37%
Jackson MS,38%
Jackson TN,32%
Jacksonville FL,42%
Johnstown-Altoona PA,37%
Jonesboro AR,31%
Joplin MO-Pittsburg KS,41%
Kansas City MO,36%
Knoxville TN,32%
La Crosse-Eau Claire WI,48%
Lafayette IN,33%
Lafayette LA,45%
Lake Charles LA,43%
Lansing MI,26%
Laredo TX,44%
Las Vegas NV,38%
Lexington KY,22%
Lima OH,36%
Lincoln & Hastings-Kearney NE,33%
Little Rock-Pine Bluff AR,32%
Los Angeles CA,34%
Louisville KY,26%
Lubbock TX,42%
Macon GA,34%
Madison WI,43%
Mankato MN,44%
Marquette MI,41%
Medford-Klamath Falls OR,42%
Memphis TN,33%
Meridian MS,28%
Miami-Ft. Lauderdale FL,31%
Milwaukee WI,42%
Minneapolis-St. Paul MN,41%
Minot-Bismarck-Dickinson(Williston) ND,50%
Missoula MT,49%
Mobile AL-Pensacola (Ft. Walton Beach) FL,34%
Monroe LA-El Dorado AR,38%
Monterey-Salinas CA,38%
Montgomery (Selma) AL,24%
Nashville TN,35%
New Orleans LA,45%
New York NY,32%
Norfolk-Portsmouth-Newport News VA,47%
North Platte NE,38%
Odessa-Midland TX,48%
Oklahoma City OK,32%
Omaha NE,34%
Orlando-Daytona Beach-Melbourne FL,35%
Ottumwa IA-Kirksville MO,37%
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,29%
Palm Springs CA,41%
Panama City FL,32%
Parkersburg WV,36%
Peoria-Bloomington IL,33%
Philadelphia PA,40%
Phoenix AZ,44%
Pittsburgh PA,33%
Portland OR,33%
Portland-Auburn ME,39%
Presque Isle ME,31%
