person,dept,eow,cause
Constable Darius Quimby,"Albany County Constable's Office, NY","EOW: Monday, January 3, 1791",Cause of Death: Gunfire
Sheriff Cornelius Hogeboom,"Columbia County Sheriff's Office, NY","EOW: Saturday, October 22, 1791",Cause of Death: Gunfire
Deputy Sheriff Isaac Smith,"Westchester County Sheriff's Department, NY","EOW: Thursday, May 17, 1792",Cause of Death: Gunfire
Marshal Robert Forsyth,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, January 11, 1794",Cause of Death: Gunfire
Sheriff Robert Maxwell,"Greenville County Sheriff's Office, SC","EOW: Sunday, November 12, 1797",Cause of Death: Gunfire
High Sheriff John Caldwell Cook,"Mecklenburg County Sheriff's Office, NC","EOW: Tuesday, October 16, 1804",Cause of Death: Gunfire
Watchman Christian Luswanger,"New York City Watch, NY","EOW: Thursday, December 25, 1806",Cause of Death: Stabbed
Deputy Sheriff John A. Gooch,"Livingston County Sheriff's Department, KY","EOW: Saturday, March 7, 1807",Cause of Death: Gunfire
Deputy Sheriff Ebenezer Parker,"Cumberland County Sheriff's Office, ME","EOW: Monday, January 18, 1808",Cause of Death: Assault
Night Watchman George Workner,"Baltimore City Police Department, MD","EOW: Tuesday, March 15, 1808",Cause of Death: Stabbed
Boatman Asa Marsh,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, August 3, 1808",Cause of Death: Gunfire
Boatman Ellis Drake,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, August 3, 1808",Cause of Death: Gunfire
Custom House Officer Daniel Miller,"United States Department of the Treasury - Customs Service, US","EOW: Monday, January 1, 1810",Cause of Death: Gunfire
Deputy Sheriff John Tileston Downes,"Hancock County Sheriff's Department, ME","EOW: Monday, January 28, 1811",Cause of Death: Gunfire
Customs Inspector John Stout,"United States Department of the Treasury - Customs Service, US","EOW: Friday, January 21, 1814",Cause of Death: Gunfire
Sheriff John Coor Pender,"Wayne County Sheriff's Office, NC","EOW: Monday, January 1, 1816",Cause of Death: Gunfire
Sheriff Caleb Hewitt,"Davidson County Sheriff's Office, TN","EOW: Monday, September 9, 1816",Cause of Death: Assault
Deputy Sheriff William Huddleston,"Schoharie County Sheriff's Department, NY","EOW: Friday, October 9, 1818",Cause of Death: Assault
"Constable Jacob Dearduff, Sr.","Jamestown Police Department, OH","EOW: Saturday, February 22, 1823",Cause of Death: Stabbed
Constable Elijah Chenault,"Alexandria Police Department, VA","EOW: Monday, August 4, 1823",Cause of Death: Assault
Constable Robert Murphy,"Franklin County Sheriff's Department, IN","EOW: Thursday, November 11, 1824",Cause of Death: Stabbed
Constable William Davidson,"Pennsylvania State Constable - Venango County, PA","EOW: Thursday, April 14, 1825",Cause of Death: Gunfire
