district,elasticity
MI-5,1.24
IL-8,1.22
NV-4,1.22
MA-1,1.22
MA-6,1.21
MA-2,1.21
NY-21,1.21
FL-26,1.20
MA-9,1.20
FL-25,1.20
MN-7,1.19
NH-1,1.19
MA-4,1.18
CA-26,1.18
MA-3,1.18
RI-1,1.17
IL-12,1.17
TX-33,1.17
IA-2,1.17
WA-5,1.17
UT-2,1.16
AK-1,1.16
TX-29,1.15
ME-1,1.15
OR-2,1.15
NM-2,1.14
CO-3,1.14
MA-8,1.13
RI-2,1.13
TX-35,1.13
AZ-7,1.13
WI-2,1.13
IN-2,1.13
AZ-4,1.12
MI-4,1.12
NV-1,1.12
MI-7,1.12
ID-1,1.12
NY-11,1.12
VT-1,1.12
KS-4,1.12
MI-8,1.12
ID-2,1.11
CA-4,1.11
TX-20,1.11
TX-27,1.11
CO-5,1.11
MD-1,1.11
CA-51,1.11
MI-1,1.11
TX-23,1.11
OH-4,1.11
IL-11,1.11
IL-16,1.11
MI-10,1.11
CA-1,1.11
TX-7,1.11
TX-34,1.11
WI-5,1.11
IL-15,1.10
NH-2,1.10
AZ-5,1.10
FL-17,1.10
TX-14,1.10
MN-8,1.10
PA-9,1.10
NY-27,1.10
WI-6,1.10
OH-8,1.10
ME-2,1.10
OH-16,1.10
NC-6,1.09
AZ-6,1.09
HI-2,1.09
OH-7,1.09
MN-4,1.09
CO-7,1.09
WI-8,1.09
FL-27,1.09
TX-28,1.09
FL-8,1.09
NJ-5,1.09
NY-22,1.09
FL-3,1.08
OH-2,1.08
PA-14,1.08
NY-23,1.08
NC-5,1.08
NY-18,1.08
WY-1,1.08
CA-10,1.08
IL-10,1.08
LA-6,1.08
SC-2,1.08
AZ-3,1.08
TX-16,1.07
MI-9,1.07
NJ-11,1.07
IN-1,1.07
CO-2,1.07
CA-29,1.07
OH-6,1.07
KY-5,1.07
TX-30,1.07
WV-3,1.07
TX-9,1.07
MT-1,1.06
PA-15,1.06
WI-3,1.06
IA-4,1.06
UT-3,1.06
TN-9,1.06
FL-7,1.06
TX-15,1.06
FL-21,1.06
TX-31,1.06
MI-6,1.06
TN-7,1.06
MO-5,1.06
IL-13,1.06
AR-1,1.06
NY-20,1.06
IA-1,1.06
NE-2,1.05
TX-18,1.05
AZ-1,1.05
WA-8,1.05
IN-6,1.05
HI-1,1.05
FL-16,1.05
PA-8,1.05
CA-40,1.05
WA-6,1.05
WA-4,1.05
IL-5,1.05
GA-6,1.05
KS-3,1.05
NJ-2,1.05
CA-22,1.04
GA-12,1.04
FL-20,1.04
MI-2,1.04
MD-2,1.04
NY-4,1.04
NJ-1,1.04
CO-4,1.04
TN-4,1.04
WV-2,1.04
NJ-9,1.04
NY-25,1.04
