cycle,state,modeldate,candidate_name,candidate_id,pct_estimate,pct_trend_adjusted,timestamp,comment,election_date,election_qdate,last_qdate,last_enddate,_medpoly2,trend_medpoly2,_shortpoly0,trend_shortpoly0,sum_weight_medium,sum_weight_short,sum_influence,sum_nat_influence,_minpoints,_defaultbasetime,_numloops,_state_houseeffects_weight,_state_trendline_weight,_out_of_state_house_discount,_house_effects_multiplier,_attenuate_endpoints,_nonlinear_polynomial_degree,_shortpoly_combpoly_weight,_nat_shortpoly_combpoly_weight
2016,Alabama,3/3/2016,Donald Trump,9849,70.11138,68.63747,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,66,1/12/2016,,,70.111381,68.637474,1.293506,1.293506,1.293506,0,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Alaska,3/3/2016,Donald Trump,9849,51.63014,49.68174,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,63,1/12/2016,,,51.630138,49.681736,.8274046,.8274046,.8274046,0,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Arizona,3/3/2016,Donald Trump,9849,44,41.02212,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,30,12/9/2015,,,44,41.022121,.8299773,.8299773,.8299773,0,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Colorado,3/3/2016,Donald Trump,9849,45.9515,43.51193,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,113,2/29/2016,,,45.951502,43.511929,2.209496,2.209496,1.012831,.6910744,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Florida,3/3/2016,Donald Trump,9849,46.54603,44.68674,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,110,2/25/2016,47.394218,46.558936,46.376394,44.312304,4.328866,4.328866,2.770836,.9420227,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Georgia,3/3/2016,Donald Trump,9849,49.98361,49.4803,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,108,2/23/2016,,,49.983612,49.480297,1.775305,1.775305,1.775305,1.194635,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Illinois,3/3/2016,Donald Trump,9849,27.5,25.70271,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,63,1/9/2016,,,27.500001,25.702706,.7289574,.7289574,.7289574,0,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Iowa,3/3/2016,Donald Trump,9849,43.1852,41.14408,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,63,1/10/2016,43.198731,41.433503,43.182495,41.086191,5.338463,5.338463,4.136615,0,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Kansas,3/3/2016,Donald Trump,9849,50.45541,49.83593,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,108,2/26/2016,,,50.455414,49.83593,.3886382,.3886382,.3886382,.2615218,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Michigan,3/3/2016,Donald Trump,9849,38.922,38.48544,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,116,3/3/2016,38.488217,38.344093,39.008763,38.513705,4.180455,4.180455,3.278449,3.134945,5,20,5,.5,.5,.02,1,yes,2,.8,.5
