Newspaper,"Daily Circulation, 2004","Change in Daily Circulation, 2004-2013","Pulitzer Prize Winners and Finalists, 1990-2003"
USA Today,"2,192,098",-24%,1
Wall Street Journal,"2,101,017",+13%,30
New York Times,"1,119,027",+67%,55
Los Angeles Times,"983,727",-34%,44
Washington Post,"760,034",-38%,52
New York Daily News,"712,671",-28%,4
New York Post,"642,844",-22%,0
Chicago Tribune,"603,315",-31%,23
San Jose Mercury News,"558,874",+4%,4
Newsday,"553,117",-32%,12
Houston Chronicle,"549,300",-34%,2
Dallas Morning News,"528,379",-23%,11
San Francisco Chronicle,"499,008",-56%,7
Arizona Republic,"466,926",-37%,5
Chicago Sun-Times,"453,757",+4%,1
Boston Globe,"446,241",-45%,25
Atlanta Journal Constitution,"409,873",-44%,1
Newark Star Ledger,"395,000",-14%,2
Detroit Free Press,"379,304",-45%,7
Minneapolis Star Tribune,"377,058",-20%,4
Philadelphia Inquirer,"376,454",-18%,24
Cleveland Plain Dealer,"367,528",-15%,4
San Diego Union-Tribune,"355,771",-30%,0
Tampa Bay Times,"348,502",-2%,10
Denver Post,"340,168",+22%,1
Rocky Mountain News,"340,007",-100%,4
Oregonian,"339,169",-33%,9
Miami Herald,"325,032",-55%,17
Orange County Register,"310,001",+15%,3
Sacramento Bee,"303,841",-34%,4
St. Louis Post-Dispatch,"281,198",-41%,4
Baltimore Sun,"277,947",-36%,11
Kansas City Star,"275,747",-31%,2
Detroit News,"271,465",-57%,4
Orlando Sentinel,"269,269",-40%,5
South Florida Sun-Sentinel,"268,297",-39%,0
New Orleans Times-Picayune,"262,008",-100%,5
Columbus Dispatch,"259,127",-47%,1
Indianapolis Star,"253,778",-38%,1
San Antonio Express-News,"246,057",-44%,0
Pittsburgh Post-Gazette,"242,514",-26%,3
Milwaukee Journal Sentinel,"241,605",-18%,2
Tampa Tribune,"238,877",-20%,0
Fort Woth Star-Telegram,"237,318",-21%,1
Boston Herald,"236,899",-60%,0
Seattle Times,"233,497",-2%,11
Charlotte Observer,"231,369",-40%,1
Daily Oklahoman,"223,403",-44%,0
Louisville Courier-Journal,"216,934",-40%,0
Investor's Buisiness Daily,"215,735",-27%,0
