icpsr,name,last_name,party,district,terms_pct,2020_margin,cluster,agreement_score,progressive,new_dems,blue_dogs,problem_solvers,RMSP,governance,study,freedom,dw_nominate_dim1,notes
22304,Nikki Budzinski,Budzinski,D,IL-13,1,D+11.2,Moderate Democrats,97.77%,,TRUE,,,,,,,-0.309,
22306,Yadira Caraveo,Caraveo,D,CO-8,1,D+4.6,Moderate Democrats,96.66%,,TRUE,,,,,,,-0.272,
22314,Don Davis,Davis,D,NC-1,1,D+7.3,Moderate Democrats,92.64%,,TRUE,,TRUE,,,,,-0.293,
22331,Jeff Jackson,Jackson,D,NC-14,1,D+16.4,Moderate Democrats,97.91%,,TRUE,,,,,,,-0.287,
22338,Greg Landsman,Landsman,D,OH-1,1,D+8.5,Moderate Democrats,97.15%,,TRUE,,TRUE,,,,,-0.199,
22353,Jared Moskowitz,Moskowitz,D,FL-23,1,D+13.2,Moderate Democrats,96.93%,,TRUE,,,,,,,-0.215,
22355,Wiley Nickel,Nickel,D,NC-13,1,D+1.7,Moderate Democrats,97.05%,,TRUE,TRUE,TRUE,,,,,-0.231,
22358,Marie Gluesenkamp Perez,Perez,D,WA-3,1,R+4.2,Moderate Democrats,88.38%,,,TRUE,TRUE,,,,,-0.103,
22363,Hillary Scholten,Scholten,D,MI-3,1,D+8.5,Moderate Democrats,97.62%,,TRUE,,TRUE,,,,,-0.329,
22365,Eric Sorensen,Sorensen,D,IL-17,1,D+7.8,Moderate Democrats,98.60%,,TRUE,,,,,,,-0.232,
22371,Gabe Vasquez,Vasquez,D,NM-2,1,D+5.9,Moderate Democrats,96.37%,,TRUE,,,,,,,-0.278,
22169,Pat Ryan,Ryan,D,NY-18,1.2,D+8.4,Moderate Democrats,97.07%,,TRUE,,,,,,,-0.219,
22135,Kathy Manning,Manning,D,NC-6,2,D+12.4,Moderate Democrats,98.32%,,TRUE,,,,,,,-0.261,
22142,Frank Mrvan,Mrvan,D,IN-1,2,D+8.4,Moderate Democrats,98.32%,,TRUE,,,,,,,-0.306,
21900,Colin Allred,Allred,D,TX-32,3,D+33.0,Moderate Democrats,95.08%,,TRUE,,,,,,,-0.43,
21910,Angie Craig,Craig,D,MN-2,3,D+7.2,Moderate Democrats,94.53%,,TRUE,,TRUE,,,,,-0.27,
21914,Sharice Davids,Davids,D,KS-3,3,D+4.5,Moderate Democrats,97.62%,,TRUE,,,,,,,-0.269,
21919,Lizzie Fletcher,Fletcher,D,TX-7,3,D+29.7,Moderate Democrats,92.91%,,TRUE,,,,,,,-0.454,
21923,Jared Golden,Golden,D,ME-2,3,R+6.1,Moderate Democrats,86.01%,,,TRUE,TRUE,,,,,-0.11,
21930,Josh Harder,Harder,D,CA-9,3,D+12.6,Moderate Democrats,97.91%,,TRUE,,TRUE,,,,,-0.352,
21934,Chrissy Houlahan,Houlahan,D,PA-6,3,D+14.7,Moderate Democrats,96.83%,,TRUE,,TRUE,,,,,-0.275,
21938,Susie Lee,Lee,D,NV-3,3,D+6.6,Moderate Democrats,95.19%,,TRUE,,TRUE,,,,,-0.235,
21951,Chris Pappas,Pappas,D,NH-1,3,D+5.9,Moderate Democrats,96.38%,,TRUE,,TRUE,,,,,-0.237,
21962,Kim Schrier,Schrier,D,WA-8,3,D+6.7,Moderate Democrats,96.74%,,TRUE,,,,,,,-0.288,
21964,Mikie Sherrill,Sherrill,D,NJ-11,3,D+16.9,Moderate Democrats,97.34%,,TRUE,,,,,,,-0.225,
