metro_area,holc_grade,white_pop,black_pop,hisp_pop,asian_pop,other_pop,total_pop,pct_white,pct_black,pct_hisp,pct_asian,pct_other,lq_white,lq_black,lq_hisp,lq_asian,lq_other,surr_area_white_pop,surr_area_black_pop,surr_area_hisp_pop,surr_area_asian_pop,surr_area_other_pop,surr_area_pct_white,surr_area_pct_black,surr_area_pct_hisp,surr_area_pct_asian,surr_area_pct_other
"Akron, OH",A,24702,8624,956,688,1993,36963,66.83,23.33,2.59,1.86,5.39,0.94,1.41,1,0.46,0.97,304399,70692,11037,17295,23839,71.24,16.55,2.58,4.05,5.58
"Akron, OH",B,41531,16499,2208,3367,4211,67816,61.24,24.33,3.26,4.96,6.21,0.86,1.47,1.26,1.23,1.11,304399,70692,11037,17295,23839,71.24,16.55,2.58,4.05,5.58
"Akron, OH",C,73105,22847,3149,6291,7302,112694,64.87,20.27,2.79,5.58,6.48,0.91,1.23,1.08,1.38,1.16,304399,70692,11037,17295,23839,71.24,16.55,2.58,4.05,5.58
"Akron, OH",D,6179,6921,567,455,1022,15144,40.8,45.7,3.75,3,6.75,0.57,2.76,1.45,0.74,1.21,304399,70692,11037,17295,23839,71.24,16.55,2.58,4.05,5.58
"Albany-Schenectady-Troy, NY",A,16989,1818,1317,1998,1182,23303,72.91,7.8,5.65,8.57,5.07,1.09,0.66,0.77,1.21,0.72,387016,68371,42699,41112,40596,66.75,11.79,7.36,7.09,7
"Albany-Schenectady-Troy, NY",B,26644,7094,4334,2509,4650,45230,58.91,15.68,9.58,5.55,10.28,0.88,1.33,1.3,0.78,1.47,387016,68371,42699,41112,40596,66.75,11.79,7.36,7.09,7
"Albany-Schenectady-Troy, NY",C,56878,16795,10357,6355,11153,101538,56.02,16.54,10.2,6.26,10.98,0.84,1.4,1.39,0.88,1.57,387016,68371,42699,41112,40596,66.75,11.79,7.36,7.09,7
"Albany-Schenectady-Troy, NY",D,16806,19581,6688,2191,4364,49630,33.86,39.45,13.48,4.42,8.79,0.51,3.35,1.83,0.62,1.26,387016,68371,42699,41112,40596,66.75,11.79,7.36,7.09,7
"Allentown-Bethlehem-Easton, PA-NJ",A,1076,71,367,21,82,1616,66.56,4.38,22.7,1.3,5.05,1.1,0.69,0.87,0.43,1.22,69477,7364,30164,3524,4753,60.27,6.39,26.17,3.06,4.12
"Allentown-Bethlehem-Easton, PA-NJ",B,16774,1962,7935,731,1396,28798,58.25,6.81,27.55,2.54,4.85,0.97,1.07,1.05,0.83,1.18,69477,7364,30164,3524,4753,60.27,6.39,26.17,3.06,4.12
