RespondentID,"In your own words, what would you call the part of the country you live in now?","How much, if at all, do you personally identify as a Midwesterner?",Unnamed: 3,Which of the following states do you consider part of the Midwest? Please select all that apply.,"In what ZIP code is your home located? (enter 5-digit ZIP code; for example, 00544 or 94305)",Gender,Age,Household Income,Education,Location (Census Region)
,Open-Ended Response,A lot,Some,Illinois,Open-Ended Response,Male,< 18,"$0 - $24,999",Less than high school degree,New England
3126807211,Southern,,,,74070,Male,,,,
3126802202,Midwest,A lot,,Illinois,,,,,,
3126791039,Midwest,,,Illinois,44106,Male,,"$0 - $24,999",,
3126780936,Mid-west,A lot,,Illinois,48185,Male,,,,
3126779836,Midwest,A lot,,,,,,,,
3126774351,US,,Some,Illinois,,,,,,
3126769963,midewest,A lot,,Illinois,45040,Male,,,,
3126764770,Midwest,,Some,Illinois,44054,Male,,,,
3126756635,Midwest,,Some,Illinois,61422,Male,,,,
3126745769,Mid west,,Some,,63376,Male,,,,
3126737786,The Upper Midwest,,Some,Illinois,60202,Male,,,,
3126735994,East Coast,,,,16841,Male,,,,
3126728553,South Central,,Some,Illinois,73109,Male,,,,
3126726778,Lake region,,Some,Illinois,46323,Male,,,,
3126719498,Mid west,A lot,,Illinois,,,,,,
3126714308,Northeast,,,Illinois,17307,Male,,,,
3126712195,Midwest,A lot,,Illinois,60123,Male,,,,
3126711745,North Central States,A lot,,Illinois,59106,Male,,,,
3126705768,Mid-West,,,Illinois,45342,Male,,,Less than high school degree,
3126705410,Midwest,A lot,,Illinois,62401,Male,,,,
3126697024,Midwest,A lot,,Illinois,68506,Male,,"$0 - $24,999",,
3126684259,The West,,,Illinois,81501,Male,,,,
3126656981,Midwest,,Some,,57701,Male,,"$0 - $24,999",,
3126639255,The Midwest,,Some,,43214,Male,,,,
3126634535,Mountain West,A lot,,Illinois,59715,Male,,,,
3126632874,midwest,A lot,,Illinois,47586,Male,,,,
3126575950,Southwest Missouri,,Some,Illinois,65759,Male,,,,
3126559146,I travel throughout the USA and live at various Wal-Marts,,,Illinois,No home,Male,,,,
3126557220,Mid-atlantic,,,Illinois,19030,Male,,,,
3126556129,Northeastern Pennsylvania,,,Illinois,18661,Male,,,,
3126556105,midwest,,,,80104,Male,,,,
3126521934,Northeast,,,Illinois,,,,,,
3126519281,Midwest,,Some,Illinois,55305,Male,,"$0 - $24,999",,
3126508214,Midwest,,Some,,55426,Male,,,,
3126472341,northeast,,,,18015,Male,,,,
3126469715,Northeast,,,Illinois,18966,Male,,,,
3126459253,Mid-west,,Some,Illinois,60133,Male,,,,
3126454401,zdfhg,,Some,,544,Male,,,,
3126448363,mid west,A lot,,Illinois,45056,Male,,"$0 - $24,999",,
3126439073,A shithole,A lot,,Illinois,43606,Male,,,,
3126412099,Upper Plains,,,,57384,Male,,,,
3126394704,Midwest,A lot,,Illinois,49544,Male,,,,
3126393308,"Beautiful and scenic, peaceful and calm. A poor area due to lack of industry but overall an excellent place to live.",,Some,Illinois,62988,Male,,,,
3126374946,Mid-west,A lot,,Illinois,60187,Male,,,,
3126357029,East/Central,,,,15217,Male,,,,
3126337827,Midwest,,,Illinois,47581,Male,,"$0 - $24,999",,
3126319685,Midwest,A lot,,Illinois,54636,Male,,,,
3126292528,Mid Atlantic,,,,15218,Male,,,,
3126280370,midwest,,Some,Illinois,68106,Male,,,,
3126196913,Minne-snow-ta,A lot,,Illinois,55105,Male,,,,
3126149299,Northeast,,,,16412,Male,,,,
3126130261,ohio,,Some,Illinois,45324,Male,,,,
3126130130,Midwest rural and urban,A lot,,Illinois,46239,,,,,
3126128574,A mix of urban and rural,A lot,,Illinois,46238,Male,,,,
3126126502,Upper Midwest,A lot,,Illinois,48390,,,,,
3126123567,South east,,Some,Illinois,,,,,,
3126120269,Michigan,,Some,Illinois,48105,Male,,,,
3126105757,mid west,A lot,,Illinois,80525,Male,,,,
3126105635,Midwest,A lot,,Illinois,66030,Male,,,,
3126096743,Midwest,,Some,,55016,Male,,,,
3126087938,Limiting.,,,Illinois,16802,Male,,"$0 - $24,999",,
3126080690,Appalacha,,,Illinois,24801,Male,,,,
3126072980,Midwest,,,Illinois,60134,Male,,"$0 - $24,999",,
3126072611,A Midwest city,A lot,,Illinois,49503,Male,,"$0 - $24,999",,
3126068469,southwestern pennsylvania,,,Illinois,15061,Male,,,,
3126064064,Midwest,A lot,,,55444,Male,,,,
3126060137,Upper Midwest,A lot,,Illinois,60010,Male,,,,
3126056299,north america,,,,26354,Male,,"$0 - $24,999",Less than high school degree,
3126053872,Midwest,,Some,Illinois,55364,Male,,,,
3126051059,Northeast,,,Illinois,19020,Male,,,,
3126034454,North Eastern Kentucky,,,Illinois,41175,Male,,,,
3126029388,West coast.,,,Illinois,97302,Male,,,,
3126020547,"northeast (that's because I just moved to philadelphia, but I moved here from Cleveland, OH which is definitely Midwest)",A lot,,Illinois,44135,Male,,,,
3126019752,northeast,,,Illinois,17551,Male,,,,
3126015205,Midwest,A lot,,Illinois,54956,Male,,"$0 - $24,999",,
3126004293,the midwest,,,,59964,Male,,"$0 - $24,999",,
3125980148,Midwest,,Some,Illinois,55427,Male,,,,
3125977965,"the country, south, but not rural",,,Illinois,72032,Male,,,,
3125970194,East coast,,,Illinois,,,,,,
3125960435,a small town,,,Illinois,62702,Male,,"$0 - $24,999",,
3125932081,Northeastern,,,Illinois,43015,Male,,,,
3125907943,Northern Plains,A lot,,,55412,Male,,,,
3125900130,Ohio,,Some,,45227,Male,,,,
3125881581,Northeast,,,,11040,Male,,,,
3125881486,Eastern United States,,,Illinois,26505,Male,,,,
3125869144,Lancaster,,,Illinois,19540,Male,,,,
3125857851,Canada,,,Illinois,544,Male,,,,
3125856371,South-Central  (Oklahoma)/Midwest,A lot,,,73132-1531,Male,,,,
3125834929,The South,,,,30030,Male,,,,
3125818086,North Carolina,A lot,,Illinois,28227,Male,,,,
3125796281,MidWest,A lot,,Illinois,,,,,,
3125774997,City,,Some,Illinois,45503,Male,,,,
3125768456,Minnesota,A lot,,Illinois,,,,,,
3125745700,northeast,,,,17777,Male,,,,
3125742602,Upper Midwest,A lot,,Illinois,,,,,,
3125738495,the midwest,A lot,,Illinois,63011,Male,,,,
3125729625,cold,,,Illinois,60637,Male,,,,
3125690751,The Midwest,A lot,,,112345,Male,,,,
3125688288,West,,,Illinois,80214,Male,,,,
3125674529,East Coast,,,Illinois,15301,Male,,,,
3125673633,The South,,,Illinois,27502,Male,,,,
3125664399,"The south, or maybe just Texas since its really more western than southern",,,Illinois,76087,Male,,,,
3125662855,midwest,A lot,,Illinois,48021,Male,,"$0 - $24,999",,
3125658549,Lost,,,Illinois,43332,Male,,,,
3125654391,East,A lot,,Illinois,18078,Male,,,,
3125641158,Northeast,,,Illinois,19006,Male,,,,
3125639982,northern midwest,A lot,,Illinois,55303,Male,,,,
3125628944,The Midwest,,,Illinois,63108,Male,,,,
3125624243,Northern Michigan,,,Illinois,48740,Male,,"$0 - $24,999",,
3125619828,Interior west,,,Illinois,80203,Male,,,,
3125619572,Living blue in a red state.,,Some,Illinois,46113,Male,,,,
3125618262,midwest,,Some,Illinois,48506,Male,,,,
3125617719,great,,,Illinois,7726,Male,,,,
3125617671,Appalachia,,Some,Illinois,43758,Male,,,,
3125601248,Midwest,,,Illinois,61821,Male,,,,
3125586965,midwest,A lot,,Illinois,44646,Male,,,,
3125585114,midwest,,,,,,,,,
3125584277,Midwest,A lot,,Illinois,63005,Male,,,,
3125567682,city,,Some,Illinois,44310,Male,,,,
3125558390,midwest,,Some,Illinois,48302,Male,,,,
3125552097,Mid Atlantic,,,Illinois,25313,Male,,,,
3125538851,midsouth,,Some,,74019,Male,,,,
3125519049,Rocky Mountains,,,Illinois,80907,Male,,,,
3125516975,Midwest,,Some,Illinois,49506,Male,,,,
3125508593,The midwest.,,Some,Illinois,60540,Male,,,,
3125482745,North east mid west,A lot,,Illinois,48706,Male,,,,
3125478293,midwest,A lot,,Illinois,,,,,,
3125476241,Midwest,,Some,Illinois,43081,Male,,,,
3125475193,Mid west,A lot,,Illinois,,,,,,
3125460697,Cold,A lot,,Illinois,55419,Male,,,,
3125460286,Upper Midwest,A lot,,Illinois,53224,Male,,,,
3125449094,Midwest,,Some,Illinois,53151,Male,,,,
3125445535,Midwest,A lot,,Illinois,48069,Male,,,,
3125440642,Upper Midwest,A lot,,Illinois,49938,Male,,,,
3125435256,mid atlantic,,,Illinois,,,,,,
3125410670,"Okay, not to exciting.",A lot,,Illinois,64063,Male,,,,
3125375292,New England,,,Illinois,2025,Male,,,,New England
3125372118,central,,,,,,,,,
3125341741,Upper mid-west,,,Illinois,,,,,,
3125339247,Upper mid-west,,,Illinois,49505,Male,,,,
3125306423,Upper Midwest,A lot,,Illinois,54956,Male,,,,
3125293292,Midwest,,Some,Illinois,44107,Male,,,,
3125279866,Ruff but wonderful,A lot,,,59474,,,"$0 - $24,999",,
3125242420,home,,,,10467,Male,,,,
3125238383,Mid-South,,,Illinois,74074,Male,,"$0 - $24,999",,
3125236982,Mid america,,,,40299,Male,,,,
3125233432,The Lowcountry,,,Illinois,29464,Male,,,,
3125227684,Ohio,,,,45215,Male,,,Less than high school degree,
3125223841,midwest,A lot,,Illinois,42003,Male,,,,
