Entity,Year,tfp,output,inputs,ag_land_index,labor_index,capital_index,materials_index,output_quantity,crop_output_quantity,animal_output_quantity,fish_output_quantity,ag_land_quantity,labor_quantity,capital_quantity,machinery_quantity,livestock_quantity,fertilizer_quantity,animal_feed_quantity,cropland_quantity,pasture_quantity,irrigation_quantity
Afghanistan,1961,65.0814,44.8285,68.8807,91.6812,44.5145,141.5215,35.9132,2566730,1604607,962122,0,10571,1704,8866,5,6339,57345,2068912,7700,30000,2380
Afghanistan,1962,64.0637,45.6182,71.2075,92.2016,45.0207,163.6547,36.3829,2611942,1637522,974421,0,10631,1723,10253,6,6228,58146,2082012,7760,30000,2380
Afghanistan,1963,61.6217,45.9729,74.6051,92.6352,45.5528,202.0577,37.0801,2632254,1596430,1035823,0,10681,1743,12659,8,6547,59694,2007829,7810,30000,2380
Afghanistan,1964,65.1109,49.0775,75.3752,93.1816,46.1108,203.8875,37.5294,2810010,1740544,1069468,0,10744,1765,12773,8,6732,60006,2140272,7873,30000,2380
Afghanistan,1965,63.8587,51.2121,80.196,93.199,46.6948,270.9746,38.5949,2932230,1802740,1129491,0,10746,1787,16976,12,6946,61821,2171226,7875,30000,2380
Afghanistan,1966,62.3463,52.8073,84.6999,93.5286,47.3048,331.5669,40.2188,3023566,1771509,1252057,0,10784,1810,20772,16,7101,65207,2063962,7913,30000,2380
Afghanistan,1967,62.364,57.7064,92.5316,94.1481,47.9148,386.0981,46.163,3304074,1975265,1328811,0,10855,1834,24189,20,7129,75282,2266803,7979,30000,2386
Afghanistan,1968,62.7084,60.3018,96.1623,94.1567,48.5637,391.5307,49.9152,3452679,2023069,1429609,0,10856,1859,24529,20,7444,82412,2231944,7980,30000,2386
Afghanistan,1969,62.3889,61.3943,98.4057,94.2955,49.2645,415.6844,51.0895,3515231,2078284,1436788,159,10872,1885,26042,22,7338,84188,2318352,7996,30000,2386
Afghanistan,1970,56.4779,56.1044,99.3388,94.3822,50.0561,418.9545,51.6695,3212350,1896709,1315483,159,10882,1916,26247,22,7518,86958,1998220,8006,30000,2386
Afghanistan,1971,52.0461,52.4369,100.7508,94.6424,50.8997,443.5572,51.7616,3002360,1723898,1278301,159,10912,1948,27788,24,7476,87533,1930192,8036,30000,2386
Afghanistan,1972,54.7934,55.1616,100.672,94.7292,51.7692,418.3587,52.4303,3158370,2003592,1154618,159,10922,1981,26210,24,6239,87245,2209462,8046,30000,2386
Afghanistan,1973,61.8559,60.2315,97.3738,94.8564,52.6388,415.2009,48.2597,3448652,2171257,1277233,159,10937,2015,26012,23,6426,78684,2373588,8048,30000,2400
Afghanistan,1974,60.1132,62.682,104.2733,94.9741,53.4174,415.9481,56.1612,3588962,2254583,1334221,159,10950,2044,26059,23,6823,92977,2460150,8048,30000,2415
Afghanistan,1975,59.9531,64.7903,108.0684,95.0918,54.0793,414.2062,60.7651,3709677,2317239,1392279,159,10964,2070,25949,22,7258,101441,2498722,8048,30000,2430
Afghanistan,1976,61.6456,69.6246,112.9433,95.2095,54.6374,406.2952,67.4996,3986471,2465043,1520998,429,10977,2091,25454,21,7389,113820,2572411,8048,30000,2445
Afghanistan,1977,54.8467,62.5811,114.1018,95.3446,55.0657,397.1502,69.4459,3583183,2074710,1508043,429,10993,2107,24881,21,7313,118831,2368275,8050,30000,2460
Afghanistan,1978,58.9811,66.7145,113.1116,95.4623,55.2603,386.2178,68.6415,3819846,2294895,1524521,429,11007,2115,24196,20,7288,116537,2484280,8050,30000,2475
Afghanistan,1979,59.7884,65.5246,109.5941,95.5713,55.0267,359.8973,65.6338,3751719,2217009,1534279,429,11019,2106,22547,18,7152,111086,2431834,8049,30000,2490
Afghanistan,1980,60.4411,65.231,107.9249,95.689,54.274,332.6578,65.6658,3734907,2170896,1563580,429,11033,2077,20841,16,7174,112765,2179564,8049,30000,2505
Afghanistan,1981,63.6833,64.9972,102.0631,95.8414,53.0411,304.9699,60.2105,3721521,2109147,1611940,429,11050,2030,19106,14,7251,102457,2141690,8053,30000,2520
Afghanistan,1982,61.6649,64.1619,104.0493,95.9678,51.3799,274.6646,66.5038,3673693,2049846,1623415,429,11065,1966,17207,12,7243,115423,2036595,8054,30000,2535
Afghanistan,1983,62.1912,62.4328,100.3884,96.0855,49.524,238.401,65.6885,3574692,1991914,1582351,429,11078,1895,14935,10,6846,114737,1916771,8054,30000,2550
Afghanistan,1984,60.6054,60.102,99.1695,96.3288,47.7331,196.3714,69.9209,3441240,1945886,1494927,429,11106,1827,12302,8,5994,123890,1830574,8054,30000,2581
Afghanistan,1985,60.1413,55.9693,93.063,96.368,46.2276,156.2952,66.8447,3204615,1862370,1341817,429,11111,1769,9792,6,5402,118634,1728361,8054,30000,2586
Afghanistan,1986,59.1697,51.3001,86.7,97.4117,44.9947,147.1521,58.4225,2937272,1787012,1149831,429,11231,1722,9219,6,4484,103042,1583688,8054,30000,2719
Afghanistan,1987,58.952,52.666,89.3371,97.5769,44.0603,128.6505,66.5871,3015476,1789184,1225862,429,11250,1686,8060,5,4720,118547,1681421,8045,30000,2750
