Entity,Year,Carbon Monoxide,NOx,Non-methane Volatile Organic Compounds (VOCs),PM₁₀,SO₂,Carbon Monoxide (Index),NOx (Index),Non-methane Volatile Organic Compounds (VOCs) (Index),PM₁₀ (Index),SO₂ (Index)
Australia,1990,5729,1621,1387,,1555,100.00,100.00,100.00,,100.00
Australia,1991,5747,1596,1373,,1598,100.33,98.48,98.96,,102.74
Australia,1992,5897,1642,1374,,1707,102.93,101.31,99.08,,109.76
Australia,1993,6122,1685,1390,,1757,106.87,103.97,100.24,,112.97
Australia,1994,6263,1687,1403,,1819,109.33,104.08,101.12,,116.97
Australia,1995,6108,1693,1388,,1697,106.62,104.49,100.04,,109.12
Australia,1996,6282,1745,1363,,1758,109.66,107.67,98.25,,112.99
Australia,1997,6298,1798,1361,,1808,109.93,110.96,98.11,,116.21
Australia,1998,5948,1836,1340,,1748,103.83,113.26,96.58,,112.38
Australia,1999,5759,1866,1300,,1832,100.53,115.11,93.74,,117.80
Australia,2000,5430,1877,1276,,2360,94.78,115.82,92.00,,151.73
Australia,2001,5182,1964,1259,,2537,90.46,121.16,90.78,,163.13
Australia,2002,4884,2035,1268,,2703,85.25,125.58,91.44,,173.74
Australia,2003,4426,2115,1246,,2695,77.26,130.49,89.84,,173.24
Australia,2004,4498,2167,1252,,2442,78.52,133.67,90.24,,157.00
Australia,2005,3949,2192,1300,,2521,68.94,135.24,93.69,,162.05
Australia,2006,3781,2192,1234,,2413,66.01,135.26,88.96,,155.14
Australia,2007,3327,2218,1218,,2445,58.08,136.87,87.78,,157.18
Australia,2008,3211,2270,1219,,2620,56.06,140.04,87.88,,168.46
Australia,2009,3149,2248,3242,,2600,54.97,138.68,233.70,,167.16
Australia,2010,2980,2371,2842,,2380,52.02,146.32,204.89,,153.02
Australia,2011,2929,2281,2729,,2355,51.13,140.73,196.76,,151.43
Australia,2012,2902,2434,2331,,2341,50.65,150.18,168.09,,150.47
Australia,2013,2806,2517,2793,,2307,48.98,155.31,201.39,,148.32
Australia,2014,2721,2523,3437,,2284,47.50,155.69,247.81,,146.84
Australia,2015,2673,2548,4256,,2263,46.66,157.22,306.81,,145.46
Austria,1990,1286,220,280,40,75,100.00,100.00,100.00,100.00,100.00
Austria,1991,1286,229,276,,72,99.96,103.86,98.56,,96.00
Austria,1992,1216,215,255,,55,94.53,97.75,90.90,,74.00
Austria,1993,1150,205,241,,54,89.41,93.30,85.79,,71.82
Austria,1994,1085,199,218,,48,84.32,90.64,77.61,,64.22
Austria,1995,987,199,204,39,47,76.72,90.38,72.75,98.30,63.69
Austria,1996,992,216,198,,45,77.15,98.28,70.49,,60.06
Austria,1997,923,205,177,,40,71.75,93.02,62.97,,53.78
Austria,1998,885,217,169,,35,68.77,98.53,60.14,,47.55
Austria,1999,783,208,161,,34,60.85,94.67,57.39,,44.99
Austria,2000,784,214,153,39,31,60.97,97.10,54.50,96.92,42.26
Austria,2001,762,223,150,39,32,59.22,101.57,53.32,96.71,43.43
Austria,2002,729,229,146,38,32,56.68,104.08,51.98,93.94,42.32
Austria,2003,734,237,144,38,32,57.04,107.90,51.23,93.68,42.39
Austria,2004,715,234,139,37,27,55.55,106.48,49.60,93.33,36.20
Austria,2005,686,236,136,37,26,53.34,107.37,48.54,92.26,34.69
Austria,2006,665,222,131,36,27,51.69,100.90,46.61,89.15,35.62
Austria,2007,626,211,126,35,23,48.69,96.02,44.86,86.85,30.96
Austria,2008,602,195,123,35,20,46.84,88.81,43.80,86.95,27.49
Austria,2009,568,179,118,33,15,44.18,81.47,41.96,82.46,20.16
Austria,2010,581,179,118,33,17,45.17,81.54,42.17,83.28,22.28
Austria,2011,563,170,114,33,15,43.75,77.10,40.72,81.64,20.75
Austria,2012,563,163,113,32,15,43.78,73.97,40.45,80.44,20.08
Austria,2013,584,163,115,33,15,45.37,73.88,41.11,81.21,19.91
Austria,2014,536,151,110,31,15,41.69,68.78,39.14,76.66,19.69
Austria,2015,565,147,112,31,15,43.92,67.00,40.08,77.66,19.86
Belgium,1990,1412,409,330,,364,100.00,100.00,100.00,,100.00
Belgium,1991,1371,398,316,,367,97.12,97.39,95.89,,100.67
Belgium,1992,1343,387,309,,358,95.15,94.71,93.69,,98.26
Belgium,1993,1257,381,300,,332,89.02,93.28,91.04,,91.24
Belgium,1994,1143,381,285,,290,80.95,93.26,86.47,,79.52
Belgium,1995,1128,380,279,,257,79.91,92.91,84.67,,70.57
Belgium,1996,1104,369,270,,247,78.18,90.30,81.80,,67.92
Belgium,1997,1004,357,258,,224,71.14,87.44,78.22,,61.54
Belgium,1998,962,361,251,,212,68.13,88.35,76.21,,58.30
Belgium,1999,885,336,237,,173,62.71,82.21,71.80,,47.40
Belgium,2000,943,341,218,57,172,66.76,83.32,66.09,,47.25
Belgium,2001,896,331,217,55,166,63.47,80.97,65.67,,45.49
Belgium,2002,884,319,202,53,156,62.62,78.08,61.36,,42.81
Belgium,2003,855,318,194,53,152,60.55,77.69,58.84,,41.60
Belgium,2004,816,329,184,53,154,57.79,80.43,55.86,,42.31
Belgium,2005,770,314,178,49,141,54.50,76.86,53.89,,38.80
Belgium,2006,717,300,175,49,132,50.80,73.47,52.98,,36.35
Belgium,2007,673,291,164,46,123,47.67,71.07,49.68,,33.64
Belgium,2008,671,263,157,46,95,47.55,64.46,47.66,,25.99
Belgium,2009,444,237,146,41,73,31.47,57.88,44.16,,20.01
Belgium,2010,519,241,146,45,59,36.78,58.90,44.28,,16.22
Belgium,2011,413,224,133,37,52,29.28,54.70,40.48,,14.29
Belgium,2012,366,210,131,39,47,25.91,51.37,39.72,,12.80
Belgium,2013,547,202,128,42,44,38.73,49.35,38.95,,12.09
Belgium,2014,345,195,121,35,42,24.45,47.74,36.77,,11.53
Belgium,2015,396,192,119,37,42,28.04,46.94,36.20,,11.63
Canada,1990,12164,2420,2886,6816,3066,100.00,100.00,100.00,100.00,100.00
Canada,1991,11865,2312,2955,6702,2846,97.54,95.56,102.38,98.32,92.80
Canada,1992,11771,2382,2943,6561,2727,96.77,98.46,101.99,96.26,88.94
Canada,1993,12031,2425,3016,6534,2646,98.91,100.23,104.52,95.86,86.30
Canada,1994,11765,2538,3035,6803,2435,96.72,104.92,105.18,99.81,79.41
Canada,1995,11429,2597,3029,6426,2563,93.95,107.34,104.94,94.29,83.60
Canada,1996,11171,2670,3024,6487,2573,91.84,110.35,104.80,95.18,83.90
Canada,1997,10948,2828,2935,6839,2530,90.01,116.88,101.69,100.34,82.51
Canada,1998,11067,2880,2941,6205,2489,90.98,119.02,101.90,91.04,81.18
Canada,1999,10862,2941,2810,6343,2397,89.29,121.55,97.36,93.07,78.16
Canada,2000,10624,2902,2749,6264,2403,87.34,119.93,95.25,91.91,78.36
Canada,2001,9812,2764,2533,6267,2385,80.67,114.23,87.77,91.95,77.79
Canada,2002,9686,2711,2553,6070,2333,79.63,112.05,88.45,89.06,76.09
Canada,2003,9389,2683,2472,6052,2287,77.19,110.87,85.65,88.80,74.57
Canada,2004,8817,2540,2417,5997,2259,72.48,104.98,83.76,87.98,73.68
Canada,2005,7870,2456,2308,6007,2191,64.70,101.49,79.96,88.13,71.44
Canada,2006,7386,2342,2199,6171,1991,60.72,96.81,76.20,90.54,64.94
Canada,2007,7091,2323,2148,6528,1935,58.29,96.00,74.44,95.78,63.09
Canada,2008,6919,2242,2116,6880,1748,56.88,92.68,73.33,100.95,57.00
Canada,2009,6546,2086,1963,6303,1478,53.81,86.21,68.02,92.48,48.21
Canada,2010,6431,2127,1973,6747,1371,52.87,87.93,68.37,99.00,44.72
Canada,2011,6048,2076,1865,6938,1288,49.72,85.79,64.61,101.79,41.99
Canada,2012,5849,1977,1893,7355,1272,48.09,81.71,65.58,107.92,41.47
Canada,2013,5729,1942,1914,7308,1258,47.10,80.28,66.31,107.23,41.02
Canada,2014,5709,1928,1930,7292,1208,46.93,79.68,66.87,106.99,39.41
Canada,2015,5595,1894,1859,7248,1054,46.00,78.27,64.41,106.34,34.39
Chile,2005,4387,121,2269,365,284,,,,,
Chile,2006,4515,141,2295,369,379,,,,,
Chile,2007,4496,164,2306,378,400,,,,,
Chile,2008,4633,199,2369,398,346,,,,,
Chile,2009,4678,215,2387,398,326,,,,,
Chile,2010,4874,224,2406,400,299,,,,,
Chile,2011,4919,238,2420,406,320,,,,,
Chile,2012,4847,246,2430,408,237,,,,,
Chile,2013,4740,203,2438,399,217,,,,,
Chile,2014,3423,247,1703,291,445,,,,,
Chile,2015,2048,183,1091,132,138,,,,,
Czech Republic,1990,1028,737,301,,1871,100.00,100.00,100.00,,100.00
Czech Republic,1991,1122,723,263,,1767,109.23,98.00,87.54,,94.47
Czech Republic,1992,1126,699,248,,1554,109.60,94.73,82.49,,83.08
Czech Republic,1993,1153,683,224,,1466,112.19,92.63,74.59,,78.36
Czech Republic,1994,1033,440,247,,1285,100.50,59.70,82.15,,68.67
Czech Republic,1995,892,418,207,,1090,86.77,56.67,68.92,,58.27
Czech Republic,1996,913,436,257,,931,88.87,59.17,85.50,,49.77
Czech Republic,1997,925,460,264,,977,90.06,62.41,87.73,,52.25
Czech Republic,1998,758,407,259,,438,73.74,55.19,86.00,,23.43
Czech Republic,1999,680,374,240,,264,66.16,50.72,79.79,,14.13
Czech Republic,2000,706,290,243,56,227,68.74,39.29,80.88,,12.14
Czech Republic,2001,731,298,242,58,224,71.17,40.46,80.41,,11.96
Czech Republic,2002,701,286,230,53,220,68.22,38.85,76.63,,11.74
Czech Republic,2003,701,286,230,53,220,68.22,38.85,76.63,,11.74
Czech Republic,2004,701,285,216,52,212,68.24,38.63,71.89,,11.31
Czech Republic,2005,643,276,209,51,208,62.56,37.49,69.52,,11.10
Czech Republic,2006,639,270,204,49,203,62.22,36.65,67.77,,10.88
Czech Republic,2007,645,267,197,47,209,62.81,36.25,65.61,,11.17
Czech Republic,2008,586,248,187,48,169,57.07,33.65,62.20,,9.03
Czech Republic,2009,544,229,175,42,166,52.96,31.02,58.10,,8.87
Czech Republic,2010,574,219,170,43,160,55.88,29.68,56.58,,8.57
Czech Republic,2011,522,205,154,38,160,50.77,27.86,51.29,,8.58
Czech Republic,2012,521,192,148,38,155,50.71,26.04,49.37,,8.29
Czech Republic,2013,528,178,145,38,139,51.40,24.15,48.06,,7.43
Czech Republic,2014,482,169,138,35,127,46.87,22.95,45.97,,6.78
Czech Republic,2015,503,164,139,35,123,48.98,22.26,46.35,,6.58
Denmark,1990,741,301,204,36,179,100.00,100.00,100.00,100.00,100.00
Denmark,1991,768,349,212,38,238,103.62,116.00,104.04,104.43,132.65
Denmark,1992,749,305,214,37,185,101.13,101.37,104.87,102.83,103.25
Denmark,1993,735,305,205,38,150,99.18,101.40,100.75,104.07,83.77
Denmark,1994,694,308,210,37,153,93.70,102.41,102.89,103.06,85.50
Denmark,1995,661,290,204,38,147,89.22,96.41,100.26,103.38,81.95
Denmark,1996,640,324,205,38,177,86.44,107.74,100.62,104.78,98.69
Denmark,1997,594,277,195,37,105,80.19,92.20,95.54,102.85,58.50
Denmark,1998,556,255,185,34,80,75.09,84.91,90.89,94.80,44.90
